,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878
2,,,,,,,,
3,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
4,Letter Recognition,0.0,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
5,,,,,,,,
6,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
7,Thyroid Disease,0.0,KMeans,0.22317597,1,KMeans,0.44545455,1.0
8,,,,,,,,
9,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
10,Pen-Based Recognition of Handwritten Text,0.0,KMeans,0.88648649,1,KMeans,0.22317597,1.0
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
13,speed_7578.csv,0.0,KMeans,0.75,1,KMeans,0.88648649,1.0
14,,,,,,,,
15,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
16,Twitter_volume_AAPL.csv,0.0,Linear,0.4,1,Linear,0.4,0.65
17,,,,,,,,
18,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
19,Twitter_volume_UPS.csv,0.0,Linear,0.28571429,1,Linear,0.4,1.0
20,,,,,,,,
21,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
22,speed_6005.csv,0.0,Linear,0.66666667,1,Linear,0.28571429,1.0
23,,,,,,,,
24,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
25,Twitter_volume_KO.csv,0.0,Linear,0.8,1,Linear,0.66666667,1.0
26,,,,,,,,
27,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
28,Twitter_volume_GOOG.csv,0.0,Linear,0.4,1,Linear,0.8,1.0
29,,,,,,,,
30,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
31,Twitter_volume_CVS.csv,0.0,Linear,0.66666667,1,Linear,0.4,1.0
32,,,,,,,,
33,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
34,Twitter_volume_FB.csv,0.0,Linear,1.0,1,Linear,0.66666667,1.0
35,,,,,,,,
36,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
37,Twitter_volume_IBM.csv,0.0,Linear,0.5,1,Linear,1.0,1.0
38,,,,,,,,
39,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
40,Twitter_volume_CRM.csv,0.0,KMeans,0.54545455,1,KMeans,0.5,1.0
41,,,,,,,,
42,Twitter_volume_CRM.csv,0,KMeans,0.54545455,0,KMeans,0.54545455,1
43,speed_t4013.csv,0.0,Linear,1.0,1,Linear,0.5,0.95454545
44,,,,,,,,
45,speed_t4013.csv,0,Linear,1.0,0,Linear,1.0,1
46,Twitter_volume_PFE.csv,0.0,KMeans,0.42857143,1,KMeans,0.8,0.8
47,,,,,,,,
48,Twitter_volume_PFE.csv,0,KMeans,0.42857143,0,KMeans,0.42857143,1
49,Twitter_volume_AMZN.csv,0.0,KMeans,0.66666667,1,KMeans,0.42857143,1.0
50,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.6666666666666666,0.875273908888889
0,,,,,2.0,,0.0,0.0
0,,,,,3.0,,0.0,0.0
0,,,,,4.0,,0.0,0.0
0,,,,,5.0,,0.0,0.0
0,,,,,6.0,,0.0,0.0
0,,,,,7.0,,0.0,0.0
0,,,,,8.0,,0.0,0.0
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
