,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,0.011482633407669862,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,0.720550946182249,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Twitter_volume_UPS.csv,1.0713840115884603,Linear,0.28571429,3,KMeans,0.83333333,1.0
4,Twitter_volume_PFE.csv,1.1324460984196485,KMeans,0.42857143,4,KMeans,0.83333333,1.0
5,Twitter_volume_IBM.csv,1.16522007191391,Linear,0.5,5,KMeans,0.83333333,1.0
6,speed_6005.csv,1.2103294377050604,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_GOOG.csv,1.248451249864535,Linear,0.4,7,Linear,0.63157895,0.79824562
8,Twitter_volume_AAPL.csv,1.2648521240196566,Linear,0.4,8,Linear,0.63157895,0.79824562
9,Twitter_volume_CRM.csv,1.2795082222699465,KMeans,0.54545455,9,Linear,0.63157895,0.79824562
10,speed_t4013.csv,1.3123925877871987,Linear,1.0,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,9.896786593911509,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,9.985567737513964,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,11.240826419005666,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_UPS.csv,12.024195978921586,Linear,0.28571429,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_PFE.csv,12.117613388280981,KMeans,0.42857143,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_IBM.csv,12.14801778519197,Linear,0.5,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_AAPL.csv,12.24485479832251,Linear,0.4,7,KMeans,0.38537271,0.4468761299999999
20,speed_6005.csv,12.281851406401405,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_CRM.csv,12.322363802846919,KMeans,0.54545455,9,KMeans,0.38537271,0.4468761299999999
