,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,7.284070025205999,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Thyroid Disease,9.49200957481615,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Twitter_volume_FB.csv,10.809875920350116,Linear,1.0,3,KMeans,0.83333333,1.0
4,Letter Recognition,11.023793986070373,KMeans,0.44545455,4,KMeans,0.83333333,1.0
5,Twitter_volume_KO.csv,12.209421503920392,Linear,0.8,5,KMeans,0.83333333,1.0
6,speed_7578.csv,12.456919911137973,KMeans,0.75,6,KMeans,0.83333333,1.0
7,Twitter_volume_CVS.csv,12.773072555753785,Linear,0.66666667,7,KMeans,0.83333333,1.0
8,Twitter_volume_AMZN.csv,12.842300000765302,KMeans,0.66666667,8,KMeans,0.83333333,1.0
9,speed_t4013.csv,13.656595476301003,Linear,1.0,9,KMeans,0.83333333,1.0
10,Twitter_volume_GOOG.csv,13.94142317902406,Linear,0.4,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,15.437438043031495,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,Thyroid Disease,20.74516914197481,KMeans,0.22317597,2,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text,21.7895312763213,KMeans,0.88648649,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_FB.csv,22.06303548738524,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
17,Letter Recognition,22.513703949004373,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_KO.csv,23.462581070955512,Linear,0.8,6,KMeans,0.38537271,0.4468761299999999
19,speed_7578.csv,23.710079478173096,KMeans,0.75,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_CVS.csv,24.026232122788905,Linear,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AMZN.csv,24.09545956780042,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
22,speed_t4013.csv,24.909755043336126,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,5.009200542647573,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,speed_7578.csv,7.402828258749722,KMeans,0.75,2,KMeans,0.44545455,1.0
27,Twitter_volume_FB.csv,7.7690713423582025,Linear,1.0,3,KMeans,0.44545455,1.0
28,Twitter_volume_AMZN.csv,7.78820834837705,KMeans,0.66666667,4,KMeans,0.44545455,1.0
29,Twitter_volume_CVS.csv,7.93097765277653,Linear,0.66666667,5,KMeans,0.44545455,1.0
30,Pen-Based Recognition of Handwritten Text,8.44973737172361,KMeans,0.88648649,6,KMeans,0.44545455,1.0
31,speed_t4013.csv,8.602503823912754,Linear,1.0,7,KMeans,0.44545455,1.0
32,Twitter_volume_GOOG.csv,8.887331526635808,Linear,0.4,8,KMeans,0.44545455,1.0
33,Twitter_volume_CRM.csv,9.017959811650094,KMeans,0.54545455,9,KMeans,0.44545455,1.0
34,speed_6005.csv,9.22696021082185,Linear,0.66666667,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Twitter_volume_FB.csv,2.7598707997106433,Linear,1.0,1,Linear,0.19112628,0.96795031
38,speed_7578.csv,2.9649103363258593,KMeans,0.75,2,KMeans,0.22317597,1.0
39,Twitter_volume_CVS.csv,3.2810629809416727,Linear,0.66666667,3,Linear,0.19112628,0.96795031
40,Twitter_volume_AMZN.csv,3.3502904259531876,KMeans,0.66666667,4,KMeans,0.22317597,1.0
41,speed_t4013.csv,4.164585901488891,Linear,1.0,5,Linear,0.19112628,0.96795031
42,Twitter_volume_GOOG.csv,4.449413604211946,Linear,0.4,6,Linear,0.19112628,0.96795031
43,Twitter_volume_CRM.csv,4.58004188922623,KMeans,0.54545455,7,Linear,0.19112628,0.96795031
44,speed_6005.csv,4.7890422883979875,Linear,0.66666667,8,Linear,0.19112628,0.96795031
45,Twitter_volume_KO.csv,4.9458560017127855,Linear,0.8,9,Linear,0.19112628,0.96795031
46,Letter Recognition,5.009200542647573,KMeans,0.44545455,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Breast Cancer Diagnostic,7.284070025205999,KMeans,0.83333333,1,KMeans,0.88648649,1.0
50,Letter Recognition,8.44973737172361,KMeans,0.44545455,2,KMeans,0.88648649,1.0
51,Twitter_volume_FB.csv,10.258286096939882,Linear,1.0,3,KMeans,0.88648649,1.0
52,Twitter_volume_KO.csv,11.65783168051016,Linear,0.8,4,KMeans,0.88648649,1.0
53,speed_7578.csv,11.905330087727739,KMeans,0.75,5,KMeans,0.88648649,1.0
54,Thyroid Disease,12.098208185598445,KMeans,0.22317597,6,KMeans,0.88648649,1.0
55,Twitter_volume_CVS.csv,12.221482732343553,Linear,0.66666667,7,KMeans,0.88648649,1.0
56,Twitter_volume_AMZN.csv,12.290710177355066,KMeans,0.66666667,8,KMeans,0.88648649,1.0
57,speed_t4013.csv,13.105005652890771,Linear,1.0,9,KMeans,0.88648649,1.0
58,Twitter_volume_GOOG.csv,13.389833355613826,Linear,0.4,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,Twitter_volume_AMZN.csv,0.7361358366322235,KMeans,0.66666667,1,KMeans,0.75,1.0
62,speed_t4013.csv,1.1996755651630315,Linear,1.0,2,KMeans,0.75,1.0
63,Twitter_volume_GOOG.csv,1.4845032678860868,Linear,0.4,3,Linear,0.4,0.65
64,Twitter_volume_CVS.csv,1.573843839238475,Linear,0.66666667,4,Linear,0.4,0.65
65,Twitter_volume_CRM.csv,1.6151315529003711,KMeans,0.54545455,5,Linear,0.4,0.65
66,Twitter_volume_FB.csv,1.6470439907878576,Linear,1.0,6,Linear,0.4,0.65
67,speed_6005.csv,1.8241319520721277,Linear,0.66666667,7,Linear,0.4,0.65
68,Twitter_volume_AAPL.csv,2.1993609689751423,Linear,0.4,8,Linear,0.4,0.65
69,Twitter_volume_IBM.csv,2.6722146884431397,Linear,0.5,9,Linear,0.4,0.65
70,Twitter_volume_PFE.csv,2.8108263868102026,KMeans,0.42857143,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_IBM.csv,0.4899809562504199,Linear,0.5,1,Linear,0.4,1.0
74,Twitter_volume_PFE.csv,0.6285926546174823,KMeans,0.42857143,2,KMeans,0.4,1.0
75,Twitter_volume_CRM.csv,1.0427664909390715,KMeans,0.54545455,3,KMeans,0.4,1.0
76,Twitter_volume_UPS.csv,1.0762997308321873,Linear,0.28571429,4,KMeans,0.4,1.0
77,speed_t4013.csv,1.3712249979894646,Linear,1.0,5,Linear,0.4,1.0
78,speed_6005.csv,1.7114423976234643,Linear,0.66666667,6,Linear,0.4,1.0
79,Twitter_volume_AMZN.csv,1.7968536425653925,KMeans,0.66666667,7,Linear,0.4,1.0
80,Twitter_volume_CVS.csv,1.8660810875769072,Linear,0.66666667,8,Linear,0.4,1.0
81,Twitter_volume_GOOG.csv,1.8781002486049965,Linear,0.4,9,Linear,0.4,1.0
82,speed_7578.csv,2.1993609689751423,KMeans,0.75,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_PFE.csv,0.4477070762147052,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
86,Twitter_volume_IBM.csv,0.5863187745817675,Linear,0.5,2,KMeans,0.22222222,0.93650793
87,Twitter_volume_AAPL.csv,1.0762997308321873,Linear,0.4,3,Linear,0.28571429,1.0
88,speed_6005.csv,1.4344015109527797,Linear,0.66666667,4,Linear,0.28571429,1.0
89,Twitter_volume_CRM.csv,1.6434019101245365,KMeans,0.54545455,5,Linear,0.28571429,1.0
90,Twitter_volume_GOOG.csv,1.7740301951388209,Linear,0.4,6,Linear,0.28571429,1.0
91,speed_t4013.csv,2.058857897861876,Linear,1.0,7,Linear,0.28571429,1.0
92,Twitter_volume_AMZN.csv,2.87315337339758,KMeans,0.66666667,8,Linear,0.28571429,1.0
93,Twitter_volume_CVS.csv,2.9423808184090947,Linear,0.66666667,9,Linear,0.28571429,1.0
94,speed_7578.csv,3.2585334630249077,KMeans,0.75,10,Linear,0.28571429,1.0
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,Twitter_volume_GOOG.csv,0.3396286841860413,Linear,0.4,1,Linear,0.66666667,1.0
98,speed_t4013.csv,0.6244563869090962,Linear,1.0,2,Linear,0.66666667,1.0
99,Twitter_volume_CRM.csv,0.6686759066843928,KMeans,0.54545455,3,Linear,0.66666667,1.0
100,Twitter_volume_PFE.csv,1.1297775073485385,KMeans,0.42857143,4,KMeans,0.66666667,1.0
101,Twitter_volume_IBM.csv,1.2658279698395993,Linear,0.5,5,Linear,0.66666667,1.0
102,Twitter_volume_UPS.csv,1.4344015109527797,Linear,0.28571429,6,Linear,0.66666667,1.0
103,Twitter_volume_AMZN.csv,1.4387518624448,KMeans,0.66666667,7,Linear,0.66666667,1.0
104,Twitter_volume_CVS.csv,1.507979307456315,Linear,0.66666667,8,Linear,0.66666667,1.0
105,Twitter_volume_AAPL.csv,1.7114423976234643,Linear,0.4,9,Linear,0.66666667,1.0
106,speed_7578.csv,1.8241319520721277,KMeans,0.75,10,Linear,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
109,Twitter_volume_CVS.csv,2.024078891583814,Linear,0.66666667,1,Linear,0.8,1.0
110,Twitter_volume_FB.csv,2.185985202002142,Linear,1.0,2,Linear,0.8,1.0
111,Twitter_volume_AAPL.csv,2.4297321394103,Linear,0.4,3,Linear,0.8,1.0
112,Twitter_volume_CRM.csv,2.441328252786218,KMeans,0.54545455,4,Linear,0.8,1.0
113,speed_t4013.csv,2.7697867598366117,Linear,1.0,5,Linear,0.8,1.0
114,Twitter_volume_AMZN.csv,2.8617868941900655,KMeans,0.66666667,6,Linear,0.8,1.0
115,Twitter_volume_IBM.csv,2.91971309566072,Linear,0.5,7,Linear,0.8,1.0
116,Twitter_volume_PFE.csv,3.058324794027782,KMeans,0.42857143,8,Linear,0.8,1.0
117,speed_6005.csv,3.110004159470611,Linear,0.66666667,9,Linear,0.8,1.0
