,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,speed_7578.csv,0.011145294,KMeans,0.75,1,KMeans,0.83333333,1.0
2,Thyroid Disease,0.020855904,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,KDD-Cup99 HTTP,0.10417837,RPCA,0.93849658,3,KMeans,0.83333333,1.0
4,Twitter_volume_IBM.csv,0.10542756,Linear,0.5,4,KMeans,0.83333333,1.0
5,Twitter_volume_FB.csv,0.17065883,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_t4013.csv,0.21001121,Linear,1.0,6,Linear,0.63157895,0.79824562
7,speed_6005.csv,0.3715064,Linear,0.66666667,7,Linear,0.63157895,0.79824562
8,Twitter_volume_CVS.csv,0.39717644,Linear,0.66666667,8,Linear,0.63157895,0.79824562
9,Twitter_volume_KO.csv,0.4074472,Linear,0.8,9,Linear,0.63157895,0.79824562
10,Twitter_volume_PFE.csv,0.443115,KMeans,0.42857143,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,speed_7578.csv,0.09292936,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
14,speed_t4013.csv,0.09989411,Linear,1.0,2,KMeans,0.38537271,0.4468761299999999
15,Breast Cancer Diagnostic,0.16193604,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_KO.csv,0.1675224,Linear,0.8,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_GOOG.csv,0.21987963,Linear,0.4,5,Linear,0.92639843,0.98790185
18,Twitter_volume_IBM.csv,0.22864336,Linear,0.5,6,Linear,0.92639843,0.98790185
19,speed_6005.csv,0.24762839,Linear,0.66666667,7,Linear,0.92639843,0.98790185
20,Thyroid Disease,0.25749016,KMeans,0.22317597,8,Linear,0.92639843,0.98790185
21,Twitter_volume_CRM.csv,0.26094934,KMeans,0.54545455,9,Linear,0.92639843,0.98790185
22,Twitter_volume_CVS.csv,0.26889887,Linear,0.66666667,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
