,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,speed_7578.csv,1.0555222984227668,KMeans,0.75,1,KMeans,0.83333333,1.0
2,KDD-Cup99 HTTP,1.2082736580593736,RPCA,0.93849658,2,KMeans,0.83333333,1.0
3,speed_t4013.csv,1.3166716823299416,Linear,1.0,3,KMeans,0.83333333,1.0
4,Thyroid Disease,1.4520165923820256,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,speed_6005.csv,1.5390283373196882,Linear,0.66666667,5,KMeans,0.83333333,1.0
6,Twitter_volume_CVS.csv,1.6174672359502762,Linear,0.66666667,6,Linear,0.63157895,0.79824562
7,Twitter_volume_PFE.csv,1.7292774763496803,KMeans,0.42857143,7,KMeans,0.83333333,1.0
8,Twitter_volume_UPS.csv,1.7538731244654706,Linear,0.28571429,8,Linear,0.63157895,0.79824562
9,Twitter_volume_AMZN.csv,2.209030307578373,KMeans,0.66666667,9,KMeans,0.83333333,1.0
10,Twitter_volume_AAPL.csv,2.2255749948886496,Linear,0.4,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,speed_7578.csv,0.39615653678708024,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
14,speed_t4013.csv,0.4830645143784394,Linear,1.0,2,KMeans,0.38537271,0.4468761299999999
15,speed_6005.csv,0.8204720096291859,Linear,0.66666667,3,Linear,0.92639843,0.98790185
16,Twitter_volume_CVS.csv,0.9274983605548776,Linear,0.66666667,4,Linear,0.92639843,0.98790185
17,Twitter_volume_PFE.csv,1.0799216444614026,KMeans,0.42857143,5,Linear,0.92639843,0.98790185
18,Twitter_volume_UPS.csv,1.1096372700294201,Linear,0.28571429,6,Linear,0.92639843,0.98790185
19,Breast Cancer Diagnostic,1.2082736580593736,KMeans,0.83333333,7,Linear,0.92639843,0.98790185
20,Twitter_volume_AMZN.csv,1.679000205724458,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AAPL.csv,1.6981383934769492,Linear,0.4,9,Linear,0.92639843,0.98790185
22,Twitter_volume_CRM.csv,1.7712711040574793,KMeans,0.54545455,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,2.7882973918842437,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,3.4491734675317107,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,Breast Cancer Diagnostic,4.23696979625381,KMeans,0.83333333,3,KMeans,0.44545455,1.0
28,KDD-Cup99 HTTP,4.432171185271868,RPCA,0.93849658,4,KMeans,0.44545455,1.0
29,speed_7578.csv,4.701283029452918,KMeans,0.75,5,KMeans,0.44545455,1.0
30,speed_t4013.csv,4.7965842541134505,Linear,1.0,6,KMeans,0.44545455,1.0
31,speed_6005.csv,4.88829250206054,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,Twitter_volume_CVS.csv,4.925336973068401,Linear,0.66666667,8,KMeans,0.44545455,1.0
33,Twitter_volume_UPS.csv,4.931002146465845,Linear,0.28571429,9,KMeans,0.44545455,1.0
34,Twitter_volume_PFE.csv,4.9495538832039685,KMeans,0.42857143,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,1.4520165923820256,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,KDD-Cup99 HTTP,1.8625108938501251,RPCA,0.93849658,2,KMeans,0.22317597,1.0
39,speed_7578.csv,2.0279452735501016,KMeans,0.75,3,KMeans,0.22317597,1.0
40,Pen-Based Recognition of Handwritten Text,2.0840487854392014,KMeans,0.88648649,4,KMeans,0.22317597,1.0
41,speed_t4013.csv,2.1948984777483767,Linear,1.0,5,KMeans,0.22317597,1.0
42,speed_6005.csv,2.3561039601307363,Linear,0.66666667,6,KMeans,0.22317597,1.0
43,Twitter_volume_CVS.csv,2.416922871029522,Linear,0.66666667,7,KMeans,0.22317597,1.0
44,Twitter_volume_UPS.csv,2.4840211977135485,Linear,0.28571429,8,Linear,0.19112628,0.96795031
45,Twitter_volume_PFE.csv,2.485065193247015,KMeans,0.42857143,9,KMeans,0.22317597,1.0
46,Letter Recognition,2.7882973918842437,KMeans,0.44545455,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Thyroid Disease,2.0840487854392014,KMeans,0.22317597,1,KMeans,0.88648649,1.0
50,Breast Cancer Diagnostic,2.4648682925365355,KMeans,0.83333333,2,KMeans,0.88648649,1.0
51,Letter Recognition,3.4491734675317107,KMeans,0.44545455,3,KMeans,0.88648649,1.0
52,speed_7578.csv,3.490034733166019,KMeans,0.75,4,KMeans,0.88648649,1.0
53,KDD-Cup99 HTTP,3.5242407778065696,RPCA,0.93849658,5,KMeans,0.88648649,1.0
54,speed_t4013.csv,3.6885561600180328,Linear,1.0,6,KMeans,0.88648649,1.0
55,speed_6005.csv,3.799575870256909,Linear,0.66666667,7,KMeans,0.88648649,1.0
56,Twitter_volume_CVS.csv,3.842364946317163,Linear,0.66666667,8,KMeans,0.88648649,1.0
57,Twitter_volume_PFE.csv,3.888008739252811,KMeans,0.42857143,9,KMeans,0.88648649,1.0
58,Twitter_volume_UPS.csv,3.8892182010478473,Linear,0.28571429,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,KDD-Cup99 HTTP,0.39615653678708024,RPCA,0.93849658,1,RPCA,0.4,0.65
62,speed_t4013.csv,0.4154060256795753,Linear,1.0,2,Linear,0.4,0.65
63,speed_6005.csv,0.8075165871851696,Linear,0.66666667,3,Linear,0.4,0.65
64,Twitter_volume_CVS.csv,0.920734771617454,Linear,0.66666667,4,Linear,0.4,0.65
65,Breast Cancer Diagnostic,1.0555222984227668,KMeans,0.83333333,5,Linear,0.4,0.65
66,Twitter_volume_PFE.csv,1.0896527823302007,KMeans,0.42857143,6,Linear,0.4,0.65
67,Twitter_volume_UPS.csv,1.1313975328219485,Linear,0.28571429,7,Linear,0.4,0.65
68,Twitter_volume_AMZN.csv,1.716497456673281,KMeans,0.66666667,8,Linear,0.4,0.65
69,Twitter_volume_AAPL.csv,1.7365691256017453,Linear,0.4,9,Linear,0.4,0.65
70,Twitter_volume_CRM.csv,1.8074730617697348,KMeans,0.54545455,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_AMZN.csv,0.020375825879924654,KMeans,0.66666667,1,KMeans,0.4,1.0
74,Twitter_volume_CRM.csv,0.07316710589169062,KMeans,0.54545455,2,KMeans,0.4,1.0
75,Twitter_volume_GOOG.csv,0.2806692066810318,Linear,0.4,3,KMeans,0.4,1.0
76,Twitter_volume_KO.csv,0.3513563460526813,Linear,0.8,4,KMeans,0.4,1.0
77,Twitter_volume_UPS.csv,0.6116996445517267,Linear,0.28571429,5,Linear,0.4,1.0
78,Twitter_volume_PFE.csv,0.656145584656085,KMeans,0.42857143,6,KMeans,0.4,1.0
79,Twitter_volume_CVS.csv,0.8301782009448215,Linear,0.66666667,7,Linear,0.4,1.0
80,speed_6005.csv,0.942961822402219,Linear,0.66666667,8,Linear,0.4,1.0
81,Twitter_volume_IBM.csv,0.9924334671306768,Linear,0.5,9,Linear,0.4,1.0
82,speed_t4013.csv,1.3470922072017477,Linear,1.0,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_PFE.csv,0.053756472403363946,KMeans,0.42857143,1,KMeans,0.22222222,0.93650793
86,Twitter_volume_CVS.csv,0.22190110380115183,Linear,0.66666667,2,KMeans,0.22222222,0.93650793
87,speed_6005.csv,0.33228287433307474,Linear,0.66666667,3,Linear,0.28571429,1.0
88,Twitter_volume_AMZN.csv,0.5914968155330326,KMeans,0.66666667,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_AAPL.csv,0.6116996445517267,Linear,0.4,5,Linear,0.28571429,1.0
90,Twitter_volume_CRM.csv,0.6827873040553769,KMeans,0.54545455,6,KMeans,0.22222222,0.93650793
91,speed_t4013.csv,0.7356985011907973,Linear,1.0,7,Linear,0.28571429,1.0
92,Twitter_volume_GOOG.csv,0.8872200433563926,Linear,0.4,8,Linear,0.28571429,1.0
93,Twitter_volume_KO.csv,0.9629685550445003,Linear,0.8,9,Linear,0.28571429,1.0
