,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Twitter_volume_IBM.csv,0.003535097268265345,Linear,0.5,1,Linear,0.63157895,0.79824562
2,KDD-Cup99 HTTP,0.0038172608040886666,RPCA,0.93849658,2,Linear,0.63157895,0.79824562
3,speed_7578.csv,0.003943357386498689,KMeans,0.75,3,KMeans,0.83333333,1.0
4,Thyroid Disease,0.016262925457097975,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Twitter_volume_FB.csv,0.016972780226537598,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_t4013.csv,0.020755988943976553,Linear,1.0,6,Linear,0.63157895,0.79824562
7,Pen-Based Recognition of Handwritten Text,0.026894617389572793,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Letter Recognition,0.026927779043059243,KMeans,0.44545455,8,KMeans,0.83333333,1.0
9,Twitter_volume_KO.csv,0.036627660561062904,Linear,0.8,9,KMeans,0.83333333,1.0
10,Twitter_volume_GOOG.csv,0.04162791146552685,Linear,0.4,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,speed_7578.csv,0.00012609658241002214,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
14,Breast Cancer Diagnostic,0.0038172608040886666,KMeans,0.83333333,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_IBM.csv,0.0073523580723540115,Linear,0.5,3,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,0.012445664653009308,KMeans,0.22317597,4,KMeans,0.38537271,0.4468761299999999
17,speed_t4013.csv,0.016938728139887886,Linear,1.0,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_FB.csv,0.020790041030626264,Linear,1.0,6,KMeans,0.38537271,0.4468761299999999
19,Pen-Based Recognition of Handwritten Text,0.03071187819366146,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
20,Letter Recognition,0.03074503984714791,KMeans,0.44545455,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_KO.csv,0.03281039975697424,Linear,0.8,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_GOOG.csv,0.03781065066143818,Linear,0.4,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,3.316165348645143e-05,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Twitter_volume_FB.csv,0.009954998816521647,Linear,1.0,2,KMeans,0.44545455,1.0
27,Twitter_volume_IBM.csv,0.023392681774793898,Linear,0.5,3,Linear,0.22222222,0.77676767
28,Breast Cancer Diagnostic,0.026927779043059243,KMeans,0.83333333,4,KMeans,0.44545455,1.0
29,KDD-Cup99 HTTP,0.03074503984714791,RPCA,0.93849658,5,KMeans,0.44545455,1.0
30,speed_7578.csv,0.03087113642955793,KMeans,0.75,6,KMeans,0.44545455,1.0
31,Thyroid Disease,0.04319070450015722,KMeans,0.22317597,7,KMeans,0.44545455,1.0
32,speed_t4013.csv,0.047683767987035795,Linear,1.0,8,KMeans,0.44545455,1.0
33,Twitter_volume_KO.csv,0.06355543960412215,Linear,0.8,9,KMeans,0.44545455,1.0
34,Twitter_volume_GOOG.csv,0.06855569050858609,Linear,0.4,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,speed_t4013.csv,0.004493063486878571,Linear,1.0,1,Linear,0.19112628,0.96795031
38,speed_7578.csv,0.012319568070599293,KMeans,0.75,2,KMeans,0.22317597,1.0
39,KDD-Cup99 HTTP,0.012445664653009315,RPCA,0.93849658,3,KMeans,0.22317597,1.0
40,Breast Cancer Diagnostic,0.016262925457097982,KMeans,0.83333333,4,KMeans,0.22317597,1.0
41,Twitter_volume_IBM.csv,0.019798022725363327,Linear,0.5,5,KMeans,0.22317597,1.0
42,Twitter_volume_KO.csv,0.020364735103964922,Linear,0.8,6,Linear,0.19112628,0.96795031
43,Twitter_volume_GOOG.csv,0.025364986008428868,Linear,0.4,7,Linear,0.19112628,0.96795031
44,speed_6005.csv,0.030113386782577058,Linear,0.66666667,8,Linear,0.19112628,0.96795031
45,Twitter_volume_FB.csv,0.03323570568363558,Linear,1.0,9,Linear,0.19112628,0.96795031
46,Twitter_volume_CVS.csv,0.0359275412539684,Linear,0.66666667,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Letter Recognition,3.316165348645142e-05,KMeans,0.44545455,1,KMeans,0.88648649,1.0
50,Twitter_volume_FB.csv,0.009921837163035196,Linear,1.0,2,KMeans,0.88648649,1.0
51,Twitter_volume_IBM.csv,0.02335952012130745,Linear,0.5,3,Linear,0.64473684,0.75825035
52,Breast Cancer Diagnostic,0.026894617389572793,KMeans,0.83333333,4,KMeans,0.88648649,1.0
53,KDD-Cup99 HTTP,0.03071187819366146,RPCA,0.93849658,5,KMeans,0.88648649,1.0
54,speed_7578.csv,0.030837974776071482,KMeans,0.75,6,KMeans,0.88648649,1.0
55,Thyroid Disease,0.04315754284667077,KMeans,0.22317597,7,KMeans,0.88648649,1.0
56,speed_t4013.csv,0.047650606333549346,Linear,1.0,8,KMeans,0.88648649,1.0
57,Twitter_volume_KO.csv,0.0635222779506357,Linear,0.8,9,KMeans,0.88648649,1.0
58,Twitter_volume_GOOG.csv,0.06852252885509964,Linear,0.4,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,KDD-Cup99 HTTP,0.00012609658241002214,RPCA,0.93849658,1,RPCA,0.4,0.65
62,Breast Cancer Diagnostic,0.003943357386498689,KMeans,0.83333333,2,KMeans,0.75,1.0
63,Twitter_volume_IBM.csv,0.007478454654764034,Linear,0.5,3,KMeans,0.75,1.0
64,Thyroid Disease,0.012319568070599286,KMeans,0.22317597,4,KMeans,0.75,1.0
65,speed_t4013.csv,0.016812631557477864,Linear,1.0,5,KMeans,0.75,1.0
66,Twitter_volume_FB.csv,0.020916137613036286,Linear,1.0,6,Linear,0.4,0.65
67,Pen-Based Recognition of Handwritten Text,0.030837974776071482,KMeans,0.88648649,7,KMeans,0.75,1.0
68,Letter Recognition,0.03087113642955793,KMeans,0.44545455,8,KMeans,0.75,1.0
69,Twitter_volume_KO.csv,0.032684303174564215,Linear,0.8,9,KMeans,0.75,1.0
