,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,speed_6005.csv,0.2963887137402933,Linear,0.66666667,1,Linear,0.63157895,0.79824562
2,Twitter_volume_IBM.csv,0.3078887193517811,Linear,0.5,2,Linear,0.63157895,0.79824562
3,Twitter_volume_CVS.csv,0.45407730899358345,Linear,0.66666667,3,Linear,0.63157895,0.79824562
4,speed_t4013.csv,0.4662759356586509,Linear,1.0,4,Linear,0.63157895,0.79824562
5,Thyroid Disease,0.5392968479852314,KMeans,0.22317597,5,Linear,0.63157895,0.79824562
6,Twitter_volume_PFE.csv,0.6679734172364145,KMeans,0.42857143,6,Linear,0.63157895,0.79824562
7,Twitter_volume_KO.csv,0.7106339861806164,Linear,0.8,7,Linear,0.63157895,0.79824562
8,Twitter_volume_UPS.csv,0.7179909475270709,Linear,0.28571429,8,Linear,0.63157895,0.79824562
9,Pen-Based Recognition of Handwritten Text,0.7626636469908602,KMeans,0.88648649,9,Linear,0.63157895,0.79824562
10,Twitter_volume_GOOG.csv,0.7702817937738236,Linear,0.4,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,speed_7578.csv,0.13013032952714854,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
14,Twitter_volume_IBM.csv,0.4752118632511686,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_FB.csv,0.520401871353976,Linear,1.0,3,Linear,0.92639843,0.98790185
16,speed_t4013.csv,0.5705169650311364,Linear,1.0,4,Linear,0.92639843,0.98790185
17,Breast Cancer Diagnostic,1.0355284006080332,KMeans,0.83333333,5,Linear,0.92639843,0.98790185
18,speed_6005.csv,1.2898001044169094,Linear,0.66666667,6,Linear,0.92639843,0.98790185
19,Twitter_volume_CVS.csv,1.435660308773533,Linear,0.66666667,7,Linear,0.92639843,0.98790185
20,Thyroid Disease,1.5479007965798666,KMeans,0.22317597,8,Linear,0.92639843,0.98790185
21,Twitter_volume_KO.csv,1.5631682988060196,Linear,0.8,9,Linear,0.92639843,0.98790185
22,Pen-Based Recognition of Handwritten Text,1.577957111046463,KMeans,0.88648649,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,0.15574877807877563,KMeans,0.88648649,1,KMeans,0.44545455,1.0
26,Twitter_volume_IBM.csv,0.17792993862100082,Linear,0.5,2,KMeans,0.44545455,1.0
27,speed_6005.csv,0.23009410060547597,Linear,0.66666667,3,Linear,0.22222222,0.77676767
28,Breast Cancer Diagnostic,0.3130428257945763,KMeans,0.83333333,4,KMeans,0.44545455,1.0
29,Twitter_volume_CVS.csv,0.41090265166879403,Linear,0.66666667,5,Linear,0.22222222,0.77676767
30,speed_t4013.csv,0.6157723662833872,Linear,1.0,6,Linear,0.22222222,0.77676767
31,Twitter_volume_FB.csv,0.6714596346978825,Linear,1.0,7,Linear,0.22222222,0.77676767
32,Twitter_volume_PFE.csv,0.6785181253914867,KMeans,0.42857143,8,Linear,0.22222222,0.77676767
33,Twitter_volume_UPS.csv,0.7498114588416132,Linear,0.28571429,9,Linear,0.22222222,0.77676767
34,Twitter_volume_KO.csv,1.0099732898177025,Linear,0.8,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,0.02255217080794325,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,speed_t4013.csv,0.07989242599250579,Linear,1.0,2,KMeans,0.22317597,1.0
39,Letter Recognition,0.1125703283483298,KMeans,0.44545455,3,KMeans,0.22317597,1.0
40,Twitter_volume_AMZN.csv,0.2584244747494298,KMeans,0.66666667,4,KMeans,0.22317597,1.0
41,Twitter_volume_AAPL.csv,0.2901264632242034,Linear,0.4,5,KMeans,0.22317597,1.0
42,Twitter_volume_UPS.csv,0.3196133420668887,Linear,0.28571429,6,KMeans,0.22317597,1.0
43,Pen-Based Recognition of Handwritten Text,0.32993533913076406,KMeans,0.88648649,7,KMeans,0.22317597,1.0
44,Twitter_volume_PFE.csv,0.334433919550276,KMeans,0.42857143,8,KMeans,0.22317597,1.0
45,speed_6005.csv,0.34033688930598327,Linear,0.66666667,9,KMeans,0.22317597,1.0
46,speed_7578.csv,0.3474771945228075,KMeans,0.75,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,speed_6005.csv,0.03678854765518408,Linear,0.66666667,1,Linear,0.64473684,0.75825035
50,Twitter_volume_CVS.csv,0.10394383490762515,Linear,0.66666667,2,Linear,0.64473684,0.75825035
51,Letter Recognition,0.1871599866922251,KMeans,0.44545455,3,Linear,0.64473684,0.75825035
52,Twitter_volume_KO.csv,0.18795819077956355,Linear,0.8,4,Linear,0.64473684,0.75825035
53,Breast Cancer Diagnostic,0.2005211669724321,KMeans,0.83333333,5,Linear,0.64473684,0.75825035
54,Twitter_volume_GOOG.csv,0.2538501137901861,Linear,0.4,6,Linear,0.64473684,0.75825035
55,Twitter_volume_PFE.csv,0.29292867776676146,KMeans,0.42857143,7,Linear,0.64473684,0.75825035
56,Thyroid Disease,0.3193527009235523,KMeans,0.22317597,8,KMeans,0.88648649,1.0
57,Twitter_volume_UPS.csv,0.33689889817205887,Linear,0.28571429,9,Linear,0.64473684,0.75825035
58,Twitter_volume_CRM.csv,0.42108359626450304,KMeans,0.54545455,10,KMeans,0.88648649,1.0
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,KDD-Cup99 HTTP,0.015608850456519607,RPCA,0.93849658,1,RPCA,0.4,0.65
62,Twitter_volume_CRM.csv,0.13008845035790884,KMeans,0.54545455,2,KMeans,0.75,1.0
63,Twitter_volume_GOOG.csv,0.23133493857210208,Linear,0.4,3,KMeans,0.75,1.0
64,Twitter_volume_AAPL.csv,0.24071105095728706,Linear,0.4,4,Linear,0.4,0.65
65,Twitter_volume_AMZN.csv,0.27018839124572913,KMeans,0.66666667,5,KMeans,0.75,1.0
66,Thyroid Disease,0.37540609091352517,KMeans,0.22317597,6,KMeans,0.75,1.0
67,Breast Cancer Diagnostic,0.3995241673283654,KMeans,0.83333333,7,KMeans,0.75,1.0
68,Twitter_volume_KO.csv,0.40688134324408687,Linear,0.8,8,KMeans,0.75,1.0
69,speed_t4013.csv,0.4621677395463942,Linear,1.0,9,KMeans,0.75,1.0
70,Letter Recognition,0.5002586579073401,KMeans,0.44545455,10,KMeans,0.75,1.0
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_AMZN.csv,0.0172662169935629,KMeans,0.66666667,1,KMeans,0.4,1.0
74,speed_6005.csv,0.04487169861227122,Linear,0.66666667,2,KMeans,0.4,1.0
75,Twitter_volume_CVS.csv,0.05170387413750971,Linear,0.66666667,3,Linear,0.4,1.0
76,Twitter_volume_CRM.csv,0.06798929402263446,KMeans,0.54545455,4,KMeans,0.4,1.0
77,Pen-Based Recognition of Handwritten Text,0.12234863961682207,KMeans,0.88648649,5,KMeans,0.4,1.0
78,Twitter_volume_PFE.csv,0.15325165458274584,KMeans,0.42857143,6,KMeans,0.4,1.0
79,Twitter_volume_UPS.csv,0.16909051893306737,Linear,0.28571429,7,KMeans,0.4,1.0
80,Twitter_volume_GOOG.csv,0.3072463679552381,Linear,0.4,8,KMeans,0.4,1.0
81,Twitter_volume_KO.csv,0.43417731893730926,Linear,0.8,9,Linear,0.4,1.0
82,speed_t4013.csv,0.5929846228975232,Linear,1.0,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_KO.csv,0.00721354244135855,Linear,0.8,1,Linear,0.28571429,1.0
86,Twitter_volume_PFE.csv,0.05531575859849319,KMeans,0.42857143,2,KMeans,0.22222222,0.93650793
87,Twitter_volume_GOOG.csv,0.057511707200656625,Linear,0.4,3,Linear,0.28571429,1.0
88,Thyroid Disease,0.16165767576729212,KMeans,0.22317597,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_CRM.csv,0.1938458245000262,KMeans,0.54545455,5,KMeans,0.22222222,0.93650793
90,Twitter_volume_AAPL.csv,0.21377581226637454,Linear,0.4,6,KMeans,0.22222222,0.93650793
91,Twitter_volume_AMZN.csv,0.2186253505190493,KMeans,0.66666667,7,KMeans,0.22222222,0.93650793
92,Twitter_volume_CVS.csv,0.275049246002854,Linear,0.66666667,8,KMeans,0.22222222,0.93650793
93,Breast Cancer Diagnostic,0.42735240628198307,KMeans,0.83333333,9,KMeans,0.22222222,0.93650793
94,speed_6005.csv,0.4300857604047102,Linear,0.66666667,10,KMeans,0.22222222,0.93650793
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,Pen-Based Recognition of Handwritten Text,0.0033242205862475064,KMeans,0.88648649,1,KMeans,0.66666667,1.0
98,Twitter_volume_PFE.csv,0.010213653241844185,KMeans,0.42857143,2,KMeans,0.66666667,1.0
99,Twitter_volume_CVS.csv,0.015035631442799156,Linear,0.66666667,3,KMeans,0.66666667,1.0
100,Twitter_volume_UPS.csv,0.025571260025115027,Linear,0.28571429,4,KMeans,0.66666667,1.0
101,speed_t4013.csv,0.2549892543451252,Linear,1.0,5,Linear,0.66666667,1.0
102,Letter Recognition,0.27823205073223706,KMeans,0.44545455,6,KMeans,0.66666667,1.0
103,Breast Cancer Diagnostic,0.32400019586820317,KMeans,0.83333333,7,KMeans,0.66666667,1.0
104,Thyroid Disease,0.3641259133469148,KMeans,0.22317597,8,KMeans,0.66666667,1.0
105,Twitter_volume_AMZN.csv,0.6124770053137716,KMeans,0.66666667,9,KMeans,0.66666667,1.0
106,Twitter_volume_AAPL.csv,0.6444454191460908,Linear,0.4,10,KMeans,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
109,Twitter_volume_UPS.csv,0.04164715452147327,Linear,0.28571429,1,Linear,0.8,1.0
110,Twitter_volume_GOOG.csv,0.04609455392772038,Linear,0.4,2,Linear,0.8,1.0
111,Twitter_volume_PFE.csv,0.10019367969677298,KMeans,0.42857143,3,Linear,0.8,1.0
112,Thyroid Disease,0.17402091059416194,KMeans,0.22317597,4,KMeans,0.8,1.0
113,Twitter_volume_CRM.csv,0.17623673950932803,KMeans,0.54545455,5,KMeans,0.8,1.0
114,Twitter_volume_AAPL.csv,0.19364124190458737,Linear,0.4,6,KMeans,0.8,1.0
115,Twitter_volume_AMZN.csv,0.19775918216752214,KMeans,0.66666667,7,KMeans,0.8,1.0
116,Twitter_volume_CVS.csv,0.32718468852641813,Linear,0.66666667,8,KMeans,0.8,1.0
117,Breast Cancer Diagnostic,0.4091432972052321,KMeans,0.83333333,9,KMeans,0.8,1.0
118,speed_6005.csv,0.4847346883367373,Linear,0.66666667,10,KMeans,0.8,1.0
119,,,,,,,,
120,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
121,Twitter_volume_KO.csv,0.032794705601240315,Linear,0.8,1,Linear,0.4,1.0
122,Twitter_volume_AMZN.csv,0.05996124479710601,KMeans,0.66666667,2,KMeans,0.4,1.0
123,Twitter_volume_AAPL.csv,0.061849659984727655,Linear,0.4,3,Linear,0.4,1.0
124,Twitter_volume_CRM.csv,0.062318247711256936,KMeans,0.54545455,4,KMeans,0.4,1.0
125,Thyroid Disease,0.18001667108915098,KMeans,0.22317597,5,KMeans,0.4,1.0
126,Twitter_volume_UPS.csv,0.34974704003740553,Linear,0.28571429,6,KMeans,0.4,1.0
127,Letter Recognition,0.3949473724899107,KMeans,0.44545455,7,KMeans,0.4,1.0
128,Twitter_volume_PFE.csv,0.42173186011507413,KMeans,0.42857143,8,KMeans,0.4,1.0
129,Pen-Based Recognition of Handwritten Text,0.44181521466781204,KMeans,0.88648649,9,KMeans,0.4,1.0
130,Twitter_volume_CVS.csv,0.6982188401236475,Linear,0.66666667,10,KMeans,0.4,1.0
131,,,,,,,,
132,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
133,Twitter_volume_AMZN.csv,0.003133068108546855,KMeans,0.66666667,1,KMeans,0.66666667,1.0
134,Twitter_volume_AAPL.csv,0.019700196352524096,Linear,0.4,2,KMeans,0.66666667,1.0
135,Twitter_volume_CRM.csv,0.08436320427107713,KMeans,0.54545455,3,KMeans,0.66666667,1.0
136,speed_6005.csv,0.10026638860151682,Linear,0.66666667,4,KMeans,0.66666667,1.0
137,Twitter_volume_PFE.csv,0.10857605675177931,KMeans,0.42857143,5,KMeans,0.66666667,1.0
138,Twitter_volume_UPS.csv,0.12643567828629293,Linear,0.28571429,6,KMeans,0.66666667,1.0
139,Pen-Based Recognition of Handwritten Text,0.13292549137390988,KMeans,0.88648649,7,KMeans,0.66666667,1.0
140,Twitter_volume_GOOG.csv,0.3192724228514421,Linear,0.4,8,KMeans,0.66666667,1.0
141,Twitter_volume_KO.csv,0.4398809450538086,Linear,0.8,9,Linear,0.66666667,1.0
142,Letter Recognition,0.4898932009014155,KMeans,0.44545455,10,KMeans,0.66666667,1.0
143,,,,,,,,
144,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
145,Twitter_volume_IBM.csv,1.254076795099297,Linear,0.5,1,Linear,1.0,1.0
146,speed_7578.csv,2.3976591457638556,KMeans,0.75,2,KMeans,1.0,1.0
147,KDD-Cup99 HTTP,2.4250007878257804,RPCA,0.93849658,3,KMeans,1.0,1.0
148,Twitter_volume_KO.csv,2.794960320583861,Linear,0.8,4,Linear,1.0,1.0
149,Twitter_volume_GOOG.csv,2.9246544935656376,Linear,0.4,5,Linear,1.0,1.0
150,speed_t4013.csv,2.958440495754444,Linear,1.0,6,Linear,1.0,1.0
151,Breast Cancer Diagnostic,3.0430692442667637,KMeans,0.83333333,7,Linear,1.0,1.0
152,Thyroid Disease,3.208836613389549,KMeans,0.22317597,8,Linear,1.0,1.0
153,Twitter_volume_CRM.csv,3.213692104216485,KMeans,0.54545455,9,KMeans,1.0,1.0
154,Twitter_volume_AAPL.csv,3.2922047177497156,Linear,0.4,10,Linear,1.0,1.0
155,,,,,,,,
156,Twitter_volume_IBM.csv,0,Linear,0.5,0,Linear,0.5,1
157,Twitter_volume_FB.csv,1.3200108635197343,Linear,1.0,1,Linear,0.5,1.0
158,KDD-Cup99 HTTP,1.5435200357555765,RPCA,0.93849658,2,Linear,0.5,1.0
