,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,speed_7578.csv,1.2388735985052406,KMeans,0.75,1,KMeans,0.83333333,1.0
2,KDD-Cup99 HTTP,1.6227908378053975,RPCA,0.93849658,2,KMeans,0.83333333,1.0
3,Thyroid Disease,1.740882577783224,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,speed_t4013.csv,1.7862232621087457,Linear,1.0,4,KMeans,0.83333333,1.0
5,speed_6005.csv,2.252573514532494,Linear,0.66666667,5,KMeans,0.83333333,1.0
6,Twitter_volume_CVS.csv,2.3914828053187613,Linear,0.66666667,6,Linear,0.63157895,0.79824562
7,Twitter_volume_PFE.csv,2.5525509931137687,KMeans,0.42857143,7,KMeans,0.83333333,1.0
8,Twitter_volume_UPS.csv,2.560749430190678,Linear,0.28571429,8,Linear,0.63157895,0.79824562
9,Pen-Based Recognition of Handwritten Text,3.16300744610769,KMeans,0.88648649,9,KMeans,0.83333333,1.0
10,Twitter_volume_AMZN.csv,3.164334675345616,KMeans,0.66666667,10,KMeans,0.83333333,1.0
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,speed_7578.csv,0.5566334637406107,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
14,speed_t4013.csv,0.7366227008976085,Linear,1.0,2,KMeans,0.38537271,0.4468761299999999
15,speed_6005.csv,1.202972953321357,Linear,0.66666667,3,Linear,0.92639843,0.98790185
16,Twitter_volume_CVS.csv,1.3418822441076241,Linear,0.66666667,4,Linear,0.92639843,0.98790185
17,Twitter_volume_PFE.csv,1.5029504319026314,KMeans,0.42857143,5,Linear,0.92639843,0.98790185
18,Twitter_volume_UPS.csv,1.5111488689795407,Linear,0.28571429,6,Linear,0.92639843,0.98790185
19,Breast Cancer Diagnostic,1.6227908378053975,KMeans,0.83333333,7,Linear,0.92639843,0.98790185
20,Twitter_volume_AMZN.csv,2.1147341141344786,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_AAPL.csv,2.1325997005444437,Linear,0.4,9,Linear,0.92639843,0.98790185
22,Twitter_volume_CRM.csv,2.2268879276622093,KMeans,0.54545455,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Thyroid Disease,3.559139504079557,KMeans,0.22317597,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,4.519687520824533,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,Breast Cancer Diagnostic,5.300022081862781,KMeans,0.83333333,3,KMeans,0.44545455,1.0
28,KDD-Cup99 HTTP,6.163971226567685,RPCA,0.93849658,4,KMeans,0.44545455,1.0
29,speed_7578.csv,6.3532442638617885,KMeans,0.75,5,KMeans,0.44545455,1.0
30,speed_t4013.csv,6.900593927465293,Linear,1.0,6,KMeans,0.44545455,1.0
31,speed_6005.csv,7.366944179889041,Linear,0.66666667,7,KMeans,0.44545455,1.0
32,Twitter_volume_CVS.csv,7.505853470675309,Linear,0.66666667,8,KMeans,0.44545455,1.0
33,Twitter_volume_PFE.csv,7.666921658470316,KMeans,0.42857143,9,KMeans,0.44545455,1.0
34,Twitter_volume_UPS.csv,7.675120095547225,Linear,0.28571429,10,KMeans,0.44545455,1.0
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
