,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Twitter_volume_FB.csv,0.1977377869867425,Linear,1.0,1,Linear,0.63157895,0.79824562
2,KDD-Cup99 HTTP,0.5410171866341686,RPCA,0.93849658,2,Linear,0.63157895,0.79824562
3,Twitter_volume_IBM.csv,0.5635767674551437,Linear,0.5,3,Linear,0.63157895,0.79824562
4,speed_7578.csv,0.6508515329529925,KMeans,0.75,4,Linear,0.63157895,0.79824562
5,Thyroid Disease,0.6996990481405589,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,speed_t4013.csv,1.0164488274089745,Linear,1.0,6,Linear,0.63157895,0.79824562
7,Twitter_volume_GOOG.csv,1.2003155403752475,Linear,0.4,7,Linear,0.63157895,0.79824562
8,Pen-Based Recognition of Handwritten Text,1.201075103360422,KMeans,0.88648649,8,Linear,0.63157895,0.79824562
9,Twitter_volume_KO.csv,1.2142360620944839,Linear,0.8,9,Linear,0.63157895,0.79824562
10,speed_6005.csv,1.40936464402846,Linear,0.66666667,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Twitter_volume_IBM.csv,0.02255958082097509,Linear,0.5,1,Linear,0.92639843,0.98790185
14,speed_7578.csv,0.10983434631882383,KMeans,0.75,2,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,0.1586818615063903,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_FB.csv,0.34327939964742615,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
17,speed_t4013.csv,0.4754316407748058,Linear,1.0,5,Linear,0.92639843,0.98790185
18,Breast Cancer Diagnostic,0.5410171866341686,KMeans,0.83333333,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_GOOG.csv,0.6592983537410788,Linear,0.4,7,Linear,0.92639843,0.98790185
20,Twitter_volume_KO.csv,0.6732188754603153,Linear,0.8,8,Linear,0.92639843,0.98790185
21,speed_6005.csv,0.8683474573942913,Linear,0.66666667,9,Linear,0.92639843,0.98790185
22,Twitter_volume_CRM.csv,0.9396201326042182,KMeans,0.54545455,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Pen-Based Recognition of Handwritten Text,1.4983652958358276,KMeans,0.88648649,1,KMeans,0.44545455,1.0
