,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.0946275,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Twitter_volume_IBM.csv,0.5701841,Linear,0.5,2,KMeans,0.83333333,1.0
3,Twitter_volume_FB.csv,0.57018614,Linear,1.0,3,Linear,0.63157895,0.79824562
4,Twitter_volume_CRM.csv,0.57044184,KMeans,0.54545455,4,KMeans,0.83333333,1.0
5,Twitter_volume_KO.csv,0.5704442,Linear,0.8,5,Linear,0.63157895,0.79824562
6,Twitter_volume_AAPL.csv,0.5706976,Linear,0.4,6,Linear,0.63157895,0.79824562
7,Twitter_volume_PFE.csv,0.5707004,KMeans,0.42857143,7,Linear,0.63157895,0.79824562
8,Twitter_volume_CVS.csv,0.57070076,Linear,0.66666667,8,Linear,0.63157895,0.79824562
9,Twitter_volume_GOOG.csv,0.5707015,Linear,0.4,9,Linear,0.63157895,0.79824562
10,Twitter_volume_AMZN.csv,0.5707022,KMeans,0.66666667,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,0.20624101,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Twitter_volume_IBM.csv,0.70965713,Linear,0.5,2,KMeans,0.38537271,0.4468761299999999
15,Twitter_volume_FB.csv,0.709659,Linear,1.0,3,Linear,0.92639843,0.98790185
16,Twitter_volume_CRM.csv,0.7098971,KMeans,0.54545455,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_KO.csv,0.70989937,Linear,0.8,5,Linear,0.92639843,0.98790185
18,Twitter_volume_AAPL.csv,0.71013623,Linear,0.4,6,Linear,0.92639843,0.98790185
19,Twitter_volume_PFE.csv,0.7101389,KMeans,0.42857143,7,Linear,0.92639843,0.98790185
20,Twitter_volume_CVS.csv,0.7101392,Linear,0.66666667,8,Linear,0.92639843,0.98790185
21,Twitter_volume_GOOG.csv,0.7101399,Linear,0.4,9,Linear,0.92639843,0.98790185
22,Twitter_volume_AMZN.csv,0.7101405,KMeans,0.66666667,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Letter Recognition,0.13975137,KMeans,0.44545455,1,KMeans,0.44545455,1.0
26,Twitter_volume_IBM.csv,0.6047863,Linear,0.5,2,KMeans,0.44545455,1.0
27,Twitter_volume_FB.csv,0.6047883,Linear,1.0,3,Linear,0.22222222,0.77676767
28,Twitter_volume_CRM.csv,0.6050504,KMeans,0.54545455,4,KMeans,0.44545455,1.0
29,Twitter_volume_KO.csv,0.6050529,Linear,0.8,5,Linear,0.22222222,0.77676767
30,Twitter_volume_AAPL.csv,0.6053137,Linear,0.4,6,Linear,0.22222222,0.77676767
31,Twitter_volume_PFE.csv,0.60531664,KMeans,0.42857143,7,Linear,0.22222222,0.77676767
32,Twitter_volume_CVS.csv,0.60531694,Linear,0.66666667,8,Linear,0.22222222,0.77676767
33,Twitter_volume_GOOG.csv,0.60531765,Linear,0.4,9,Linear,0.22222222,0.77676767
34,Twitter_volume_AMZN.csv,0.6053184,KMeans,0.66666667,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,0.1693359,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Twitter_volume_IBM.csv,0.66314936,Linear,0.5,2,KMeans,0.22317597,1.0
39,Twitter_volume_FB.csv,0.66315126,Linear,1.0,3,Linear,0.19112628,0.96795031
40,Twitter_volume_CRM.csv,0.66340065,KMeans,0.54545455,4,KMeans,0.22317597,1.0
41,Twitter_volume_KO.csv,0.6634031,Linear,0.8,5,Linear,0.19112628,0.96795031
42,Twitter_volume_AAPL.csv,0.6636512,Linear,0.4,6,Linear,0.19112628,0.96795031
43,Twitter_volume_PFE.csv,0.66365397,KMeans,0.42857143,7,Linear,0.19112628,0.96795031
44,Twitter_volume_CVS.csv,0.6636543,Linear,0.66666667,8,Linear,0.19112628,0.96795031
45,Twitter_volume_GOOG.csv,0.66365504,Linear,0.4,9,Linear,0.19112628,0.96795031
46,Twitter_volume_AMZN.csv,0.6636557,KMeans,0.66666667,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Letter Recognition,0.09306872,KMeans,0.44545455,1,KMeans,0.88648649,1.0
50,Twitter_volume_IBM.csv,0.5123044,Linear,0.5,2,KMeans,0.88648649,1.0
51,Twitter_volume_FB.csv,0.5123062,Linear,1.0,3,Linear,0.64473684,0.75825035
52,Twitter_volume_CRM.csv,0.5125376,KMeans,0.54545455,4,KMeans,0.88648649,1.0
53,Twitter_volume_KO.csv,0.5125398,Linear,0.8,5,Linear,0.64473684,0.75825035
54,Twitter_volume_AAPL.csv,0.5127698,Linear,0.4,6,Linear,0.64473684,0.75825035
55,Twitter_volume_PFE.csv,0.51277244,KMeans,0.42857143,7,Linear,0.64473684,0.75825035
56,Twitter_volume_CVS.csv,0.51277274,Linear,0.66666667,8,Linear,0.64473684,0.75825035
57,Twitter_volume_GOOG.csv,0.51277333,Linear,0.4,9,Linear,0.64473684,0.75825035
58,Twitter_volume_AMZN.csv,0.512774,KMeans,0.66666667,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,Letter Recognition,0.1405999,KMeans,0.44545455,1,KMeans,0.75,1.0
62,Twitter_volume_IBM.csv,0.64258116,Linear,0.5,2,KMeans,0.75,1.0
63,Twitter_volume_FB.csv,0.642583,Linear,1.0,3,Linear,0.4,0.65
64,Twitter_volume_CRM.csv,0.64281905,KMeans,0.54545455,4,KMeans,0.75,1.0
65,Twitter_volume_KO.csv,0.6428213,Linear,0.8,5,Linear,0.4,0.65
66,Twitter_volume_AAPL.csv,0.6430561,Linear,0.4,6,Linear,0.4,0.65
67,Twitter_volume_PFE.csv,0.6430587,KMeans,0.42857143,7,Linear,0.4,0.65
68,Twitter_volume_CVS.csv,0.643059,Linear,0.66666667,8,Linear,0.4,0.65
69,Twitter_volume_GOOG.csv,0.6430596,Linear,0.4,9,Linear,0.4,0.65
70,Twitter_volume_AMZN.csv,0.6430603,KMeans,0.66666667,10,Linear,0.4,0.65
71,,,,,,,,
