,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Letter Recognition,1.22185389944651,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.0
2,Pen-Based Recognition of Handwritten Text,2.9130425499362675,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.0
3,speed_7578.csv,4.053167254908581,KMeans,0.75,3,KMeans,0.83333333,1.0,0.0
4,speed_t4013.csv,4.073490129242558,Linear,1.0,4,KMeans,0.83333333,1.0,0.0
5,speed_6005.csv,4.076638005284613,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.0
6,Twitter_volume_UPS.csv,4.077308923639087,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.0
7,Twitter_volume_AMZN.csv,4.077804104842328,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.0
8,Twitter_volume_GOOG.csv,4.077805533219646,Linear,0.4,8,KMeans,0.83333333,1.0,0.0
9,Twitter_volume_CVS.csv,4.077806882250954,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.0
10,Twitter_volume_PFE.csv,4.077807517092001,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.0
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,Letter Recognition,1.222335233142233,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.1
14,Pen-Based Recognition of Handwritten Text,2.9132444745210493,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.1
15,speed_7578.csv,4.053312382095832,KMeans,0.75,3,KMeans,0.83333333,1.0,0.1
16,speed_t4013.csv,4.073634532407735,Linear,1.0,4,KMeans,0.83333333,1.0,0.1
17,speed_6005.csv,4.0767822969492915,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.1
18,Twitter_volume_UPS.csv,4.0774531915615135,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.1
19,Twitter_volume_AMZN.csv,4.077948355246444,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.1
20,Twitter_volume_GOOG.csv,4.077949783573235,Linear,0.4,8,KMeans,0.83333333,1.0,0.1
21,Twitter_volume_CVS.csv,4.077951132556823,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.1
22,Twitter_volume_PFE.csv,4.077951767375414,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.1
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,Letter Recognition,1.2267738220292166,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.2
26,Pen-Based Recognition of Handwritten Text,2.915109595977949,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.2
27,speed_7578.csv,4.054653111560431,KMeans,0.75,3,KMeans,0.83333333,1.0,0.2
28,speed_t4013.csv,4.074968575567188,Linear,1.0,4,KMeans,0.83333333,1.0,0.2
29,speed_6005.csv,4.078115310404359,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.2
30,Twitter_volume_UPS.csv,4.078785985757339,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.2
31,Twitter_volume_AMZN.csv,4.079280987660996,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.2
32,Twitter_volume_GOOG.csv,4.079282415521177,Linear,0.4,8,KMeans,0.83333333,1.0,0.2
33,Twitter_volume_CVS.csv,4.079283764064075,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.2
34,Twitter_volume_PFE.csv,4.0792843986752825,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.2
35,,,,,,,,,
36,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
37,Letter Recognition,1.2462902640159224,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.30000000000000004
38,Pen-Based Recognition of Handwritten Text,2.923376364467536,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.30000000000000004
39,speed_7578.csv,4.060600604202707,KMeans,0.75,3,KMeans,0.83333333,1.0,0.30000000000000004
40,speed_t4013.csv,4.0808864605162425,Linear,1.0,4,KMeans,0.83333333,1.0,0.30000000000000004
41,speed_6005.csv,4.084028635638974,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.30000000000000004
42,Twitter_volume_UPS.csv,4.084698340070558,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.30000000000000004
43,Twitter_volume_AMZN.csv,4.08519262557559,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.30000000000000004
44,Twitter_volume_GOOG.csv,4.08519405136953,Linear,0.4,8,KMeans,0.83333333,1.0,0.30000000000000004
45,Twitter_volume_CVS.csv,4.085195397960969,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.30000000000000004
46,Twitter_volume_PFE.csv,4.0851960316538385,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.30000000000000004
47,,,,,,,,,
48,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
49,Letter Recognition,1.3131284981939555,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.4
50,Pen-Based Recognition of Handwritten Text,2.952489864320564,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.4
51,speed_7578.csv,4.081610502906864,KMeans,0.75,3,KMeans,0.83333333,1.0,0.4
52,speed_t4013.csv,4.101792453819796,Linear,1.0,4,KMeans,0.83333333,1.0,0.4
53,speed_6005.csv,4.10491862614929,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.4
54,Twitter_volume_UPS.csv,4.1055849229998165,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.4
55,Twitter_volume_AMZN.csv,4.10607669419915,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.4
56,Twitter_volume_GOOG.csv,4.106078112741309,Linear,0.4,8,KMeans,0.83333333,1.0,0.4
57,Twitter_volume_CVS.csv,4.106079452483806,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.4
58,Twitter_volume_PFE.csv,4.106080082953632,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.4
59,,,,,,,,,
60,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
61,Letter Recognition,1.513414994932573,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.5
62,Pen-Based Recognition of Handwritten Text,3.0468532772408503,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.5
63,speed_7578.csv,4.150381041730659,KMeans,0.75,3,KMeans,0.83333333,1.0,0.5
64,speed_t4013.csv,4.1702301888901365,Linear,1.0,4,KMeans,0.83333333,1.0,0.5
65,speed_6005.csv,4.1733050956556035,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.5
66,Twitter_volume_UPS.csv,4.173960475864746,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.5
67,Twitter_volume_AMZN.csv,4.17444419207672,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.5
68,Twitter_volume_GOOG.csv,4.174445587386531,Linear,0.4,8,KMeans,0.83333333,1.0,0.5
69,Twitter_volume_CVS.csv,4.174446905187244,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.5
70,Twitter_volume_PFE.csv,4.174447525331484,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.5
71,,,,,,,,,
72,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
73,Letter Recognition,2.0408287666631173,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.6000000000000001
74,Pen-Based Recognition of Handwritten Text,3.3403401025922865,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.6000000000000001
75,speed_7578.csv,4.370379834695174,KMeans,0.75,3,KMeans,0.83333333,1.0,0.6000000000000001
76,speed_t4013.csv,4.3892342084108025,Linear,1.0,4,KMeans,0.83333333,1.0,0.6000000000000001
77,speed_6005.csv,4.392155795207858,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.6000000000000001
78,Twitter_volume_UPS.csv,4.392778524127297,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.6000000000000001
79,Twitter_volume_AMZN.csv,4.393238147507598,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.6000000000000001
80,Twitter_volume_GOOG.csv,4.393239473327605,Linear,0.4,8,KMeans,0.83333333,1.0,0.6000000000000001
81,Twitter_volume_CVS.csv,4.393240725498695,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.6000000000000001
82,Twitter_volume_PFE.csv,4.393241314758283,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.6000000000000001
83,,,,,,,,,
84,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
85,Letter Recognition,3.256873663315814,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.7000000000000001
86,Pen-Based Recognition of Handwritten Text,4.195249218454932,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.7000000000000001
87,speed_7578.csv,5.053955273196498,KMeans,0.75,3,KMeans,0.83333333,1.0,0.7000000000000001
88,speed_t4013.csv,5.070268330201477,Linear,1.0,4,KMeans,0.83333333,1.0,0.7000000000000001
89,speed_6005.csv,5.072797702780827,Linear,0.66666667,5,KMeans,0.83333333,1.0,0.7000000000000001
90,Twitter_volume_UPS.csv,5.073336886704299,Linear,0.28571429,6,KMeans,0.83333333,1.0,0.7000000000000001
91,Twitter_volume_AMZN.csv,5.07373485951685,KMeans,0.66666667,7,KMeans,0.83333333,1.0,0.7000000000000001
92,Twitter_volume_GOOG.csv,5.073736007515989,Linear,0.4,8,KMeans,0.83333333,1.0,0.7000000000000001
93,Twitter_volume_CVS.csv,5.073737091744188,Linear,0.66666667,9,Linear,0.63157895,0.79824562,0.7000000000000001
94,Twitter_volume_PFE.csv,5.073737601971505,KMeans,0.42857143,10,KMeans,0.83333333,1.0,0.7000000000000001
95,,,,,,,,,
