,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,1.22185389944651,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,2.9130425499362675,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,KDD-Cup99 HTTP,7.655637912978149,RPCA,0.93849658,3,KMeans,0.83333333,1.0
4,speed_7578.csv,7.69110131244039,KMeans,0.75,4,KMeans,0.83333333,1.0
5,speed_t4013.csv,7.786230793043993,Linear,1.0,5,KMeans,0.83333333,1.0
6,speed_6005.csv,7.800135038275521,Linear,0.66666667,6,KMeans,0.83333333,1.0
7,Twitter_volume_UPS.csv,7.803073071767422,Linear,0.28571429,7,KMeans,0.83333333,1.0
8,Twitter_volume_AMZN.csv,7.8052359158899645,KMeans,0.66666667,8,KMeans,0.83333333,1.0
9,Twitter_volume_GOOG.csv,7.80524214787239,Linear,0.4,9,KMeans,0.83333333,1.0
10,Twitter_volume_CVS.csv,7.805248033633568,Linear,0.66666667,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Breast Cancer Diagnostic,7.655637912978149,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
14,speed_t4013.csv,8.86187538137383,Linear,1.0,2,KMeans,0.38537271,0.4468761299999999
15,speed_6005.csv,8.875779626605357,Linear,0.66666667,3,Linear,0.92639843,0.98790185
16,Letter Recognition,8.87749181242466,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_UPS.csv,8.878717660097259,Linear,0.28571429,5,Linear,0.92639843,0.98790185
18,Twitter_volume_AMZN.csv,8.880880504219803,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_GOOG.csv,8.880886736202227,Linear,0.4,7,Linear,0.92639843,0.98790185
20,Twitter_volume_CVS.csv,8.880892621963405,Linear,0.66666667,8,Linear,0.92639843,0.98790185
21,Twitter_volume_PFE.csv,8.880895391733372,KMeans,0.42857143,9,Linear,0.92639843,0.98790185
22,Twitter_volume_AAPL.csv,8.880919627220578,Linear,0.4,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Breast Cancer Diagnostic,1.22185389944651,KMeans,0.83333333,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,1.6911886504897577,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,KDD-Cup99 HTTP,8.87749181242466,RPCA,0.93849658,3,KMeans,0.44545455,1.0
28,speed_7578.csv,8.9129552118869,KMeans,0.75,4,KMeans,0.44545455,1.0
29,speed_t4013.csv,9.008084692490502,Linear,1.0,5,KMeans,0.44545455,1.0
30,speed_6005.csv,9.02198893772203,Linear,0.66666667,6,KMeans,0.44545455,1.0
31,Twitter_volume_UPS.csv,9.024926971213931,Linear,0.28571429,7,KMeans,0.44545455,1.0
32,Twitter_volume_AMZN.csv,9.027089815336474,KMeans,0.66666667,8,KMeans,0.44545455,1.0
33,Twitter_volume_GOOG.csv,9.0270960473189,Linear,0.4,9,KMeans,0.44545455,1.0
34,Twitter_volume_CVS.csv,9.027101933080077,Linear,0.66666667,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Breast Cancer Diagnostic,9.034597240562837,KMeans,0.83333333,1,KMeans,0.22317597,1.0
38,Letter Recognition,9.649821661499647,KMeans,0.44545455,2,KMeans,0.22317597,1.0
39,Pen-Based Recognition of Handwritten Text,11.341010311989404,KMeans,0.88648649,3,KMeans,0.22317597,1.0
40,KDD-Cup99 HTTP,16.690235153540986,RPCA,0.93849658,4,KMeans,0.22317597,1.0
41,speed_7578.csv,16.725698553003227,KMeans,0.75,5,KMeans,0.22317597,1.0
42,speed_t4013.csv,16.82082803360683,Linear,1.0,6,KMeans,0.22317597,1.0
43,speed_6005.csv,16.83473227883836,Linear,0.66666667,7,KMeans,0.22317597,1.0
44,Twitter_volume_UPS.csv,16.837670312330257,Linear,0.28571429,8,KMeans,0.22317597,1.0
45,Twitter_volume_AMZN.csv,16.8398331564528,KMeans,0.66666667,9,KMeans,0.22317597,1.0
46,Twitter_volume_GOOG.csv,16.839839388435227,Linear,0.4,10,KMeans,0.22317597,1.0
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Letter Recognition,1.6911886504897577,KMeans,0.44545455,1,KMeans,0.88648649,1.0
50,Breast Cancer Diagnostic,2.9130425499362675,KMeans,0.83333333,2,KMeans,0.88648649,1.0
51,KDD-Cup99 HTTP,10.568680462914418,RPCA,0.93849658,3,KMeans,0.88648649,1.0
52,speed_7578.csv,10.60414386237666,KMeans,0.75,4,KMeans,0.88648649,1.0
53,speed_t4013.csv,10.69927334298026,Linear,1.0,5,KMeans,0.88648649,1.0
54,speed_6005.csv,10.713177588211789,Linear,0.66666667,6,KMeans,0.88648649,1.0
55,Twitter_volume_UPS.csv,10.71611562170369,Linear,0.28571429,7,KMeans,0.88648649,1.0
56,Twitter_volume_AMZN.csv,10.718278465826232,KMeans,0.66666667,8,KMeans,0.88648649,1.0
57,Twitter_volume_GOOG.csv,10.718284697808656,Linear,0.4,9,KMeans,0.88648649,1.0
58,Twitter_volume_CVS.csv,10.718290583569836,Linear,0.66666667,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,speed_t4013.csv,0.09512948060360221,Linear,1.0,1,Linear,0.4,0.65
62,speed_6005.csv,0.10903372583512977,Linear,0.66666667,2,Linear,0.4,0.65
63,Twitter_volume_UPS.csv,0.11197175932703068,Linear,0.28571429,3,Linear,0.4,0.65
64,Twitter_volume_AMZN.csv,0.11413460344957432,KMeans,0.66666667,4,Linear,0.4,0.65
65,Twitter_volume_GOOG.csv,0.11414083543199882,Linear,0.4,5,Linear,0.4,0.65
66,Twitter_volume_CVS.csv,0.11414672119317748,Linear,0.66666667,6,Linear,0.4,0.65
67,Twitter_volume_PFE.csv,0.11414949096314392,KMeans,0.42857143,7,Linear,0.4,0.65
68,Twitter_volume_AAPL.csv,0.11417372645035029,Linear,0.4,8,Linear,0.4,0.65
69,Twitter_volume_KO.csv,0.11632999236922364,Linear,0.8,9,Linear,0.4,0.65
70,Twitter_volume_CRM.csv,0.1163507656439719,KMeans,0.54545455,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Twitter_volume_PFE.csv,2.423548720636992e-05,KMeans,0.42857143,1,KMeans,0.4,1.0
74,Twitter_volume_CVS.csv,2.700525717280744e-05,Linear,0.66666667,2,KMeans,0.4,1.0
75,Twitter_volume_GOOG.csv,3.289101835146635e-05,Linear,0.4,3,Linear,0.4,1.0
76,Twitter_volume_AMZN.csv,3.9123000775964645e-05,KMeans,0.66666667,4,KMeans,0.4,1.0
77,Twitter_volume_KO.csv,0.002156265918873357,Linear,0.8,5,Linear,0.4,1.0
78,Twitter_volume_CRM.csv,0.0021770391936216105,KMeans,0.54545455,6,KMeans,0.4,1.0
79,Twitter_volume_UPS.csv,0.0022019671233196036,Linear,0.28571429,7,Linear,0.4,1.0
80,Twitter_volume_FB.csv,0.004335382439969837,Linear,1.0,8,Linear,0.4,1.0
81,Twitter_volume_IBM.csv,0.004352001059768462,Linear,0.5,9,Linear,0.4,1.0
82,speed_6005.csv,0.005140000615220519,Linear,0.66666667,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Twitter_volume_AMZN.csv,0.002162844122543639,KMeans,0.66666667,1,KMeans,0.22222222,0.93650793
86,Twitter_volume_GOOG.csv,0.0021690761049681373,Linear,0.4,2,KMeans,0.22222222,0.93650793
87,Twitter_volume_CVS.csv,0.002174961866146796,Linear,0.66666667,3,Linear,0.28571429,1.0
88,Twitter_volume_PFE.csv,0.0021777316361132337,KMeans,0.42857143,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_AAPL.csv,0.0022019671233196036,Linear,0.4,5,Linear,0.28571429,1.0
90,speed_6005.csv,0.0029380334919009155,Linear,0.66666667,6,Linear,0.28571429,1.0
91,Twitter_volume_KO.csv,0.0043582330421929605,Linear,0.8,7,Linear,0.28571429,1.0
92,Twitter_volume_CRM.csv,0.004379006316941214,KMeans,0.54545455,8,Linear,0.28571429,1.0
93,Twitter_volume_FB.csv,0.006537349563289441,Linear,1.0,9,Linear,0.28571429,1.0
94,Twitter_volume_IBM.csv,0.006553968183088066,Linear,0.5,10,Linear,0.28571429,1.0
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,Twitter_volume_UPS.csv,0.0029380334919009155,Linear,0.28571429,1,Linear,0.66666667,1.0
98,Twitter_volume_AMZN.csv,0.0051008776144445545,KMeans,0.66666667,2,KMeans,0.66666667,1.0
99,Twitter_volume_GOOG.csv,0.005107109596869053,Linear,0.4,3,Linear,0.66666667,1.0
100,Twitter_volume_CVS.csv,0.005112995358047712,Linear,0.66666667,4,Linear,0.66666667,1.0
101,Twitter_volume_PFE.csv,0.005115765128014149,KMeans,0.42857143,5,Linear,0.66666667,1.0
102,Twitter_volume_AAPL.csv,0.005140000615220519,Linear,0.4,6,Linear,0.66666667,1.0
103,Twitter_volume_KO.csv,0.007296266534093876,Linear,0.8,7,Linear,0.66666667,1.0
104,Twitter_volume_CRM.csv,0.00731703980884213,KMeans,0.54545455,8,Linear,0.66666667,1.0
105,Twitter_volume_FB.csv,0.009475383055190356,Linear,1.0,9,Linear,0.66666667,1.0
106,Twitter_volume_IBM.csv,0.009492001674988981,Linear,0.5,10,Linear,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
109,Twitter_volume_CRM.csv,2.0773274748253634e-05,KMeans,0.54545455,1,KMeans,0.8,1.0
110,Twitter_volume_AAPL.csv,0.002156265918873357,Linear,0.4,2,KMeans,0.8,1.0
111,Twitter_volume_FB.csv,0.0021791165210964802,Linear,1.0,3,Linear,0.8,1.0
112,Twitter_volume_PFE.csv,0.0021805014060797268,KMeans,0.42857143,4,KMeans,0.8,1.0
113,Twitter_volume_CVS.csv,0.0021832711760461643,Linear,0.66666667,5,Linear,0.8,1.0
114,Twitter_volume_GOOG.csv,0.002189156937224823,Linear,0.4,6,Linear,0.8,1.0
115,Twitter_volume_AMZN.csv,0.0021953889196493215,KMeans,0.66666667,7,Linear,0.8,1.0
116,Twitter_volume_IBM.csv,0.0021957351408951054,Linear,0.5,8,Linear,0.8,1.0
117,Twitter_volume_UPS.csv,0.0043582330421929605,Linear,0.28571429,9,Linear,0.8,1.0
118,speed_6005.csv,0.007296266534093876,Linear,0.66666667,10,Linear,0.8,1.0
119,,,,,,,,
120,Twitter_volume_GOOG.csv,0,Linear,0.4,0,Linear,0.4,1
121,Twitter_volume_CVS.csv,5.88576117865891e-06,Linear,0.66666667,1,Linear,0.4,1.0
122,Twitter_volume_AMZN.csv,6.231982424498295e-06,KMeans,0.66666667,2,KMeans,0.4,1.0
123,Twitter_volume_PFE.csv,8.655531145096429e-06,KMeans,0.42857143,3,KMeans,0.4,1.0
124,Twitter_volume_AAPL.csv,3.289101835146635e-05,Linear,0.4,4,KMeans,0.4,1.0
125,Twitter_volume_UPS.csv,0.0021690761049681373,Linear,0.28571429,5,Linear,0.4,1.0
126,Twitter_volume_KO.csv,0.002189156937224823,Linear,0.8,6,Linear,0.4,1.0
127,Twitter_volume_CRM.csv,0.002209930211973077,KMeans,0.54545455,7,Linear,0.4,1.0
128,Twitter_volume_FB.csv,0.004368273458321303,Linear,1.0,8,Linear,0.4,1.0
129,Twitter_volume_IBM.csv,0.0043848920781199285,Linear,0.5,9,Linear,0.4,1.0
130,speed_6005.csv,0.005107109596869053,Linear,0.66666667,10,Linear,0.4,1.0
131,,,,,,,,
132,Twitter_volume_CVS.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
133,Twitter_volume_PFE.csv,2.7697699664375186e-06,KMeans,0.42857143,1,KMeans,0.66666667,1.0
134,Twitter_volume_GOOG.csv,5.88576117865891e-06,Linear,0.4,2,KMeans,0.66666667,1.0
135,Twitter_volume_AMZN.csv,1.2117743603157205e-05,KMeans,0.66666667,3,KMeans,0.66666667,1.0
136,Twitter_volume_AAPL.csv,2.700525717280744e-05,Linear,0.4,4,KMeans,0.66666667,1.0
137,Twitter_volume_UPS.csv,0.002174961866146796,Linear,0.28571429,5,Linear,0.66666667,1.0
138,Twitter_volume_KO.csv,0.0021832711760461643,Linear,0.8,6,Linear,0.66666667,1.0
139,Twitter_volume_CRM.csv,0.002204044450794418,KMeans,0.54545455,7,Linear,0.66666667,1.0
140,Twitter_volume_FB.csv,0.0043623876971426445,Linear,1.0,8,Linear,0.66666667,1.0
141,Twitter_volume_IBM.csv,0.00437900631694127,Linear,0.5,9,Linear,0.66666667,1.0
142,speed_6005.csv,0.005112995358047712,Linear,0.66666667,10,Linear,0.66666667,1.0
143,,,,,,,,
144,Twitter_volume_FB.csv,0,Linear,1.0,0,Linear,1.0,1
