,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Twitter_volume_IBM.csv,0.27235194688262404,Linear,0.5,1,Linear,0.63157895,0.79824562
2,Twitter_volume_FB.csv,0.27235393187276746,Linear,1.0,2,Linear,0.63157895,0.79824562
3,Twitter_volume_CRM.csv,0.27261173220733137,KMeans,0.54545455,3,Linear,0.63157895,0.79824562
4,Twitter_volume_KO.csv,0.27261419557205574,Linear,0.8,4,Linear,0.63157895,0.79824562
5,Twitter_volume_AAPL.csv,0.2728714590412053,Linear,0.4,5,Linear,0.63157895,0.79824562
6,Twitter_volume_PFE.csv,0.27287435966266604,KMeans,0.42857143,6,Linear,0.63157895,0.79824562
7,Twitter_volume_CVS.csv,0.2728746797289531,Linear,0.66666667,7,Linear,0.63157895,0.79824562
8,Twitter_volume_GOOG.csv,0.27287537987237054,Linear,0.4,8,Linear,0.63157895,0.79824562
9,Twitter_volume_AMZN.csv,0.2728761200216172,KMeans,0.66666667,9,Linear,0.63157895,0.79824562
10,Twitter_volume_UPS.csv,0.273133863981821,Linear,0.28571429,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Pen-Based Recognition of Handwritten Text,0.13807810811860466,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,0.5166712600828907,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999
15,Breast Cancer Diagnostic,0.7180541924838584,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
16,Twitter_volume_IBM.csv,0.9009329677280146,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_FB.csv,0.9009340974487301,Linear,1.0,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_CRM.csv,0.9010833571598392,KMeans,0.54545455,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_KO.csv,0.9010847747420703,Linear,0.8,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_AAPL.csv,0.9012336992976788,Linear,0.4,8,KMeans,0.38537271,0.4468761299999999
21,Twitter_volume_PFE.csv,0.9012353606607725,KMeans,0.42857143,9,KMeans,0.38537271,0.4468761299999999
22,Twitter_volume_CVS.csv,0.9012355484655573,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Breast Cancer Diagnostic,0.3641571396272644,KMeans,0.83333333,1,KMeans,0.44545455,1.0
