,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.83333333,1.0
4,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.83333333,1.0
5,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.83333333,1.0
6,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.83333333,1.0
7,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.83333333,1.0
8,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.83333333,1.0
9,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.63157895,0.79824562
10,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.63157895,0.79824562
11,,,,,,,,
12,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
13,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
15,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.38537271,0.4468761299999999
16,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.38537271,0.4468761299999999
17,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.38537271,0.4468761299999999
18,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.38537271,0.4468761299999999
19,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.38537271,0.4468761299999999
20,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.38537271,0.4468761299999999
21,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.92639843,0.98790185
22,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.92639843,0.98790185
23,,,,,,,,
24,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
25,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.44545455,1.0
26,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.44545455,1.0
27,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.44545455,1.0
28,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.44545455,1.0
29,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.44545455,1.0
30,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.44545455,1.0
31,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.44545455,1.0
32,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.44545455,1.0
33,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.22222222,0.77676767
34,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.22222222,0.77676767
35,,,,,,,,
36,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
37,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.22317597,1.0
38,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.22317597,1.0
39,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.22317597,1.0
40,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.22317597,1.0
41,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.22317597,1.0
42,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.22317597,1.0
43,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.22317597,1.0
44,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.22317597,1.0
45,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.19112628,0.96795031
46,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.19112628,0.96795031
47,,,,,,,,
48,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
49,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.88648649,1.0
50,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.88648649,1.0
51,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.88648649,1.0
52,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.88648649,1.0
53,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.88648649,1.0
54,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.88648649,1.0
55,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.88648649,1.0
56,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.88648649,1.0
57,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.64473684,0.75825035
58,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.64473684,0.75825035
59,,,,,,,,
60,speed_7578.csv,0,KMeans,0.75,0,KMeans,0.75,1
61,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.75,1.0
62,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.75,1.0
63,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.75,1.0
64,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.75,1.0
65,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.75,1.0
66,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.75,1.0
67,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.75,1.0
68,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.75,1.0
69,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.4,0.65
70,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.4,0.65
71,,,,,,,,
72,Twitter_volume_AAPL.csv,0,Linear,0.4,0,Linear,0.4,1
73,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.4,1.0
74,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.4,1.0
75,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.4,1.0
76,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.4,1.0
77,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.4,1.0
78,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.4,1.0
79,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.4,1.0
80,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.4,1.0
81,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.4,1.0
82,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.4,1.0
83,,,,,,,,
84,Twitter_volume_UPS.csv,0,Linear,0.28571429,0,Linear,0.28571429,1
85,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.22222222,0.93650793
86,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.22222222,0.93650793
87,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.22222222,0.93650793
88,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.22222222,0.93650793
89,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.22222222,0.93650793
90,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.22222222,0.93650793
91,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.22222222,0.93650793
92,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.22222222,0.93650793
93,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.28571429,1.0
94,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.28571429,1.0
95,,,,,,,,
96,speed_6005.csv,0,Linear,0.66666667,0,Linear,0.66666667,1
97,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.66666667,1.0
98,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.66666667,1.0
99,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.66666667,1.0
100,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.66666667,1.0
101,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.66666667,1.0
102,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.66666667,1.0
103,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.66666667,1.0
104,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.66666667,1.0
105,speed_6005.csv,2.10039651175823,Linear,0.66666667,9,Linear,0.66666667,1.0
106,Twitter_volume_AAPL.csv,2.101134104222803,Linear,0.4,10,Linear,0.66666667,1.0
107,,,,,,,,
108,Twitter_volume_KO.csv,0,Linear,0.8,0,Linear,0.8,1
109,Letter Recognition,0.5127884658791264,KMeans,0.44545455,1,KMeans,0.8,1.0
110,Pen-Based Recognition of Handwritten Text,1.178400184610629,KMeans,0.88648649,2,KMeans,0.8,1.0
111,speed_7578.csv,1.9913627841220702,KMeans,0.75,3,KMeans,0.8,1.0
112,speed_t4013.csv,2.086492264685108,Linear,1.0,4,KMeans,0.8,1.0
113,Twitter_volume_IBM.csv,2.0967821038234327,Linear,0.5,5,KMeans,0.8,1.0
114,Twitter_volume_FB.csv,2.0967987224405698,Linear,1.0,6,KMeans,0.8,1.0
115,Twitter_volume_CRM.csv,2.0989570653366267,KMeans,0.54545455,7,KMeans,0.8,1.0
116,Twitter_volume_KO.csv,2.098977838607992,Linear,0.8,8,KMeans,0.8,1.0
