,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,0.051687688,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.10696697,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,Object Images,0.108196855,Gaussian,0.06772229,3,Gaussian,0.73684211,0.90350878
4,Thyroid Disease,0.19972956,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),0.25016028,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Letter Recognition,0.25467995,KMeans,0.44545455,6,KMeans,0.83333333,1.0
7,Speech Accent Data,0.33423442,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,1.4618502,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text,0.071778774,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
12,Object Images,0.094880044,Gaussian,0.06772229,2,Gaussian,0.17305478,0.23455819999999994
13,Landsat Satellite,0.11126548,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
14,Thyroid Disease,0.17878467,KMeans,0.22317597,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),0.25447214,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,0.26719043,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Speech Accent Data,0.3022105,Linear,0.11764706,7,KMeans,0.38537271,0.4468761299999999
18,KDD-Cup99 HTTP,1.3131497,RPCA,0.93849658,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Pen-Based Recognition of Handwritten Text,0.06894046,KMeans,0.88648649,1,KMeans,0.52631579,1.0
22,Object Images,0.09959602,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,Landsat Satellite,0.12437701,Linear,0.71794872,3,Gaussian,0.01392758,0.4876117900000001
24,Thyroid Disease,0.17321408,KMeans,0.22317597,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text (Local),0.25363386,KMeans,0.52631579,5,KMeans,0.52631579,1.0
26,Letter Recognition,0.26736173,KMeans,0.44545455,6,KMeans,0.52631579,1.0
27,Speech Accent Data,0.32122117,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,1.3863912,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Object Images,0.06766325,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
32,Pen-Based Recognition of Handwritten Text,0.07492721,KMeans,0.88648649,2,Gaussian,0.25806452,0.81260997
33,Landsat Satellite,0.10864526,Linear,0.71794872,3,Gaussian,0.25806452,0.81260997
34,Thyroid Disease,0.17095464,KMeans,0.22317597,4,KMeans,0.44545455,1.0
35,Pen-Based Recognition of Handwritten Text (Local),0.27493206,KMeans,0.52631579,5,KMeans,0.44545455,1.0
36,Speech Accent Data,0.27537817,Linear,0.11764706,6,KMeans,0.44545455,1.0
37,Letter Recognition,0.2861925,KMeans,0.44545455,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,1.4881778,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Pen-Based Recognition of Handwritten Text,0.03573653,KMeans,0.88648649,1,KMeans,0.22317597,1.0
42,Landsat Satellite,0.11440283,Linear,0.71794872,2,KMeans,0.22317597,1.0
43,Object Images,0.12998748,Gaussian,0.06772229,3,Gaussian,0.18115942,0.95798345
44,Thyroid Disease,0.21216309,KMeans,0.22317597,4,KMeans,0.22317597,1.0
45,Pen-Based Recognition of Handwritten Text (Local),0.23247418,KMeans,0.52631579,5,KMeans,0.22317597,1.0
46,Letter Recognition,0.23740718,KMeans,0.44545455,6,KMeans,0.22317597,1.0
47,Speech Accent Data,0.34572607,Linear,0.11764706,7,KMeans,0.22317597,1.0
48,KDD-Cup99 HTTP,1.4484917,RPCA,0.93849658,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text,0.05364442,KMeans,0.88648649,1,KMeans,0.05851859,0.9907963
52,Object Images,0.10172111,Gaussian,0.06772229,2,Gaussian,0.06772229,1.0
53,Landsat Satellite,0.10303342,Linear,0.71794872,3,Gaussian,0.06772229,1.0
54,Thyroid Disease,0.18983406,KMeans,0.22317597,4,KMeans,0.05851859,0.9907963
55,Pen-Based Recognition of Handwritten Text (Local),0.255531,KMeans,0.52631579,5,KMeans,0.05851859,0.9907963
56,Letter Recognition,0.2614241,KMeans,0.44545455,6,KMeans,0.05851859,0.9907963
57,Speech Accent Data,0.311665,Linear,0.11764706,7,KMeans,0.05851859,0.9907963
58,KDD-Cup99 HTTP,1.5400615,RPCA,0.93849658,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Landsat Satellite,0.07366437,Linear,0.71794872,1,Linear,0.11764706,1.0
62,Pen-Based Recognition of Handwritten Text,0.08809072,KMeans,0.88648649,2,KMeans,0.05384615,0.93619909
63,Object Images,0.09349197,Gaussian,0.06772229,3,Gaussian,0.04856512,0.93091806
64,Thyroid Disease,0.17826754,KMeans,0.22317597,4,KMeans,0.05384615,0.93619909
65,Pen-Based Recognition of Handwritten Text (Local),0.26399836,KMeans,0.52631579,5,KMeans,0.05384615,0.93619909
66,Letter Recognition,0.27107847,KMeans,0.44545455,6,KMeans,0.05384615,0.93619909
67,Speech Accent Data,0.32709122,Linear,0.11764706,7,KMeans,0.05384615,0.93619909
68,KDD-Cup99 HTTP,1.3071835,RPCA,0.93849658,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Pen-Based Recognition of Handwritten Text,0.06514171,KMeans,0.88648649,1,KMeans,0.88648649,1.0
72,Object Images,0.08136797,Gaussian,0.06772229,2,Gaussian,0.77934272,0.89285623
73,Landsat Satellite,0.09294939,Linear,0.71794872,3,Gaussian,0.77934272,0.89285623
74,Thyroid Disease,0.14884931,KMeans,0.22317597,4,KMeans,0.88648649,1.0
75,Pen-Based Recognition of Handwritten Text (Local),0.26882768,KMeans,0.52631579,5,KMeans,0.88648649,1.0
76,Letter Recognition,0.2762771,KMeans,0.44545455,6,KMeans,0.88648649,1.0
77,Speech Accent Data,0.31010824,Linear,0.11764706,7,KMeans,0.88648649,1.0
78,KDD-Cup99 HTTP,1.3580027,RPCA,0.93849658,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Pen-Based Recognition of Handwritten Text,0.057262897,KMeans,0.88648649,1,KMeans,0.65517241,0.93722369
82,Object Images,0.095475316,Gaussian,0.06772229,2,Gaussian,0.63716814,0.91921942
83,Landsat Satellite,0.122906625,Linear,0.71794872,3,Gaussian,0.63716814,0.91921942
84,Thyroid Disease,0.1936847,KMeans,0.22317597,4,KMeans,0.65517241,0.93722369
85,Pen-Based Recognition of Handwritten Text (Local),0.2560355,KMeans,0.52631579,5,KMeans,0.65517241,0.93722369
86,Letter Recognition,0.25747824,KMeans,0.44545455,6,KMeans,0.65517241,0.93722369
87,Speech Accent Data,0.3191157,Linear,0.11764706,7,KMeans,0.65517241,0.93722369
88,KDD-Cup99 HTTP,1.3126755,RPCA,0.93849658,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5555555555555556,0.9097228988888888
0,,,,,2.0,,0.3333333333333333,0.8092283
0,,,,,3.0,,0.1111111111111111,0.7932517666666665
0,,,,,4.0,,0.5555555555555556,0.9234550233333333
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
