,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,42.045225973868504,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Letter Recognition,49.33824037954296,KMeans,0.44545455,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text (Local),52.5303114597376,KMeans,0.52631579,3,KMeans,0.83333333,1.0
4,Landsat Satellite,53.211310447090014,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Thyroid Disease,67.40289038361354,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,Object Images,72.76337727950029,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Speech Accent Data,74.04914011858504,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,146.23592091634708,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text (Local),133.81193500499998,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,142.3367131113305,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Breast Cancer Diagnostic,146.23592091634708,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,147.72119391898735,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,148.79152096699718,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
16,Landsat Satellite,150.4038565929504,Linear,0.71794872,6,KMeans,0.38537271,0.4468761299999999
17,Object Images,152.0404612168911,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,169.4019998458226,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Letter Recognition,33.356773359548576,KMeans,0.44545455,1,KMeans,0.52631579,1.0
22,Object Images,34.68931278405087,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text,36.81204580576833,KMeans,0.88648649,3,KMeans,0.52631579,1.0
24,Landsat Satellite,41.93363152681801,Linear,0.71794872,4,KMeans,0.52631579,1.0
25,Speech Accent Data,43.91813132328768,Linear,0.11764706,5,KMeans,0.52631579,1.0
26,Breast Cancer Diagnostic,52.5303114597376,KMeans,0.83333333,6,KMeans,0.52631579,1.0
27,Thyroid Disease,55.2100241928139,KMeans,0.22317597,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,133.81193500499998,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text,32.11655016855641,KMeans,0.88648649,1,KMeans,0.44545455,1.0
32,Pen-Based Recognition of Handwritten Text (Local),33.356773359548576,KMeans,0.52631579,2,KMeans,0.44545455,1.0
33,Object Images,40.51350032301529,Gaussian,0.06772229,3,KMeans,0.44545455,1.0
34,Thyroid Disease,41.12329536505222,KMeans,0.22317597,4,KMeans,0.44545455,1.0
35,Speech Accent Data,42.82500345958521,Linear,0.11764706,5,KMeans,0.44545455,1.0
36,Breast Cancer Diagnostic,49.33824037954296,KMeans,0.83333333,6,KMeans,0.44545455,1.0
37,Landsat Satellite,51.354765605540564,Linear,0.71794872,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,147.72119391898735,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Letter Recognition,41.12329536505222,KMeans,0.44545455,1,KMeans,0.22317597,1.0
42,Object Images,48.43744912228115,Gaussian,0.06772229,2,Gaussian,0.18115942,0.95798345
43,Pen-Based Recognition of Handwritten Text (Local),55.2100241928139,KMeans,0.52631579,3,KMeans,0.22317597,1.0
44,Pen-Based Recognition of Handwritten Text,60.883193991732895,KMeans,0.88648649,4,KMeans,0.22317597,1.0
45,Speech Accent Data,61.16602397613319,Linear,0.11764706,5,KMeans,0.22317597,1.0
46,Breast Cancer Diagnostic,67.40289038361354,KMeans,0.83333333,6,KMeans,0.22317597,1.0
47,Landsat Satellite,73.38343359209848,Linear,0.71794872,7,KMeans,0.22317597,1.0
48,KDD-Cup99 HTTP,148.79152096699718,RPCA,0.93849658,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text (Local),34.68931278405087,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
52,Letter Recognition,40.51350032301529,KMeans,0.44545455,2,KMeans,0.05851859,0.9907963
53,Speech Accent Data,48.339568803343816,Linear,0.11764706,3,KMeans,0.05851859,0.9907963
54,Thyroid Disease,48.43744912228115,KMeans,0.22317597,4,KMeans,0.05851859,0.9907963
55,Pen-Based Recognition of Handwritten Text,63.78692663887229,KMeans,0.88648649,5,KMeans,0.05851859,0.9907963
56,Landsat Satellite,67.66584955490534,Linear,0.71794872,6,KMeans,0.05851859,0.9907963
57,Breast Cancer Diagnostic,72.76337727950029,KMeans,0.83333333,7,KMeans,0.05851859,0.9907963
58,KDD-Cup99 HTTP,152.0404612168911,RPCA,0.93849658,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Letter Recognition,42.82500345958521,KMeans,0.44545455,1,KMeans,0.05384615,0.93619909
62,Pen-Based Recognition of Handwritten Text (Local),43.91813132328768,KMeans,0.52631579,2,KMeans,0.05384615,0.93619909
63,Object Images,48.339568803343816,Gaussian,0.06772229,3,KMeans,0.05384615,0.93619909
64,Thyroid Disease,61.16602397613319,KMeans,0.22317597,4,KMeans,0.05384615,0.93619909
65,Landsat Satellite,68.20554102260739,Linear,0.71794872,5,KMeans,0.05384615,0.93619909
66,Pen-Based Recognition of Handwritten Text,70.30256246641396,KMeans,0.88648649,6,KMeans,0.05384615,0.93619909
67,Breast Cancer Diagnostic,74.04914011858504,KMeans,0.83333333,7,KMeans,0.05384615,0.93619909
68,KDD-Cup99 HTTP,169.4019998458226,RPCA,0.93849658,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Letter Recognition,32.11655016855641,KMeans,0.44545455,1,KMeans,0.88648649,1.0
72,Pen-Based Recognition of Handwritten Text (Local),36.81204580576833,KMeans,0.52631579,2,KMeans,0.88648649,1.0
73,Breast Cancer Diagnostic,42.045225973868504,KMeans,0.83333333,3,KMeans,0.88648649,1.0
74,Landsat Satellite,48.967898509011334,Linear,0.71794872,4,KMeans,0.88648649,1.0
75,Thyroid Disease,60.883193991732895,KMeans,0.22317597,5,KMeans,0.88648649,1.0
76,Object Images,63.78692663887229,Gaussian,0.06772229,6,KMeans,0.88648649,1.0
77,Speech Accent Data,70.30256246641396,Linear,0.11764706,7,KMeans,0.88648649,1.0
78,KDD-Cup99 HTTP,142.3367131113305,RPCA,0.93849658,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Pen-Based Recognition of Handwritten Text (Local),41.93363152681801,KMeans,0.52631579,1,KMeans,0.65517241,0.93722369
82,Pen-Based Recognition of Handwritten Text,48.967898509011334,KMeans,0.88648649,2,KMeans,0.65517241,0.93722369
83,Letter Recognition,51.354765605540564,KMeans,0.44545455,3,KMeans,0.65517241,0.93722369
84,Breast Cancer Diagnostic,53.211310447090014,KMeans,0.83333333,4,KMeans,0.65517241,0.93722369
