,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text (Local),0.28317806067534135,KMeans,0.52631579,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.29107038207417113,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,1.6300964014528236,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Thyroid Disease,3.8317803054195947,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Letter Recognition,10.252986758246292,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Object Images,24.798073141951267,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Speech Accent Data,59.149550383582344,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,305.3373166330244,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Landsat Satellite,464.37012622647467,Linear,0.71794872,1,Linear,0.92639843,0.98790185
12,Breast Cancer Diagnostic,472.4178496354458,KMeans,0.83333333,2,KMeans,0.38537271,0.4468761299999999
13,Speech Accent Data,480.87210177040663,Linear,0.11764706,3,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text,490.42012078108723,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,491.2253632105547,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
16,Object Images,499.984030433975,Gaussian,0.06772229,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text (Local),500.8385435798455,KMeans,0.52631579,7,KMeans,0.38537271,0.4468761299999999
18,Thyroid Disease,500.8438960220225,KMeans,0.22317597,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Pen-Based Recognition of Handwritten Text,0.22900139017625576,KMeans,0.88648649,1,KMeans,0.52631579,1.0
22,Breast Cancer Diagnostic,0.46115589628571163,KMeans,0.83333333,2,KMeans,0.52631579,1.0
23,Landsat Satellite,1.0023480333801353,Linear,0.71794872,3,KMeans,0.52631579,1.0
24,Thyroid Disease,4.576840749692769,KMeans,0.22317597,4,KMeans,0.52631579,1.0
25,Letter Recognition,11.337548017838794,KMeans,0.44545455,5,KMeans,0.52631579,1.0
26,Object Images,28.41164801688442,Gaussian,0.06772229,6,KMeans,0.52631579,1.0
27,Speech Accent Data,66.47626579520322,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,331.88111494186205,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Object Images,0.5834569640939673,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
32,Breast Cancer Diagnostic,3.4859089634940403,KMeans,0.83333333,2,Gaussian,0.25806452,0.81260997
33,Pen-Based Recognition of Handwritten Text,5.9933267241155,KMeans,0.88648649,3,KMeans,0.44545455,1.0
34,Landsat Satellite,7.260669372841821,Linear,0.71794872,4,KMeans,0.44545455,1.0
35,Thyroid Disease,9.282811162077444,KMeans,0.22317597,5,KMeans,0.44545455,1.0
36,Pen-Based Recognition of Handwritten Text (Local),11.435222989469947,KMeans,0.52631579,6,KMeans,0.44545455,1.0
37,Speech Accent Data,32.65666526603158,Linear,0.11764706,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,455.33608105530215,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
