,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text (Local),0.09313005,KMeans,0.52631579,1,KMeans,0.83333333,1.0
2,Object Images,0.12916854,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878
3,Pen-Based Recognition of Handwritten Text,0.13494349,KMeans,0.88648649,3,KMeans,0.83333333,1.0
4,Landsat Satellite,0.1377011,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Letter Recognition,0.161868,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Thyroid Disease,0.5096482,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Speech Accent Data,1.0382825,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,1.1156845,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text (Local),0.13932906,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,0.17420653,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Object Images,0.17678666,Gaussian,0.06772229,3,KMeans,0.38537271,0.4468761299999999
14,Landsat Satellite,0.17801546,Linear,0.71794872,4,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,0.19753917,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,0.47866482,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999
17,KDD-Cup99 HTTP,0.9237587,RPCA,0.93849658,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,1.1718986,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Pen-Based Recognition of Handwritten Text (Local),0.1268149,KMeans,0.52631579,1,KMeans,0.52631579,1.0
22,Object Images,0.16149504,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text,0.16326913,KMeans,0.88648649,3,KMeans,0.52631579,1.0
24,Landsat Satellite,0.1660009,Linear,0.71794872,4,KMeans,0.52631579,1.0
25,Letter Recognition,0.18657902,KMeans,0.44545455,5,KMeans,0.52631579,1.0
26,Thyroid Disease,0.47342977,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,0.89387953,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Speech Accent Data,1.3618765,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text (Local),0.10767047,KMeans,0.52631579,1,KMeans,0.44545455,1.0
32,Object Images,0.14186835,Gaussian,0.06772229,2,Gaussian,0.25806452,0.81260997
33,Pen-Based Recognition of Handwritten Text,0.14829549,KMeans,0.88648649,3,KMeans,0.44545455,1.0
34,Landsat Satellite,0.1484701,Linear,0.71794872,4,KMeans,0.44545455,1.0
35,Letter Recognition,0.17244719,KMeans,0.44545455,5,KMeans,0.44545455,1.0
36,Thyroid Disease,0.47065422,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,1.1623496,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Speech Accent Data,1.4022845,Linear,0.11764706,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Pen-Based Recognition of Handwritten Text (Local),0.10975966,KMeans,0.52631579,1,KMeans,0.22317597,1.0
42,Pen-Based Recognition of Handwritten Text,0.147634,KMeans,0.88648649,2,KMeans,0.22317597,1.0
43,Object Images,0.14884818,Gaussian,0.06772229,3,KMeans,0.22317597,1.0
44,Landsat Satellite,0.15024771,Linear,0.71794872,4,KMeans,0.22317597,1.0
45,Letter Recognition,0.17231739,KMeans,0.44545455,5,KMeans,0.22317597,1.0
46,Thyroid Disease,0.4631889,KMeans,0.22317597,6,KMeans,0.22317597,1.0
47,KDD-Cup99 HTTP,0.8649791,RPCA,0.93849658,7,KMeans,0.22317597,1.0
48,Speech Accent Data,1.2109637,Linear,0.11764706,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text (Local),0.13223103,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
52,Object Images,0.16683576,Gaussian,0.06772229,2,Gaussian,0.06772229,1.0
53,Pen-Based Recognition of Handwritten Text,0.16721156,KMeans,0.88648649,3,KMeans,0.05851859,0.9907963
54,Landsat Satellite,0.17038135,Linear,0.71794872,4,KMeans,0.05851859,0.9907963
55,Letter Recognition,0.19032161,KMeans,0.44545455,5,KMeans,0.05851859,0.9907963
56,Thyroid Disease,0.4499914,KMeans,0.22317597,6,KMeans,0.05851859,0.9907963
57,KDD-Cup99 HTTP,0.95850796,RPCA,0.93849658,7,KMeans,0.05851859,0.9907963
58,Speech Accent Data,1.3764977,Linear,0.11764706,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Pen-Based Recognition of Handwritten Text (Local),0.13298132,KMeans,0.52631579,1,KMeans,0.05384615,0.93619909
62,Pen-Based Recognition of Handwritten Text,0.16714232,KMeans,0.88648649,2,KMeans,0.05384615,0.93619909
63,Landsat Satellite,0.16971295,Linear,0.71794872,3,KMeans,0.05384615,0.93619909
64,Object Images,0.17229861,Gaussian,0.06772229,4,KMeans,0.05384615,0.93619909
65,Letter Recognition,0.18951532,KMeans,0.44545455,5,KMeans,0.05384615,0.93619909
66,Thyroid Disease,0.4581036,KMeans,0.22317597,6,KMeans,0.05384615,0.93619909
67,KDD-Cup99 HTTP,1.0090368,RPCA,0.93849658,7,KMeans,0.05384615,0.93619909
68,Speech Accent Data,1.2461548,Linear,0.11764706,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Pen-Based Recognition of Handwritten Text (Local),0.115807965,KMeans,0.52631579,1,KMeans,0.88648649,1.0
72,Object Images,0.15115917,Gaussian,0.06772229,2,Gaussian,0.77934272,0.89285623
73,Pen-Based Recognition of Handwritten Text,0.15367016,KMeans,0.88648649,3,KMeans,0.88648649,1.0
74,Landsat Satellite,0.15532914,Linear,0.71794872,4,KMeans,0.88648649,1.0
75,Letter Recognition,0.17715964,KMeans,0.44545455,5,KMeans,0.88648649,1.0
76,Thyroid Disease,0.47900307,KMeans,0.22317597,6,KMeans,0.88648649,1.0
77,KDD-Cup99 HTTP,1.1910172,RPCA,0.93849658,7,KMeans,0.88648649,1.0
78,Speech Accent Data,1.3881903,Linear,0.11764706,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Pen-Based Recognition of Handwritten Text (Local),0.11443479,KMeans,0.52631579,1,KMeans,0.65517241,0.93722369
82,Object Images,0.14933793,Gaussian,0.06772229,2,Gaussian,0.63716814,0.91921942
83,Pen-Based Recognition of Handwritten Text,0.15121682,KMeans,0.88648649,3,KMeans,0.65517241,0.93722369
84,Landsat Satellite,0.15447041,Linear,0.71794872,4,KMeans,0.65517241,0.93722369
85,Letter Recognition,0.17519915,KMeans,0.44545455,5,KMeans,0.65517241,0.93722369
86,Thyroid Disease,0.39100564,KMeans,0.22317597,6,KMeans,0.65517241,0.93722369
87,KDD-Cup99 HTTP,0.84890676,RPCA,0.93849658,7,KMeans,0.65517241,0.93722369
88,Speech Accent Data,1.1042614,Linear,0.11764706,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.5555555555555556,0.9234550233333333
0,,,,,2.0,,0.2222222222222222,0.8220979344444445
0,,,,,3.0,,0.5555555555555556,0.9234550233333333
0,,,,,4.0,,0.5555555555555556,0.9234550233333333
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
