,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,1.640162301137989,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,1.6541356549554427,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,1.9856128585510155,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),2.116240301788018,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,Object Images,2.1905699322162926,Gaussian,0.06772229,5,KMeans,0.83333333,1.0
6,Thyroid Disease,3.773395305779655,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Speech Accent Data,4.5002099202869985,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,5.153716026399646,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Object Images,4.306426178283338,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
12,Pen-Based Recognition of Handwritten Text (Local),4.612365451774802,KMeans,0.52631579,2,Gaussian,0.17305478,0.23455819999999994
13,Landsat Satellite,4.648521313638418,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
14,Letter Recognition,4.6962658271928985,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text,4.700850795777689,KMeans,0.88648649,5,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,4.962413789119886,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999
17,Breast Cancer Diagnostic,5.153716026399646,KMeans,0.83333333,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,7.0641583830593895,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Landsat Satellite,0.2738366868868335,Linear,0.71794872,1,Linear,0.02505219,0.4987364000000001
22,Object Images,0.34207348854706304,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text,0.46719600316171817,KMeans,0.88648649,3,Gaussian,0.01392758,0.4876117900000001
24,Letter Recognition,0.5100742569919882,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Breast Cancer Diagnostic,2.116240301788018,KMeans,0.83333333,5,KMeans,0.52631579,1.0
26,Thyroid Disease,3.1393391977755005,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,4.612365451774802,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Speech Accent Data,5.4061243457766315,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text,0.19227585241443035,KMeans,0.88648649,1,KMeans,0.44545455,1.0
32,Landsat Satellite,0.34817978805784755,Linear,0.71794872,2,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text (Local),0.5100742569919882,KMeans,0.52631579,3,KMeans,0.44545455,1.0
34,Object Images,0.6389830956897874,Gaussian,0.06772229,4,KMeans,0.44545455,1.0
35,Breast Cancer Diagnostic,1.640162301137989,KMeans,0.83333333,5,KMeans,0.44545455,1.0
36,Thyroid Disease,3.1740700197965697,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,4.6962658271928985,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Speech Accent Data,5.006390468462512,Linear,0.11764706,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
