,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,1.6860238970554904,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,1.8913939224042071,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,2.1300618303570564,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),2.4407203796371024,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,Object Images,2.7435351775297168,Gaussian,0.06772229,5,KMeans,0.83333333,1.0
6,Thyroid Disease,5.46432074027066,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Speech Accent Data,7.013811727482742,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,9.676493770012442,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Object Images,7.000894065347758,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
12,Pen-Based Recognition of Handwritten Text (Local),7.677353963998056,KMeans,0.52631579,2,Gaussian,0.17305478,0.23455819999999994
13,Landsat Satellite,7.750238358250485,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
14,Letter Recognition,8.058405345821985,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text,8.22668042123095,KMeans,0.88648649,5,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,8.66882991597941,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999
17,Breast Cancer Diagnostic,9.676493770012442,KMeans,0.83333333,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,16.655829427290595,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Landsat Satellite,0.5144649678751461,Linear,0.71794872,1,Linear,0.02505219,0.4987364000000001
22,Pen-Based Recognition of Handwritten Text,0.5493264572328953,KMeans,0.88648649,2,KMeans,0.52631579,1.0
23,Object Images,0.6764598986502974,Gaussian,0.06772229,3,Gaussian,0.01392758,0.4876117900000001
24,Letter Recognition,0.8226319554466452,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Breast Cancer Diagnostic,2.4407203796371024,KMeans,0.83333333,5,KMeans,0.52631579,1.0
26,Thyroid Disease,3.2557671301702005,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,7.677353963998056,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Speech Accent Data,9.420056036915256,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text,0.281524476975603,KMeans,0.88648649,1,KMeans,0.44545455,1.0
32,Landsat Satellite,0.44403793330156566,Linear,0.71794872,2,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text (Local),0.8226319554466452,KMeans,0.52631579,3,KMeans,0.44545455,1.0
34,Object Images,1.1254467533392598,Gaussian,0.06772229,4,KMeans,0.44545455,1.0
35,Breast Cancer Diagnostic,1.6860238970554904,KMeans,0.83333333,5,KMeans,0.44545455,1.0
36,Thyroid Disease,3.846232316080203,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,8.058405345821985,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Speech Accent Data,8.6190989104158,Linear,0.11764706,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Pen-Based Recognition of Handwritten Text (Local),3.2557671301702005,KMeans,0.52631579,1,KMeans,0.22317597,1.0
42,Landsat Satellite,3.5380653285087034,Linear,0.71794872,2,KMeans,0.22317597,1.0
43,Pen-Based Recognition of Handwritten Text,3.742765500029036,KMeans,0.88648649,3,KMeans,0.22317597,1.0
44,Object Images,3.7603933480203984,Gaussian,0.06772229,4,KMeans,0.22317597,1.0
45,Letter Recognition,3.846232316080203,KMeans,0.44545455,5,KMeans,0.22317597,1.0
46,Breast Cancer Diagnostic,5.46432074027066,KMeans,0.83333333,6,KMeans,0.22317597,1.0
47,KDD-Cup99 HTTP,8.66882991597941,RPCA,0.93849658,7,KMeans,0.22317597,1.0
48,Speech Accent Data,12.443656397548816,Linear,0.11764706,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text (Local),0.6764598986502974,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
52,Landsat Satellite,0.8172797657677606,Linear,0.71794872,2,KMeans,0.05851859,0.9907963
53,Letter Recognition,1.1254467533392598,KMeans,0.44545455,3,KMeans,0.05851859,0.9907963
54,Pen-Based Recognition of Handwritten Text,1.2257863558831927,KMeans,0.88648649,4,KMeans,0.05851859,0.9907963
55,Breast Cancer Diagnostic,2.7435351775297168,KMeans,0.83333333,5,KMeans,0.05851859,0.9907963
56,Thyroid Disease,3.7603933480203984,KMeans,0.22317597,6,KMeans,0.05851859,0.9907963
