,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.24705408741371837,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.27399764563597273,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,0.2804699408445863,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),0.31497167859771036,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,Thyroid Disease,0.31543504561710733,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,Object Images,0.33668478387136047,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,0.4198463623773385,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Speech Accent Data,2.4779361435764535,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Breast Cancer Diagnostic,0.6177552324143107,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
12,Thyroid Disease,0.7932138683886869,KMeans,0.22317597,2,KMeans,0.38537271,0.4468761299999999
13,Letter Recognition,0.8124241652872177,KMeans,0.44545455,3,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,0.8330304597845808,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Landsat Satellite,0.8360291811978227,Linear,0.71794872,5,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text (Local),0.8639142787779255,KMeans,0.52631579,6,KMeans,0.38537271,0.4468761299999999
17,Object Images,0.875910987014747,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,1.5816270118437927,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,0.0014749432619114433,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Landsat Satellite,0.01074146648114116,Linear,0.71794872,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text,0.01255686606056794,KMeans,0.88648649,3,Gaussian,0.01392758,0.4876117900000001
24,Letter Recognition,0.024056119272440446,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Breast Cancer Diagnostic,0.16859911969723362,KMeans,0.83333333,5,KMeans,0.52631579,1.0
26,Thyroid Disease,0.1841059777442522,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,1.166290968800151,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Speech Accent Data,2.2130227851727504,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text,0.013707331860277172,KMeans,0.88648649,1,KMeans,0.44545455,1.0
32,Landsat Satellite,0.015667031284253008,Linear,0.71794872,2,KMeans,0.44545455,1.0
33,Object Images,0.025602833338366215,Gaussian,0.06772229,3,Gaussian,0.25806452,0.81260997
34,Pen-Based Recognition of Handwritten Text (Local),0.026577080630758795,KMeans,0.52631579,4,KMeans,0.44545455,1.0
35,Breast Cancer Diagnostic,0.1871550778338893,KMeans,0.83333333,5,KMeans,0.44545455,1.0
36,Thyroid Disease,0.2606404863970617,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,1.6791307925764265,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Speech Accent Data,2.991577832962431,Linear,0.11764706,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Breast Cancer Diagnostic,0.31532147538668354,KMeans,0.83333333,1,KMeans,0.22317597,1.0
42,Object Images,0.3318431761179603,Gaussian,0.06772229,2,Gaussian,0.18115942,0.95798345
43,Pen-Based Recognition of Handwritten Text (Local),0.3466268246885802,KMeans,0.52631579,3,KMeans,0.22317597,1.0
44,Landsat Satellite,0.3655966756660071,Linear,0.71794872,4,KMeans,0.22317597,1.0
45,Pen-Based Recognition of Handwritten Text,0.3657522990024722,KMeans,0.88648649,5,KMeans,0.22317597,1.0
46,Letter Recognition,0.36874293658928803,KMeans,0.44545455,6,KMeans,0.22317597,1.0
47,KDD-Cup99 HTTP,1.204439188807509,RPCA,0.93849658,7,KMeans,0.22317597,1.0
48,Speech Accent Data,1.3337480824079186,Linear,0.11764706,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text (Local),0.0063623096124994505,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
52,Landsat Satellite,0.022394522363590186,Linear,0.71794872,2,KMeans,0.05851859,0.9907963
53,Pen-Based Recognition of Handwritten Text,0.02497481241800159,KMeans,0.88648649,3,KMeans,0.05851859,0.9907963
54,Letter Recognition,0.038968871487727874,KMeans,0.44545455,4,KMeans,0.05851859,0.9907963
55,Thyroid Disease,0.11731693005984578,KMeans,0.22317597,5,KMeans,0.05851859,0.9907963
56,Breast Cancer Diagnostic,0.18994160869350907,KMeans,0.83333333,6,KMeans,0.05851859,0.9907963
