,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878
2,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.73684211,0.90350878
3,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.73684211,0.90350878
4,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.83333333,1.0
5,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
12,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.17305478,0.23455819999999994
13,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.17305478,0.23455819999999994
14,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999
17,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.01392758,0.4876117900000001
24,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.52631579,1.0
25,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.52631579,1.0
26,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
32,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.25806452,0.81260997
33,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.25806452,0.81260997
34,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.44545455,1.0
35,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.44545455,1.0
36,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.18115942,0.95798345
42,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.18115942,0.95798345
43,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.18115942,0.95798345
44,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.22317597,1.0
45,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.22317597,1.0
46,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.22317597,1.0
47,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.22317597,1.0
48,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.06772229,1.0
52,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.06772229,1.0
53,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.06772229,1.0
54,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.05851859,0.9907963
55,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.05851859,0.9907963
56,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.05851859,0.9907963
57,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.05851859,0.9907963
58,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.04856512,0.93091806
62,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.04856512,0.93091806
63,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.04856512,0.93091806
64,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.05384615,0.93619909
65,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.05384615,0.93619909
66,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.05384615,0.93619909
67,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.05384615,0.93619909
68,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.77934272,0.89285623
72,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.77934272,0.89285623
73,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.77934272,0.89285623
74,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.88648649,1.0
75,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.88648649,1.0
76,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.88648649,1.0
77,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.88648649,1.0
78,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Object Images,1.0667950134907613,Gaussian,0.06772229,1,Gaussian,0.63716814,0.91921942
82,Landsat Satellite,1.3146946986420158,Linear,0.71794872,2,Gaussian,0.63716814,0.91921942
83,Pen-Based Recognition of Handwritten Text (Local),1.3634444489476922,KMeans,0.52631579,3,Gaussian,0.63716814,0.91921942
84,Pen-Based Recognition of Handwritten Text,1.46531789356341,KMeans,0.88648649,4,KMeans,0.65517241,0.93722369
85,Letter Recognition,1.715996715281001,KMeans,0.44545455,5,KMeans,0.65517241,0.93722369
86,Thyroid Disease,1.7623575938537015,KMeans,0.22317597,6,KMeans,0.65517241,0.93722369
87,KDD-Cup99 HTTP,3.002234427407699,RPCA,0.93849658,7,KMeans,0.65517241,0.93722369
88,Speech Accent Data,4.503668266004416,Linear,0.11764706,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.1111111111111111,0.7932517666666665
0,,,,,2.0,,0.1111111111111111,0.7932517666666665
0,,,,,3.0,,0.1111111111111111,0.7932517666666665
0,,,,,4.0,,0.5555555555555556,0.9234550233333333
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
