,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Object Images,0.009294808,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878
2,Pen-Based Recognition of Handwritten Text,0.08181062,KMeans,0.88648649,2,Gaussian,0.73684211,0.90350878
3,Landsat Satellite,0.11049038,Linear,0.71794872,3,Gaussian,0.73684211,0.90350878
4,Thyroid Disease,0.12194675,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),0.26180997,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Letter Recognition,0.30734056,KMeans,0.44545455,6,KMeans,0.83333333,1.0
7,Speech Accent Data,0.43520898,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,1.7952871,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Object Images,0.027550459,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
12,Pen-Based Recognition of Handwritten Text,0.08763084,KMeans,0.88648649,2,Gaussian,0.17305478,0.23455819999999994
13,Landsat Satellite,0.1004684,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
14,Thyroid Disease,0.10526198,KMeans,0.22317597,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),0.27593705,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,0.31804043,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Speech Accent Data,0.39965546,Linear,0.11764706,7,KMeans,0.38537271,0.4468761299999999
18,KDD-Cup99 HTTP,1.836124,RPCA,0.93849658,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,0.044989765,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Landsat Satellite,0.077102065,Linear,0.71794872,2,Gaussian,0.01392758,0.4876117900000001
23,Thyroid Disease,0.08582008,KMeans,0.22317597,3,Gaussian,0.01392758,0.4876117900000001
24,Pen-Based Recognition of Handwritten Text,0.112953156,KMeans,0.88648649,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text (Local),0.29795435,KMeans,0.52631579,5,KMeans,0.52631579,1.0
