,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,37.071615636906046,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Landsat Satellite,41.581598115972945,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,Letter Recognition,43.45030093869256,KMeans,0.44545455,3,KMeans,0.83333333,1.0
4,Pen-Based Recognition of Handwritten Text (Local),45.31371574286335,KMeans,0.52631579,4,KMeans,0.83333333,1.0
5,Object Images,59.880846897108206,Gaussian,0.06772229,5,KMeans,0.83333333,1.0
6,Thyroid Disease,61.54814383390692,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Speech Accent Data,64.87879415782888,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,135.45083670759362,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text (Local),126.20576011177664,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,131.38872092003822,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Thyroid Disease,132.15169020853708,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
14,Breast Cancer Diagnostic,135.45083670759362,KMeans,0.83333333,4,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,135.85887262380712,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
16,Object Images,137.20847133966882,Gaussian,0.06772229,6,KMeans,0.38537271,0.4468761299999999
17,Landsat Satellite,142.41286000139075,Linear,0.71794872,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,158.95163688390204,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Letter Recognition,25.062940556247554,KMeans,0.44545455,1,KMeans,0.52631579,1.0
22,Object Images,27.450733758207416,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,Pen-Based Recognition of Handwritten Text,29.432542106355253,KMeans,0.88648649,3,KMeans,0.52631579,1.0
24,Landsat Satellite,36.72534343221355,Linear,0.71794872,4,KMeans,0.52631579,1.0
25,Speech Accent Data,41.06117921274597,Linear,0.11764706,5,KMeans,0.52631579,1.0
26,Thyroid Disease,42.13868192623301,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,Breast Cancer Diagnostic,45.31371574286335,KMeans,0.83333333,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,126.20576011177664,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text (Local),25.062940556247554,KMeans,0.52631579,1,KMeans,0.44545455,1.0
32,Object Images,26.73032448419987,Gaussian,0.06772229,2,Gaussian,0.25806452,0.81260997
33,Pen-Based Recognition of Handwritten Text,28.220176918020712,KMeans,0.88648649,3,KMeans,0.44545455,1.0
34,Thyroid Disease,29.915439088805872,KMeans,0.22317597,4,KMeans,0.44545455,1.0
35,Speech Accent Data,37.388122766825916,Linear,0.11764706,5,KMeans,0.44545455,1.0
36,Landsat Satellite,38.64781618799673,Linear,0.71794872,6,KMeans,0.44545455,1.0
37,Breast Cancer Diagnostic,43.45030093869256,KMeans,0.83333333,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,135.85887262380712,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Object Images,29.87676382018587,Gaussian,0.06772229,1,Gaussian,0.18115942,0.95798345
42,Letter Recognition,29.915439088805872,KMeans,0.44545455,2,Gaussian,0.18115942,0.95798345
43,Pen-Based Recognition of Handwritten Text (Local),42.13868192623301,KMeans,0.52631579,3,KMeans,0.22317597,1.0
44,Speech Accent Data,46.14093146567039,Linear,0.11764706,4,KMeans,0.22317597,1.0
45,Pen-Based Recognition of Handwritten Text,50.5896668193745,KMeans,0.88648649,5,KMeans,0.22317597,1.0
46,Landsat Satellite,60.70967706569842,Linear,0.71794872,6,KMeans,0.22317597,1.0
47,Breast Cancer Diagnostic,61.54814383390692,KMeans,0.83333333,7,KMeans,0.22317597,1.0
48,KDD-Cup99 HTTP,132.15169020853708,RPCA,0.93849658,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Letter Recognition,26.73032448419987,KMeans,0.44545455,1,KMeans,0.05851859,0.9907963
52,Pen-Based Recognition of Handwritten Text (Local),27.450733758207416,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
53,Thyroid Disease,29.87676382018587,KMeans,0.22317597,3,KMeans,0.05851859,0.9907963
54,Speech Accent Data,39.14723953361843,Linear,0.11764706,4,KMeans,0.05851859,0.9907963
55,Pen-Based Recognition of Handwritten Text,50.9180799039448,KMeans,0.88648649,5,KMeans,0.05851859,0.9907963
56,Landsat Satellite,56.014153914819055,Linear,0.71794872,6,KMeans,0.05851859,0.9907963
57,Breast Cancer Diagnostic,59.880846897108206,KMeans,0.83333333,7,KMeans,0.05851859,0.9907963
58,KDD-Cup99 HTTP,137.20847133966882,RPCA,0.93849658,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Letter Recognition,37.388122766825916,KMeans,0.44545455,1,KMeans,0.05384615,0.93619909
62,Object Images,39.14723953361843,Gaussian,0.06772229,2,Gaussian,0.04856512,0.93091806
63,Pen-Based Recognition of Handwritten Text (Local),41.06117921274597,KMeans,0.52631579,3,KMeans,0.05384615,0.93619909
64,Thyroid Disease,46.14093146567039,KMeans,0.22317597,4,KMeans,0.05384615,0.93619909
65,Landsat Satellite,60.93547229782285,Linear,0.71794872,5,KMeans,0.05384615,0.93619909
66,Pen-Based Recognition of Handwritten Text,60.969308523118976,KMeans,0.88648649,6,KMeans,0.05384615,0.93619909
67,Breast Cancer Diagnostic,64.87879415782888,KMeans,0.83333333,7,KMeans,0.05384615,0.93619909
68,KDD-Cup99 HTTP,158.95163688390204,RPCA,0.93849658,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Letter Recognition,28.220176918020712,KMeans,0.44545455,1,KMeans,0.88648649,1.0
72,Pen-Based Recognition of Handwritten Text (Local),29.432542106355253,KMeans,0.52631579,2,KMeans,0.88648649,1.0
73,Breast Cancer Diagnostic,37.071615636906046,KMeans,0.83333333,3,KMeans,0.88648649,1.0
74,Landsat Satellite,37.175278195355446,Linear,0.71794872,4,KMeans,0.88648649,1.0
75,Thyroid Disease,50.5896668193745,KMeans,0.22317597,5,KMeans,0.88648649,1.0
76,Object Images,50.9180799039448,Gaussian,0.06772229,6,KMeans,0.88648649,1.0
77,Speech Accent Data,60.969308523118976,Linear,0.11764706,7,KMeans,0.88648649,1.0
78,KDD-Cup99 HTTP,131.38872092003822,RPCA,0.93849658,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Pen-Based Recognition of Handwritten Text (Local),36.72534343221355,KMeans,0.52631579,1,KMeans,0.65517241,0.93722369
82,Pen-Based Recognition of Handwritten Text,37.175278195355446,KMeans,0.88648649,2,KMeans,0.65517241,0.93722369
83,Letter Recognition,38.64781618799673,KMeans,0.44545455,3,KMeans,0.65517241,0.93722369
84,Breast Cancer Diagnostic,41.581598115972945,KMeans,0.83333333,4,KMeans,0.65517241,0.93722369
85,Object Images,56.014153914819055,Gaussian,0.06772229,5,KMeans,0.65517241,0.93722369
86,Thyroid Disease,60.70967706569842,KMeans,0.22317597,6,KMeans,0.65517241,0.93722369
87,Speech Accent Data,60.93547229782285,Linear,0.11764706,7,KMeans,0.65517241,0.93722369
88,KDD-Cup99 HTTP,142.41286000139075,RPCA,0.93849658,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.4444444444444444,0.9187865177777778
0,,,,,2.0,,0.2222222222222222,0.8404465988888888
0,,,,,3.0,,0.5555555555555556,0.9234550233333333
0,,,,,4.0,,0.5555555555555556,0.9234550233333333
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
