,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,1.8387377241278733,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Object Images,2.000389775148612,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878
3,Pen-Based Recognition of Handwritten Text,2.14251040217536,KMeans,0.88648649,3,KMeans,0.83333333,1.0
4,Landsat Satellite,2.5486373093599184,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),3.511503044262553,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Thyroid Disease,4.214422298396849,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Speech Accent Data,27.56971354446684,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,262.36124252006107,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Speech Accent Data,383.8734002210671,Linear,0.11764706,1,Linear,0.92639843,0.98790185
12,Landsat Satellite,401.8217973121725,Linear,0.71794872,2,Linear,0.92639843,0.98790185
13,Breast Cancer Diagnostic,409.15493118682866,KMeans,0.83333333,3,Linear,0.92639843,0.98790185
14,Letter Recognition,413.74841777783524,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
15,Object Images,416.72931711867614,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text,417.32842321894975,KMeans,0.88648649,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text (Local),421.6943607556094,KMeans,0.52631579,7,KMeans,0.38537271,0.4468761299999999
18,Thyroid Disease,422.675308875531,KMeans,0.22317597,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Thyroid Disease,0.606052162604026,KMeans,0.22317597,1,KMeans,0.52631579,1.0
22,Pen-Based Recognition of Handwritten Text,2.002671498245222,KMeans,0.88648649,2,KMeans,0.52631579,1.0
23,Object Images,3.891747896758368,Gaussian,0.06772229,3,KMeans,0.52631579,1.0
24,Letter Recognition,4.9021553934732145,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Breast Cancer Diagnostic,5.756597365436539,KMeans,0.83333333,5,KMeans,0.52631579,1.0
26,Landsat Satellite,9.37342373536683,Linear,0.71794872,6,KMeans,0.52631579,1.0
27,Speech Accent Data,25.883875978975436,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,260.01180485679896,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Object Images,0.29206887777957213,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
32,Breast Cancer Diagnostic,0.9128583876552456,KMeans,0.83333333,2,Gaussian,0.25806452,0.81260997
33,Landsat Satellite,3.419952513727197,Linear,0.71794872,3,Gaussian,0.25806452,0.81260997
34,Pen-Based Recognition of Handwritten Text,4.755342561109753,KMeans,0.88648649,4,KMeans,0.44545455,1.0
35,Pen-Based Recognition of Handwritten Text (Local),6.829939806755953,KMeans,0.52631579,5,KMeans,0.44545455,1.0
36,Thyroid Disease,7.393817356657144,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,Speech Accent Data,36.22052261204202,Linear,0.11764706,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,432.7560671657143,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Pen-Based Recognition of Handwritten Text (Local),0.5389807047135883,KMeans,0.52631579,1,KMeans,0.22317597,1.0
