,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.012273213841055508,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.3906099122527067,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,Speech Accent Data,4.533790862027477,Linear,0.11764706,3,Linear,0.63157895,0.79824562
4,Pen-Based Recognition of Handwritten Text,6.451782052920059,KMeans,0.88648649,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),7.539577461142429,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Object Images,8.862432830899728,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Letter Recognition,15.449727363201188,KMeans,0.44545455,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,63.17961869767593,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Thyroid Disease,0.012273213841055508,KMeans,0.22317597,1,KMeans,0.38537271,0.4468761299999999
12,Landsat Satellite,0.3906099122527067,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
13,Speech Accent Data,4.533790862027477,Linear,0.11764706,3,Linear,0.92639843,0.98790185
14,Pen-Based Recognition of Handwritten Text,6.451782052920059,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),7.539577461142429,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Object Images,8.862432830899728,Gaussian,0.06772229,6,KMeans,0.38537271,0.4468761299999999
17,Letter Recognition,15.449727363201188,KMeans,0.44545455,7,KMeans,0.38537271,0.4468761299999999
18,KDD-Cup99 HTTP,63.17961869767593,RPCA,0.93849658,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Thyroid Disease,0.012273213841055508,KMeans,0.22317597,1,KMeans,0.52631579,1.0
22,Landsat Satellite,0.3906099122527067,Linear,0.71794872,2,KMeans,0.52631579,1.0
23,Speech Accent Data,4.533790862027477,Linear,0.11764706,3,Linear,0.02505219,0.4987364000000001
24,Pen-Based Recognition of Handwritten Text,6.451782052920059,KMeans,0.88648649,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text (Local),7.539577461142429,KMeans,0.52631579,5,KMeans,0.52631579,1.0
26,Object Images,8.862432830899728,Gaussian,0.06772229,6,KMeans,0.52631579,1.0
27,Letter Recognition,15.449727363201188,KMeans,0.44545455,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,63.17961869767593,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Thyroid Disease,0.012273213841055508,KMeans,0.22317597,1,KMeans,0.44545455,1.0
32,Landsat Satellite,0.3906099122527067,Linear,0.71794872,2,KMeans,0.44545455,1.0
33,Speech Accent Data,4.533790862027477,Linear,0.11764706,3,Linear,0.22222222,0.77676767
34,Pen-Based Recognition of Handwritten Text,6.451782052920059,KMeans,0.88648649,4,KMeans,0.44545455,1.0
35,Pen-Based Recognition of Handwritten Text (Local),7.539577461142429,KMeans,0.52631579,5,KMeans,0.44545455,1.0
36,Object Images,8.862432830899728,Gaussian,0.06772229,6,KMeans,0.44545455,1.0
