,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.017201275,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text (Local),0.05750987,KMeans,0.52631579,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text,0.059930623,KMeans,0.88648649,3,KMeans,0.83333333,1.0
4,Thyroid Disease,0.0719465,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Object Images,0.1128819,Gaussian,0.06772229,5,KMeans,0.83333333,1.0
6,Landsat Satellite,0.4289208,Linear,0.71794872,6,KMeans,0.83333333,1.0
7,Speech Accent Data,1.0211277,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,1.8859661,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Letter Recognition,0.013413489,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text (Local),0.060020596,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999
13,Thyroid Disease,0.07004577,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text,0.07402372,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Object Images,0.118679374,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999
16,Landsat Satellite,0.46702272,Linear,0.71794872,6,KMeans,0.38537271,0.4468761299999999
17,Speech Accent Data,1.2951968,Linear,0.11764706,7,KMeans,0.38537271,0.4468761299999999
18,KDD-Cup99 HTTP,1.9133573,RPCA,0.93849658,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Pen-Based Recognition of Handwritten Text (Local),0.011769831,KMeans,0.52631579,1,KMeans,0.52631579,1.0
22,Letter Recognition,0.044347197,KMeans,0.44545455,2,KMeans,0.52631579,1.0
23,Object Images,0.06594038,Gaussian,0.06772229,3,KMeans,0.52631579,1.0
24,Pen-Based Recognition of Handwritten Text,0.07038587,KMeans,0.88648649,4,KMeans,0.52631579,1.0
25,Thyroid Disease,0.09970507,KMeans,0.22317597,5,KMeans,0.52631579,1.0
26,Landsat Satellite,0.39429933,Linear,0.71794872,6,KMeans,0.52631579,1.0
27,Speech Accent Data,1.3400801,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,1.8871694,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Pen-Based Recognition of Handwritten Text (Local),0.029327512,KMeans,0.52631579,1,KMeans,0.44545455,1.0
32,Letter Recognition,0.043593824,KMeans,0.44545455,2,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text,0.05494833,KMeans,0.88648649,3,KMeans,0.44545455,1.0
34,Object Images,0.08440533,Gaussian,0.06772229,4,KMeans,0.44545455,1.0
35,Thyroid Disease,0.09321368,KMeans,0.22317597,5,KMeans,0.44545455,1.0
36,Landsat Satellite,0.43574572,Linear,0.71794872,6,KMeans,0.44545455,1.0
37,Speech Accent Data,1.0674057,Linear,0.11764706,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,1.8126249,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Pen-Based Recognition of Handwritten Text (Local),0.014392495,KMeans,0.52631579,1,KMeans,0.22317597,1.0
42,Letter Recognition,0.025525749,KMeans,0.44545455,2,KMeans,0.22317597,1.0
43,Object Images,0.07018739,Gaussian,0.06772229,3,KMeans,0.22317597,1.0
44,Thyroid Disease,0.086199045,KMeans,0.22317597,4,KMeans,0.22317597,1.0
45,Pen-Based Recognition of Handwritten Text,0.09989464,KMeans,0.88648649,5,KMeans,0.22317597,1.0
46,Landsat Satellite,0.52289927,Linear,0.71794872,6,KMeans,0.22317597,1.0
47,Speech Accent Data,1.105197,Linear,0.11764706,7,KMeans,0.22317597,1.0
48,KDD-Cup99 HTTP,1.5969718,RPCA,0.93849658,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Letter Recognition,0.007263899,KMeans,0.44545455,1,KMeans,0.05851859,0.9907963
52,Pen-Based Recognition of Handwritten Text (Local),0.05482602,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
53,Thyroid Disease,0.06269473,KMeans,0.22317597,3,KMeans,0.05851859,0.9907963
54,Pen-Based Recognition of Handwritten Text,0.09343335,KMeans,0.88648649,4,KMeans,0.05851859,0.9907963
55,Object Images,0.10286808,Gaussian,0.06772229,5,KMeans,0.05851859,0.9907963
56,Landsat Satellite,0.48559332,Linear,0.71794872,6,KMeans,0.05851859,0.9907963
57,Speech Accent Data,1.0279074,Linear,0.11764706,7,KMeans,0.05851859,0.9907963
58,KDD-Cup99 HTTP,1.8484712,RPCA,0.93849658,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Letter Recognition,0.013625234,KMeans,0.44545455,1,KMeans,0.05384615,0.93619909
62,Thyroid Disease,0.059914857,KMeans,0.22317597,2,KMeans,0.05384615,0.93619909
63,Pen-Based Recognition of Handwritten Text (Local),0.072748035,KMeans,0.52631579,3,KMeans,0.05384615,0.93619909
64,Pen-Based Recognition of Handwritten Text,0.093981445,KMeans,0.88648649,4,KMeans,0.05384615,0.93619909
65,Object Images,0.12985566,Gaussian,0.06772229,5,KMeans,0.05384615,0.93619909
66,Landsat Satellite,0.47683784,Linear,0.71794872,6,KMeans,0.05384615,0.93619909
67,Speech Accent Data,1.295507,Linear,0.11764706,7,KMeans,0.05384615,0.93619909
68,KDD-Cup99 HTTP,1.9941654,RPCA,0.93849658,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Letter Recognition,0.03056252,KMeans,0.44545455,1,KMeans,0.88648649,1.0
72,Pen-Based Recognition of Handwritten Text (Local),0.056797028,KMeans,0.52631579,2,KMeans,0.88648649,1.0
73,Pen-Based Recognition of Handwritten Text,0.06846395,KMeans,0.88648649,3,KMeans,0.88648649,1.0
74,Thyroid Disease,0.06916693,KMeans,0.22317597,4,KMeans,0.88648649,1.0
75,Object Images,0.12160659,Gaussian,0.06772229,5,KMeans,0.88648649,1.0
