,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,2.3428193823403554,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Thyroid Disease,2.6560905408660687,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text (Local),3.2792231852724867,KMeans,0.52631579,3,KMeans,0.83333333,1.0
4,Landsat Satellite,3.360164397528121,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Letter Recognition,3.360253247123932,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Object Images,3.4441905857453166,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,5.115263819731026,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Speech Accent Data,5.224962323357617,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Breast Cancer Diagnostic,5.115263819731026,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,5.86899510757046,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Thyroid Disease,6.491584782669485,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
14,Landsat Satellite,6.830297618278236,Linear,0.71794872,4,KMeans,0.38537271,0.4468761299999999
15,Letter Recognition,6.875469541697779,KMeans,0.44545455,5,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text (Local),6.956535579826915,KMeans,0.52631579,6,KMeans,0.38537271,0.4468761299999999
17,Object Images,6.998941771623576,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,7.863045046210231,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,0.6269051522553086,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Thyroid Disease,1.0045478823716663,KMeans,0.22317597,2,Gaussian,0.01392758,0.4876117900000001
23,Letter Recognition,2.1469323603882065,KMeans,0.44545455,3,KMeans,0.52631579,1.0
24,Breast Cancer Diagnostic,3.2792231852724867,KMeans,0.83333333,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text,3.692284872372949,KMeans,0.88648649,5,KMeans,0.52631579,1.0
26,Landsat Satellite,4.01928173331034,Linear,0.71794872,6,KMeans,0.52631579,1.0
27,Speech Accent Data,4.690476064759741,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,6.956535579826915,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Thyroid Disease,2.0844388999095376,KMeans,0.22317597,1,KMeans,0.44545455,1.0
