,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.02848468302359649,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.1358100597914367,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text (Local),0.22460530531559783,KMeans,0.52631579,3,KMeans,0.83333333,1.0
4,Landsat Satellite,0.28271403931480377,Linear,0.71794872,4,KMeans,0.83333333,1.0
5,Thyroid Disease,0.312067761951513,KMeans,0.22317597,5,KMeans,0.83333333,1.0
6,Object Images,0.4313509976592871,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,1.821657649497495,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Speech Accent Data,2.4752261802447326,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Landsat Satellite,0.14628412984999783,Linear,0.71794872,1,Linear,0.92639843,0.98790185
12,Object Images,0.3230648055108017,Gaussian,0.06772229,2,Gaussian,0.17305478,0.23455819999999994
13,Thyroid Disease,0.4857494128504372,KMeans,0.22317597,3,Gaussian,0.17305478,0.23455819999999994
14,Pen-Based Recognition of Handwritten Text,0.5175579949622493,KMeans,0.88648649,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),0.5492893438174019,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,0.7517225522133183,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Breast Cancer Diagnostic,0.7520594385065099,KMeans,0.83333333,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,2.013742688247392,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
