,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Pen-Based Recognition of Handwritten Text,3.477992102267635,KMeans,0.88648649,1,KMeans,0.83333333,1.0
2,Thyroid Disease,5.46758418271785,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Pen-Based Recognition of Handwritten Text (Local),6.201076464436708,KMeans,0.52631579,3,KMeans,0.83333333,1.0
4,Object Images,6.682730856701798,Gaussian,0.06772229,4,KMeans,0.83333333,1.0
5,Landsat Satellite,6.847742428570124,Linear,0.71794872,5,KMeans,0.83333333,1.0
6,Letter Recognition,7.27664340088771,KMeans,0.44545455,6,KMeans,0.83333333,1.0
7,KDD-Cup99 HTTP,10.687501603069474,RPCA,0.93849658,7,KMeans,0.83333333,1.0
8,Speech Accent Data,11.831372199958736,Linear,0.11764706,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Breast Cancer Diagnostic,10.687501603069474,KMeans,0.83333333,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,13.961659652653227,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Thyroid Disease,14.918871077159661,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
14,Pen-Based Recognition of Handwritten Text (Local),16.066533742715286,KMeans,0.52631579,4,KMeans,0.38537271,0.4468761299999999
15,Object Images,16.13401775114361,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,16.803082157806237,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Landsat Satellite,17.501950692512665,Linear,0.71794872,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,21.03678971379982,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,0.8811744617882751,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Thyroid Disease,1.9475502083355285,KMeans,0.22317597,2,Gaussian,0.01392758,0.4876117900000001
23,Letter Recognition,3.353076117397393,KMeans,0.44545455,3,KMeans,0.52631579,1.0
24,Breast Cancer Diagnostic,6.201076464436708,KMeans,0.83333333,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text,7.313170671841251,KMeans,0.88648649,5,KMeans,0.52631579,1.0
26,Speech Accent Data,8.17914774970237,Linear,0.11764706,6,KMeans,0.52631579,1.0
27,Landsat Satellite,8.180316332130197,Linear,0.71794872,7,KMeans,0.52631579,1.0
28,KDD-Cup99 HTTP,16.066533742715286,RPCA,0.93849658,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Thyroid Disease,2.7295678881184138,KMeans,0.22317597,1,KMeans,0.44545455,1.0
32,Pen-Based Recognition of Handwritten Text (Local),3.353076117397393,KMeans,0.52631579,2,KMeans,0.44545455,1.0
33,Object Images,3.5411812529943667,Gaussian,0.06772229,3,KMeans,0.44545455,1.0
34,Pen-Based Recognition of Handwritten Text,4.651437609368109,KMeans,0.88648649,4,KMeans,0.44545455,1.0
35,Landsat Satellite,5.301994781977242,Linear,0.71794872,5,KMeans,0.44545455,1.0
36,Breast Cancer Diagnostic,7.27664340088771,KMeans,0.83333333,6,KMeans,0.44545455,1.0
37,Speech Accent Data,8.894767151297259,Linear,0.11764706,7,KMeans,0.44545455,1.0
38,KDD-Cup99 HTTP,16.803082157806237,RPCA,0.93849658,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Object Images,1.3570007223249732,Gaussian,0.06772229,1,Gaussian,0.18115942,0.95798345
42,Pen-Based Recognition of Handwritten Text (Local),1.9475502083355285,KMeans,0.52631579,2,Gaussian,0.18115942,0.95798345
43,Letter Recognition,2.7295678881184138,KMeans,0.44545455,3,KMeans,0.22317597,1.0
