,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.5500663771249565,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Pen-Based Recognition of Handwritten Text,0.892693178978456,KMeans,0.88648649,2,KMeans,0.83333333,1.0
3,Landsat Satellite,1.0958424169338135,Linear,0.71794872,3,KMeans,0.83333333,1.0
4,Thyroid Disease,1.5954846439159276,KMeans,0.22317597,4,KMeans,0.83333333,1.0
5,Pen-Based Recognition of Handwritten Text (Local),1.6604135534992135,KMeans,0.52631579,5,KMeans,0.83333333,1.0
6,Object Images,1.9690560959412484,Gaussian,0.06772229,6,KMeans,0.83333333,1.0
7,Speech Accent Data,4.0406265131179655,Linear,0.11764706,7,KMeans,0.83333333,1.0
8,KDD-Cup99 HTTP,6.1708161771420045,RPCA,0.93849658,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Letter Recognition,0.5500663771249565,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
12,Pen-Based Recognition of Handwritten Text,0.892693178978456,KMeans,0.88648649,2,KMeans,0.38537271,0.4468761299999999
13,Landsat Satellite,1.0958424169338135,Linear,0.71794872,3,KMeans,0.38537271,0.4468761299999999
14,Thyroid Disease,1.5954846439159276,KMeans,0.22317597,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),1.6604135534992135,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Object Images,1.9690560959412484,Gaussian,0.06772229,6,KMeans,0.38537271,0.4468761299999999
17,Speech Accent Data,4.0406265131179655,Linear,0.11764706,7,KMeans,0.38537271,0.4468761299999999
18,KDD-Cup99 HTTP,6.1708161771420045,RPCA,0.93849658,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Letter Recognition,0.5500663771249565,KMeans,0.44545455,1,KMeans,0.52631579,1.0
22,Pen-Based Recognition of Handwritten Text,0.892693178978456,KMeans,0.88648649,2,KMeans,0.52631579,1.0
23,Landsat Satellite,1.0958424169338135,Linear,0.71794872,3,KMeans,0.52631579,1.0
24,Thyroid Disease,1.5954846439159276,KMeans,0.22317597,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text (Local),1.6604135534992135,KMeans,0.52631579,5,KMeans,0.52631579,1.0
