,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Letter Recognition,0.028097957,KMeans,0.44545455,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.0637427,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,Thyroid Disease,0.09051275,KMeans,0.22317597,3,KMeans,0.83333333,1.0
4,Speech Accent Data,0.21278434,Linear,0.11764706,4,KMeans,0.83333333,1.0
5,KDD-Cup99 HTTP,0.33133623,RPCA,0.93849658,5,KMeans,0.83333333,1.0
6,Pen-Based Recognition of Handwritten Text (Local),0.39067242,KMeans,0.52631579,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,1.0602325,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Object Images,2.8042781,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text (Local),0.06458199,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
12,Landsat Satellite,0.27381954,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
13,Breast Cancer Diagnostic,0.34133413,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
14,Letter Recognition,0.3828188,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,0.4352851,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
16,Speech Accent Data,0.54906726,Linear,0.11764706,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text,0.6520862,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
18,Object Images,2.4088902,Gaussian,0.06772229,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,KDD-Cup99 HTTP,0.080898106,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
22,Landsat Satellite,0.36719626,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
23,Breast Cancer Diagnostic,0.44888374,KMeans,0.83333333,3,KMeans,0.52631579,1.0
24,Letter Recognition,0.5098337,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Pen-Based Recognition of Handwritten Text,0.51248616,KMeans,0.88648649,5,KMeans,0.52631579,1.0
26,Thyroid Disease,0.5494702,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,Speech Accent Data,0.63197803,Linear,0.11764706,7,KMeans,0.52631579,1.0
28,Object Images,2.077801,Gaussian,0.06772229,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Breast Cancer Diagnostic,0.03075087,KMeans,0.83333333,1,KMeans,0.44545455,1.0
32,Thyroid Disease,0.06494267,KMeans,0.22317597,2,KMeans,0.44545455,1.0
33,Landsat Satellite,0.10933611,Linear,0.71794872,3,KMeans,0.44545455,1.0
34,Speech Accent Data,0.1574265,Linear,0.11764706,4,KMeans,0.44545455,1.0
35,KDD-Cup99 HTTP,0.3973854,RPCA,0.93849658,5,KMeans,0.44545455,1.0
36,Pen-Based Recognition of Handwritten Text (Local),0.48080507,KMeans,0.52631579,6,KMeans,0.44545455,1.0
37,Pen-Based Recognition of Handwritten Text,1.0836666,KMeans,0.88648649,7,KMeans,0.44545455,1.0
38,Object Images,2.4841154,Gaussian,0.06772229,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Breast Cancer Diagnostic,0.08328834,KMeans,0.83333333,1,KMeans,0.22317597,1.0
42,Letter Recognition,0.088912845,KMeans,0.44545455,2,KMeans,0.22317597,1.0
43,Landsat Satellite,0.13781348,Linear,0.71794872,3,KMeans,0.22317597,1.0
44,Speech Accent Data,0.13944343,Linear,0.11764706,4,KMeans,0.22317597,1.0
45,KDD-Cup99 HTTP,0.3972332,RPCA,0.93849658,5,KMeans,0.22317597,1.0
46,Pen-Based Recognition of Handwritten Text (Local),0.45866585,KMeans,0.52631579,6,KMeans,0.22317597,1.0
47,Pen-Based Recognition of Handwritten Text,1.2610098,KMeans,0.88648649,7,KMeans,0.22317597,1.0
48,Object Images,2.6567104,Gaussian,0.06772229,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text,1.6167816,KMeans,0.88648649,1,KMeans,0.05851859,0.9907963
52,Pen-Based Recognition of Handwritten Text (Local),2.1965756,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
53,KDD-Cup99 HTTP,2.2435775,RPCA,0.93849658,3,KMeans,0.05851859,0.9907963
54,Landsat Satellite,2.518096,Linear,0.71794872,4,KMeans,0.05851859,0.9907963
55,Breast Cancer Diagnostic,2.594249,KMeans,0.83333333,5,KMeans,0.05851859,0.9907963
56,Letter Recognition,2.6542976,KMeans,0.44545455,6,KMeans,0.05851859,0.9907963
57,Thyroid Disease,2.6959517,KMeans,0.22317597,7,KMeans,0.05851859,0.9907963
58,Speech Accent Data,2.80967,Linear,0.11764706,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Thyroid Disease,0.095993176,KMeans,0.22317597,1,KMeans,0.05384615,0.93619909
62,Letter Recognition,0.17839308,KMeans,0.44545455,2,KMeans,0.05384615,0.93619909
63,Breast Cancer Diagnostic,0.18340115,KMeans,0.83333333,3,KMeans,0.05384615,0.93619909
64,Landsat Satellite,0.25207698,Linear,0.71794872,4,KMeans,0.05384615,0.93619909
65,KDD-Cup99 HTTP,0.5310042,RPCA,0.93849658,5,KMeans,0.05384615,0.93619909
66,Pen-Based Recognition of Handwritten Text (Local),0.6232332,KMeans,0.52631579,6,KMeans,0.05384615,0.93619909
67,Pen-Based Recognition of Handwritten Text,1.2893618,KMeans,0.88648649,7,KMeans,0.05384615,0.93619909
68,Object Images,2.5816677,Gaussian,0.06772229,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Pen-Based Recognition of Handwritten Text (Local),0.6951893,KMeans,0.52631579,1,KMeans,0.88648649,1.0
72,KDD-Cup99 HTTP,0.7293243,RPCA,0.93849658,2,KMeans,0.88648649,1.0
73,Landsat Satellite,0.99545455,Linear,0.71794872,3,KMeans,0.88648649,1.0
74,Breast Cancer Diagnostic,1.0651928,KMeans,0.83333333,4,KMeans,0.88648649,1.0
75,Letter Recognition,1.0988195,KMeans,0.44545455,5,KMeans,0.88648649,1.0
76,Thyroid Disease,1.1622384,KMeans,0.22317597,6,KMeans,0.88648649,1.0
77,Speech Accent Data,1.3006251,Linear,0.11764706,7,KMeans,0.88648649,1.0
78,Object Images,1.6713827,Gaussian,0.06772229,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Breast Cancer Diagnostic,0.06567207,KMeans,0.83333333,1,KMeans,0.65517241,0.93722369
82,Letter Recognition,0.12147671,KMeans,0.44545455,2,KMeans,0.65517241,0.93722369
83,Thyroid Disease,0.15808883,KMeans,0.22317597,3,KMeans,0.65517241,0.93722369
84,KDD-Cup99 HTTP,0.2720472,RPCA,0.93849658,4,KMeans,0.65517241,0.93722369
85,Speech Accent Data,0.27813533,Linear,0.11764706,5,KMeans,0.65517241,0.93722369
86,Pen-Based Recognition of Handwritten Text (Local),0.3328183,KMeans,0.52631579,6,KMeans,0.65517241,0.93722369
87,Pen-Based Recognition of Handwritten Text,0.8718357,KMeans,0.88648649,7,KMeans,0.65517241,0.93722369
88,Object Images,2.527806,Gaussian,0.06772229,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
