,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.36030300899652834,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.500012037037114,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,KDD-Cup99 HTTP,1.1933048501297543,RPCA,0.93849658,3,KMeans,0.83333333,1.0
4,Speech Accent Data,1.200042235503225,Linear,0.11764706,4,Linear,0.63157895,0.79824562
5,Letter Recognition,1.244012405115492,KMeans,0.44545455,5,KMeans,0.83333333,1.0
6,Pen-Based Recognition of Handwritten Text (Local),1.7409255767392453,KMeans,0.52631579,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,2.2147074701678786,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Object Images,4.629391487675984,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Landsat Satellite,0.7008360294988496,Linear,0.71794872,1,Linear,0.92639843,0.98790185
12,Pen-Based Recognition of Handwritten Text (Local),0.8920380441817808,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999
13,Speech Accent Data,1.0111976487337921,Linear,0.11764706,3,Linear,0.92639843,0.98790185
14,Breast Cancer Diagnostic,1.1933048501297543,KMeans,0.83333333,4,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,1.471378534175274,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,2.258327379105834,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text,3.350209110451993,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
18,Object Images,4.46811479428492,Gaussian,0.06772229,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,KDD-Cup99 HTTP,0.8920380441817808,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
22,Speech Accent Data,0.9073504656409325,Linear,0.11764706,2,Linear,0.02505219,0.4987364000000001
23,Landsat Satellite,1.3676048615900396,Linear,0.71794872,3,Linear,0.02505219,0.4987364000000001
24,Breast Cancer Diagnostic,1.7409255767392453,KMeans,0.83333333,4,Linear,0.02505219,0.4987364000000001
25,Thyroid Disease,1.9300393756191045,KMeans,0.22317597,5,KMeans,0.52631579,1.0
26,Letter Recognition,2.5157909376194922,KMeans,0.44545455,6,KMeans,0.52631579,1.0
27,Pen-Based Recognition of Handwritten Text,3.5903724943268207,KMeans,0.88648649,7,KMeans,0.52631579,1.0
28,Object Images,3.979019079282242,Gaussian,0.06772229,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Thyroid Disease,0.8887711889275974,KMeans,0.22317597,1,KMeans,0.44545455,1.0
32,Breast Cancer Diagnostic,1.244012405115492,KMeans,0.83333333,2,KMeans,0.44545455,1.0
33,Pen-Based Recognition of Handwritten Text,1.2509240279547773,KMeans,0.88648649,3,KMeans,0.44545455,1.0
34,Landsat Satellite,1.6622944674997469,Linear,0.71794872,4,KMeans,0.44545455,1.0
35,Speech Accent Data,1.6789657633816975,Linear,0.11764706,5,KMeans,0.44545455,1.0
36,KDD-Cup99 HTTP,2.258327379105834,RPCA,0.93849658,6,KMeans,0.44545455,1.0
37,Pen-Based Recognition of Handwritten Text (Local),2.5157909376194922,KMeans,0.52631579,7,KMeans,0.44545455,1.0
38,Object Images,4.170449721358972,Gaussian,0.06772229,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Breast Cancer Diagnostic,0.36030300899652834,KMeans,0.83333333,1,KMeans,0.22317597,1.0
42,Landsat Satellite,0.8076451407514803,Linear,0.71794872,2,KMeans,0.22317597,1.0
43,Letter Recognition,0.8887711889275974,KMeans,0.44545455,3,KMeans,0.22317597,1.0
44,Speech Accent Data,1.2432865201665828,Linear,0.11764706,4,KMeans,0.22317597,1.0
45,KDD-Cup99 HTTP,1.471378534175274,RPCA,0.93849658,5,KMeans,0.22317597,1.0
