,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.011718368681250507,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Speech Accent Data,0.022553365556804622,Linear,0.11764706,2,KMeans,0.83333333,1.0
3,Landsat Satellite,0.028149840478785465,Linear,0.71794872,3,Linear,0.63157895,0.79824562
4,Letter Recognition,0.03140197299393693,KMeans,0.44545455,4,KMeans,0.83333333,1.0
5,KDD-Cup99 HTTP,0.05292793408141541,RPCA,0.93849658,5,KMeans,0.83333333,1.0
6,Pen-Based Recognition of Handwritten Text (Local),0.11890430798662059,KMeans,0.52631579,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,0.11922651825450388,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Object Images,0.1240342774059222,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Letter Recognition,0.02152596108747848,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
12,Landsat Satellite,0.024778093602629947,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
13,Thyroid Disease,0.041209565400164905,KMeans,0.22317597,3,KMeans,0.38537271,0.4468761299999999
14,Breast Cancer Diagnostic,0.05292793408141541,KMeans,0.83333333,4,KMeans,0.38537271,0.4468761299999999
15,Pen-Based Recognition of Handwritten Text (Local),0.06597637390520518,KMeans,0.52631579,5,KMeans,0.38537271,0.4468761299999999
16,Pen-Based Recognition of Handwritten Text,0.06629858417308847,KMeans,0.88648649,6,KMeans,0.38537271,0.4468761299999999
17,Object Images,0.07110634332450678,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999
18,Speech Accent Data,0.07548129963822003,Linear,0.11764706,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Pen-Based Recognition of Handwritten Text,0.0003222102678832831,KMeans,0.88648649,1,KMeans,0.52631579,1.0
22,Object Images,0.005129969419301606,Gaussian,0.06772229,2,Gaussian,0.01392758,0.4876117900000001
23,KDD-Cup99 HTTP,0.06597637390520518,RPCA,0.93849658,3,Gaussian,0.01392758,0.4876117900000001
24,Letter Recognition,0.08750233499268366,KMeans,0.44545455,4,KMeans,0.52631579,1.0
25,Landsat Satellite,0.09075446750783513,Linear,0.71794872,5,KMeans,0.52631579,1.0
26,Thyroid Disease,0.10718593930537008,KMeans,0.22317597,6,KMeans,0.52631579,1.0
27,Breast Cancer Diagnostic,0.11890430798662059,KMeans,0.83333333,7,KMeans,0.52631579,1.0
28,Speech Accent Data,0.14145767354342523,Linear,0.11764706,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Landsat Satellite,0.003252132515151468,Linear,0.71794872,1,Linear,0.22222222,0.77676767
32,Thyroid Disease,0.019683604312686426,KMeans,0.22317597,2,KMeans,0.44545455,1.0
33,KDD-Cup99 HTTP,0.02152596108747848,RPCA,0.93849658,3,KMeans,0.44545455,1.0
34,Breast Cancer Diagnostic,0.03140197299393693,KMeans,0.83333333,4,KMeans,0.44545455,1.0
35,Speech Accent Data,0.053955338550741555,Linear,0.11764706,5,KMeans,0.44545455,1.0
36,Pen-Based Recognition of Handwritten Text (Local),0.08750233499268366,KMeans,0.52631579,6,KMeans,0.44545455,1.0
37,Pen-Based Recognition of Handwritten Text,0.08782454526056695,KMeans,0.88648649,7,KMeans,0.44545455,1.0
38,Object Images,0.09263230441198526,Gaussian,0.06772229,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Breast Cancer Diagnostic,0.011718368681250507,KMeans,0.83333333,1,KMeans,0.22317597,1.0
42,Landsat Satellite,0.016431471797534958,Linear,0.71794872,2,KMeans,0.22317597,1.0
43,Letter Recognition,0.019683604312686426,KMeans,0.44545455,3,KMeans,0.22317597,1.0
44,Speech Accent Data,0.03427173423805513,Linear,0.11764706,4,KMeans,0.22317597,1.0
45,KDD-Cup99 HTTP,0.041209565400164905,RPCA,0.93849658,5,KMeans,0.22317597,1.0
46,Pen-Based Recognition of Handwritten Text (Local),0.10718593930537008,KMeans,0.52631579,6,KMeans,0.22317597,1.0
47,Pen-Based Recognition of Handwritten Text,0.10750814957325337,KMeans,0.88648649,7,KMeans,0.22317597,1.0
48,Object Images,0.11231590872467169,Gaussian,0.06772229,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text,0.004807759151418323,KMeans,0.88648649,1,KMeans,0.05851859,0.9907963
52,Pen-Based Recognition of Handwritten Text (Local),0.005129969419301606,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
53,KDD-Cup99 HTTP,0.07110634332450678,RPCA,0.93849658,3,KMeans,0.05851859,0.9907963
54,Letter Recognition,0.09263230441198526,KMeans,0.44545455,4,KMeans,0.05851859,0.9907963
55,Landsat Satellite,0.09588443692713673,Linear,0.71794872,5,KMeans,0.05851859,0.9907963
56,Thyroid Disease,0.11231590872467169,KMeans,0.22317597,6,KMeans,0.05851859,0.9907963
57,Breast Cancer Diagnostic,0.1240342774059222,KMeans,0.83333333,7,KMeans,0.05851859,0.9907963
58,Speech Accent Data,0.14658764296272683,Linear,0.11764706,8,KMeans,0.05851859,0.9907963
59,,,,,,,,
60,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
61,Breast Cancer Diagnostic,0.022553365556804622,KMeans,0.83333333,1,KMeans,0.05384615,0.93619909
62,Thyroid Disease,0.03427173423805513,KMeans,0.22317597,2,KMeans,0.05384615,0.93619909
63,Landsat Satellite,0.05070320603559009,Linear,0.71794872,3,KMeans,0.05384615,0.93619909
64,Letter Recognition,0.053955338550741555,KMeans,0.44545455,4,KMeans,0.05384615,0.93619909
65,KDD-Cup99 HTTP,0.07548129963822003,RPCA,0.93849658,5,KMeans,0.05384615,0.93619909
66,Pen-Based Recognition of Handwritten Text (Local),0.14145767354342523,KMeans,0.52631579,6,KMeans,0.05384615,0.93619909
67,Pen-Based Recognition of Handwritten Text,0.1417798838113085,KMeans,0.88648649,7,KMeans,0.05384615,0.93619909
68,Object Images,0.14658764296272683,Gaussian,0.06772229,8,KMeans,0.05384615,0.93619909
69,,,,,,,,
70,Pen-Based Recognition of Handwritten Text,0,KMeans,0.88648649,0,KMeans,0.88648649,1
71,Pen-Based Recognition of Handwritten Text (Local),0.0003222102678832814,KMeans,0.52631579,1,KMeans,0.88648649,1.0
72,Object Images,0.004807759151418325,Gaussian,0.06772229,2,Gaussian,0.77934272,0.89285623
73,KDD-Cup99 HTTP,0.06629858417308847,RPCA,0.93849658,3,Gaussian,0.77934272,0.89285623
74,Letter Recognition,0.08782454526056695,KMeans,0.44545455,4,KMeans,0.88648649,1.0
75,Landsat Satellite,0.09107667777571841,Linear,0.71794872,5,KMeans,0.88648649,1.0
76,Thyroid Disease,0.10750814957325337,KMeans,0.22317597,6,KMeans,0.88648649,1.0
77,Breast Cancer Diagnostic,0.11922651825450388,KMeans,0.83333333,7,KMeans,0.88648649,1.0
78,Speech Accent Data,0.1417798838113085,Linear,0.11764706,8,KMeans,0.88648649,1.0
79,,,,,,,,
80,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
81,Letter Recognition,0.003252132515151468,KMeans,0.44545455,1,KMeans,0.65517241,0.93722369
82,Thyroid Disease,0.016431471797534958,KMeans,0.22317597,2,KMeans,0.65517241,0.93722369
83,KDD-Cup99 HTTP,0.024778093602629947,RPCA,0.93849658,3,KMeans,0.65517241,0.93722369
84,Breast Cancer Diagnostic,0.028149840478785465,KMeans,0.83333333,4,KMeans,0.65517241,0.93722369
85,Speech Accent Data,0.05070320603559009,Linear,0.11764706,5,KMeans,0.65517241,0.93722369
86,Pen-Based Recognition of Handwritten Text (Local),0.09075446750783513,KMeans,0.52631579,6,KMeans,0.65517241,0.93722369
87,Pen-Based Recognition of Handwritten Text,0.09107667777571841,KMeans,0.88648649,7,KMeans,0.65517241,0.93722369
88,Object Images,0.09588443692713673,Gaussian,0.06772229,8,KMeans,0.65517241,0.93722369
89,,,,,,,,
0,,,,,K,,Method match,Accuracy
0,,,,,1.0,,0.4444444444444444,0.898651431111111
0,,,,,2.0,,0.3333333333333333,0.8546181366666666
0,,,,,3.0,,0.2222222222222222,0.8322009833333333
0,,,,,4.0,,0.5555555555555556,0.9234550233333333
0,,,,,5.0,,0.5555555555555556,0.9234550233333333
0,,,,,6.0,,0.5555555555555556,0.9234550233333333
0,,,,,7.0,,0.5555555555555556,0.9234550233333333
0,,,,,8.0,,0.5555555555555556,0.9234550233333333
0,,,,,9.0,,0.0,0.0
0,,,,,10.0,,0.0,0.0
