,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Thyroid Disease,0.5310713818237802,KMeans,0.22317597,1,KMeans,0.83333333,1.0
2,Landsat Satellite,0.621907839022061,Linear,0.71794872,2,KMeans,0.83333333,1.0
3,KDD-Cup99 HTTP,1.5886227964941946,RPCA,0.93849658,3,KMeans,0.83333333,1.0
4,Letter Recognition,1.8900991875055024,KMeans,0.44545455,4,KMeans,0.83333333,1.0
5,Speech Accent Data,1.9225267810188513,Linear,0.11764706,5,KMeans,0.83333333,1.0
6,Pen-Based Recognition of Handwritten Text,2.333141171510718,KMeans,0.88648649,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text (Local),2.4876054211821517,KMeans,0.52631579,7,KMeans,0.83333333,1.0
8,Object Images,6.645534405976347,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text (Local),0.9114024695172667,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
12,Landsat Satellite,0.9667149574721334,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
13,Breast Cancer Diagnostic,1.5886227964941946,KMeans,0.83333333,3,KMeans,0.38537271,0.4468761299999999
14,Speech Accent Data,1.7271122659894385,Linear,0.11764706,4,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,1.9734921621969113,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,2.9330263354898527,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text,3.8393914150526753,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
18,Object Images,7.2750399519392985,Gaussian,0.06772229,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,KDD-Cup99 HTTP,0.9114024695172667,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
