,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Landsat Satellite,0.004424430528779735,Linear,0.71794872,1,Linear,0.63157895,0.79824562
2,Object Images,0.03589171221629921,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878
3,KDD-Cup99 HTTP,0.05935304397177272,RPCA,0.93849658,3,Gaussian,0.73684211,0.90350878
4,Speech Accent Data,0.06150117813371839,Linear,0.11764706,4,Linear,0.63157895,0.79824562
5,Pen-Based Recognition of Handwritten Text,0.0672213380559292,KMeans,0.88648649,5,Linear,0.63157895,0.79824562
6,Thyroid Disease,0.0693713737135677,KMeans,0.22317597,6,KMeans,0.83333333,1.0
7,Letter Recognition,0.07348930350957757,KMeans,0.44545455,7,KMeans,0.83333333,1.0
8,Pen-Based Recognition of Handwritten Text (Local),0.49290203764653684,KMeans,0.52631579,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Pen-Based Recognition of Handwritten Text,0.005100396201479533,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999
12,Speech Accent Data,0.015298788880709648,Linear,0.11764706,2,KMeans,0.38537271,0.4468761299999999
13,Landsat Satellite,0.057200116301849596,Linear,0.71794872,3,Linear,0.92639843,0.98790185
14,Breast Cancer Diagnostic,0.0643470587788136,KMeans,0.83333333,4,KMeans,0.38537271,0.4468761299999999
15,Thyroid Disease,0.14777205814438285,KMeans,0.22317597,5,KMeans,0.38537271,0.4468761299999999
16,Letter Recognition,0.1972942373209876,KMeans,0.44545455,6,KMeans,0.38537271,0.4468761299999999
17,Object Images,0.22379814003574847,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999
18,Pen-Based Recognition of Handwritten Text (Local),0.6717724537884437,KMeans,0.52631579,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,Object Images,0.4768030227618181,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
22,Letter Recognition,0.5107084784734425,KMeans,0.44545455,2,Gaussian,0.01392758,0.4876117900000001
23,Thyroid Disease,0.5635369031267056,KMeans,0.22317597,3,KMeans,0.52631579,1.0
24,Breast Cancer Diagnostic,0.6452145166844863,KMeans,0.83333333,4,KMeans,0.52631579,1.0
25,Landsat Satellite,0.6529757050864451,Linear,0.71794872,5,KMeans,0.52631579,1.0
26,Speech Accent Data,0.683306754482769,Linear,0.11764706,6,KMeans,0.52631579,1.0
27,KDD-Cup99 HTTP,0.7049156412542911,RPCA,0.93849658,7,KMeans,0.52631579,1.0
28,Pen-Based Recognition of Handwritten Text,0.707555278703699,KMeans,0.88648649,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Object Images,0.03750199817296304,Gaussian,0.06772229,1,Gaussian,0.25806452,0.81260997
32,Speech Accent Data,0.058549516910624,Linear,0.11764706,2,Gaussian,0.25806452,0.81260997
33,Pen-Based Recognition of Handwritten Text (Local),0.07809685239763707,KMeans,0.52631579,3,Gaussian,0.25806452,0.81260997
34,Pen-Based Recognition of Handwritten Text,0.08844195767014924,KMeans,0.88648649,4,KMeans,0.44545455,1.0
35,Breast Cancer Diagnostic,0.14805524043091778,KMeans,0.83333333,5,KMeans,0.44545455,1.0
36,Thyroid Disease,0.15495472784263897,KMeans,0.22317597,6,KMeans,0.44545455,1.0
37,KDD-Cup99 HTTP,0.21190057860256223,RPCA,0.93849658,7,KMeans,0.44545455,1.0
38,Landsat Satellite,0.24750596728837682,Linear,0.71794872,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Letter Recognition,0.010733191524917387,KMeans,0.44545455,1,KMeans,0.22317597,1.0
42,Breast Cancer Diagnostic,0.02008861943534341,KMeans,0.83333333,2,KMeans,0.22317597,1.0
43,Landsat Satellite,0.029714057820438854,Linear,0.71794872,3,KMeans,0.22317597,1.0
44,Object Images,0.03791765063721581,Gaussian,0.06772229,4,KMeans,0.22317597,1.0
45,Pen-Based Recognition of Handwritten Text,0.11434836621767701,KMeans,0.88648649,5,KMeans,0.22317597,1.0
46,KDD-Cup99 HTTP,0.13746794547050054,RPCA,0.93849658,6,KMeans,0.22317597,1.0
