,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1
1,Speech Accent Data,0.04399579733651432,Linear,0.11764706,1,Linear,0.63157895,0.79824562
2,Thyroid Disease,0.09509433299796893,KMeans,0.22317597,2,KMeans,0.83333333,1.0
3,Landsat Satellite,0.39291224185941764,Linear,0.71794872,3,Linear,0.63157895,0.79824562
4,Letter Recognition,0.5643447552158201,KMeans,0.44545455,4,KMeans,0.83333333,1.0
5,KDD-Cup99 HTTP,0.7816757308101238,RPCA,0.93849658,5,KMeans,0.83333333,1.0
6,Pen-Based Recognition of Handwritten Text (Local),1.2748618499195967,KMeans,0.52631579,6,KMeans,0.83333333,1.0
7,Pen-Based Recognition of Handwritten Text,1.8477461751819029,KMeans,0.88648649,7,KMeans,0.83333333,1.0
8,Object Images,3.98869676509527,Gaussian,0.06772229,8,KMeans,0.83333333,1.0
9,,,,,,,,
10,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
11,Letter Recognition,0.2173309755943037,KMeans,0.44545455,1,KMeans,0.38537271,0.4468761299999999
12,Landsat Satellite,0.3887634889507061,Linear,0.71794872,2,KMeans,0.38537271,0.4468761299999999
13,Pen-Based Recognition of Handwritten Text (Local),0.49318611910947296,KMeans,0.52631579,3,KMeans,0.38537271,0.4468761299999999
14,Speech Accent Data,0.7376799334736095,Linear,0.11764706,4,KMeans,0.38537271,0.4468761299999999
15,Breast Cancer Diagnostic,0.7816757308101238,KMeans,0.83333333,5,KMeans,0.38537271,0.4468761299999999
16,Thyroid Disease,0.8767700638080926,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999
17,Pen-Based Recognition of Handwritten Text,1.0660704443717792,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999
18,Object Images,3.207021034285146,Gaussian,0.06772229,8,KMeans,0.38537271,0.4468761299999999
19,,,,,,,,
20,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
21,KDD-Cup99 HTTP,0.49318611910947296,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
22,Pen-Based Recognition of Handwritten Text,0.5728843252623061,KMeans,0.88648649,2,KMeans,0.52631579,1.0
23,Letter Recognition,0.7105170947037767,KMeans,0.44545455,3,KMeans,0.52631579,1.0
24,Landsat Satellite,0.8819496080601791,Linear,0.71794872,4,KMeans,0.52631579,1.0
25,Speech Accent Data,1.2308660525830823,Linear,0.11764706,5,KMeans,0.52631579,1.0
26,Breast Cancer Diagnostic,1.2748618499195967,KMeans,0.83333333,6,KMeans,0.52631579,1.0
27,Thyroid Disease,1.3699561829175657,KMeans,0.22317597,7,KMeans,0.52631579,1.0
28,Object Images,2.713834915175673,Gaussian,0.06772229,8,KMeans,0.52631579,1.0
29,,,,,,,,
30,Letter Recognition,0,KMeans,0.44545455,0,KMeans,0.44545455,1
31,Landsat Satellite,0.17143251335640242,Linear,0.71794872,1,Linear,0.22222222,0.77676767
32,KDD-Cup99 HTTP,0.2173309755943037,RPCA,0.93849658,2,Linear,0.22222222,0.77676767
33,Speech Accent Data,0.5203489578793057,Linear,0.11764706,3,Linear,0.22222222,0.77676767
34,Breast Cancer Diagnostic,0.5643447552158201,KMeans,0.83333333,4,Linear,0.22222222,0.77676767
35,Thyroid Disease,0.659439088213789,KMeans,0.22317597,5,KMeans,0.44545455,1.0
36,Pen-Based Recognition of Handwritten Text (Local),0.7105170947037767,KMeans,0.52631579,6,KMeans,0.44545455,1.0
37,Pen-Based Recognition of Handwritten Text,1.2834014199660828,KMeans,0.88648649,7,KMeans,0.44545455,1.0
38,Object Images,3.4243520098794495,Gaussian,0.06772229,8,KMeans,0.44545455,1.0
39,,,,,,,,
40,Thyroid Disease,0,KMeans,0.22317597,0,KMeans,0.22317597,1
41,Breast Cancer Diagnostic,0.09509433299796893,KMeans,0.83333333,1,KMeans,0.22317597,1.0
42,Speech Accent Data,0.13909013033448325,Linear,0.11764706,2,KMeans,0.22317597,1.0
43,Landsat Satellite,0.4880065748573866,Linear,0.71794872,3,Linear,0.19112628,0.96795031
44,Letter Recognition,0.659439088213789,KMeans,0.44545455,4,KMeans,0.22317597,1.0
45,KDD-Cup99 HTTP,0.8767700638080926,RPCA,0.93849658,5,KMeans,0.22317597,1.0
46,Pen-Based Recognition of Handwritten Text (Local),1.3699561829175657,KMeans,0.52631579,6,KMeans,0.22317597,1.0
47,Pen-Based Recognition of Handwritten Text,1.9428405081798719,KMeans,0.88648649,7,KMeans,0.22317597,1.0
48,Object Images,4.083791098093238,Gaussian,0.06772229,8,KMeans,0.22317597,1.0
49,,,,,,,,
50,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
51,Pen-Based Recognition of Handwritten Text,2.1409505899133667,KMeans,0.88648649,1,KMeans,0.05851859,0.9907963
52,Pen-Based Recognition of Handwritten Text (Local),2.713834915175673,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
53,KDD-Cup99 HTTP,3.207021034285146,RPCA,0.93849658,3,KMeans,0.05851859,0.9907963
54,Letter Recognition,3.4243520098794495,KMeans,0.44545455,4,KMeans,0.05851859,0.9907963
55,Landsat Satellite,3.595784523235852,Linear,0.71794872,5,KMeans,0.05851859,0.9907963
56,Speech Accent Data,3.9447009677587554,Linear,0.11764706,6,KMeans,0.05851859,0.9907963
