,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,2.3630392e+19,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Thyroid Disease,2.76717e+19,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,2.193397e+20,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,2.739781e+20,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,Letter Recognition,6.879905e+20,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.0
6,KDD-Cup99 HTTP,8.2931036e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.0
7,Pen-Based Recognition of Handwritten Text (Local),8.4069525e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.0
8,Pen-Based Recognition of Handwritten Text,5.1495414e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.0
9,,,,,,,,,
10,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
11,Object Images,3.0589891e+19,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
12,Thyroid Disease,3.46312e+19,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
13,Speech Accent Data,2.1238019e+20,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.1
14,Landsat Satellite,2.6701862e+20,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.1
15,Letter Recognition,6.8103096e+20,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.1
16,KDD-Cup99 HTTP,8.223508e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.1
17,Pen-Based Recognition of Handwritten Text (Local),8.337357e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.1
18,Pen-Based Recognition of Handwritten Text,5.1425816e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.1
19,,,,,,,,,
20,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
21,Object Images,4.8233877e+19,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.2
22,Thyroid Disease,5.2275185e+19,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.2
23,Speech Accent Data,1.947362e+20,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.2
24,Landsat Satellite,2.4937462e+20,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.2
25,Letter Recognition,6.63387e+20,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.2
26,KDD-Cup99 HTTP,8.0470684e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.2
27,Pen-Based Recognition of Handwritten Text (Local),8.160917e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.2
28,Pen-Based Recognition of Handwritten Text,5.1249376e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.2
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Object Images,8.80772e+19,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.30000000000000004
32,Thyroid Disease,9.21185e+19,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.30000000000000004
33,Speech Accent Data,1.5489288e+20,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.30000000000000004
34,Landsat Satellite,2.0953131e+20,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.30000000000000004
35,Letter Recognition,6.235436e+20,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.30000000000000004
36,KDD-Cup99 HTTP,7.648635e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.30000000000000004
37,Pen-Based Recognition of Handwritten Text (Local),7.7624845e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.30000000000000004
38,Pen-Based Recognition of Handwritten Text,5.085094e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.30000000000000004
39,,,,,,,,,
40,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
41,Speech Accent Data,6.120909e+19,Linear,0.11764706,1,Linear,0.63157895,0.79824562,0.4
42,Landsat Satellite,1.1584752e+20,Linear,0.71794872,2,Linear,0.63157895,0.79824562,0.4
43,Object Images,1.8176099e+20,Gaussian,0.06772229,3,Linear,0.63157895,0.79824562,0.4
44,Thyroid Disease,1.858023e+20,KMeans,0.22317597,4,Linear,0.63157895,0.79824562,0.4
45,Letter Recognition,5.298599e+20,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.4
46,KDD-Cup99 HTTP,6.7117976e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.4
47,Pen-Based Recognition of Handwritten Text (Local),6.8256464e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.4
48,Pen-Based Recognition of Handwritten Text,4.9914104e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.4
49,,,,,,,,,
50,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
51,Landsat Satellite,1.2324132e+20,Linear,0.71794872,1,Linear,0.63157895,0.79824562,0.5
52,Speech Accent Data,1.7787975e+20,Linear,0.11764706,2,Linear,0.63157895,0.79824562,0.5
53,Letter Recognition,2.9077104e+20,KMeans,0.44545455,3,Linear,0.63157895,0.79824562,0.5
54,Object Images,4.208498e+20,Gaussian,0.06772229,4,Linear,0.63157895,0.79824562,0.5
55,Thyroid Disease,4.2489112e+20,KMeans,0.22317597,5,KMeans,0.83333333,1.0,0.5
56,KDD-Cup99 HTTP,4.320909e+20,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.5
57,Pen-Based Recognition of Handwritten Text (Local),4.434758e+20,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.5
58,Pen-Based Recognition of Handwritten Text,4.7523216e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.5
59,,,,,,,,,
60,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
61,Pen-Based Recognition of Handwritten Text (Local),2.2788566e+20,KMeans,0.52631579,1,KMeans,0.83333333,1.0,0.6000000000000001
62,KDD-Cup99 HTTP,2.3927055e+20,RPCA,0.93849658,2,KMeans,0.83333333,1.0,0.6000000000000001
63,Letter Recognition,3.805904e+20,KMeans,0.44545455,3,KMeans,0.83333333,1.0,0.6000000000000001
64,Landsat Satellite,7.946027e+20,Linear,0.71794872,4,KMeans,0.83333333,1.0,0.6000000000000001
65,Speech Accent Data,8.492412e+20,Linear,0.11764706,5,KMeans,0.83333333,1.0,0.6000000000000001
66,Object Images,1.0922113e+21,Gaussian,0.06772229,6,KMeans,0.83333333,1.0,0.6000000000000001
67,Thyroid Disease,1.0962526e+21,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.6000000000000001
68,Pen-Based Recognition of Handwritten Text,4.0809604e+21,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.6000000000000001
69,,,,,,,,,
70,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
