,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Letter Recognition,1.0772370864267635,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.0
2,Pen-Based Recognition of Handwritten Text,2.568259159750639,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.0
3,Speech Accent Data,2.8656654223899523,Linear,0.11764706,3,KMeans,0.83333333,1.0,0.0
4,Pen-Based Recognition of Handwritten Text (Local),2.9526771870653246,KMeans,0.52631579,4,KMeans,0.83333333,1.0,0.0
5,Landsat Satellite,3.7465758107215925,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.0
6,KDD-Cup99 HTTP,3.844906585600772,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.0
7,Thyroid Disease,3.997777506508047,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.0
8,Object Images,4.269987839672008,Gaussian,0.06772229,8,KMeans,0.83333333,1.0,0.0
9,,,,,,,,,
10,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
11,Letter Recognition,1.0880243026837062,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.1
12,Pen-Based Recognition of Handwritten Text,2.57280241264272,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.1
13,Speech Accent Data,3.007556392811035,Linear,0.11764706,3,KMeans,0.83333333,1.0,0.1
14,Pen-Based Recognition of Handwritten Text (Local),3.090575951804637,KMeans,0.52631579,4,KMeans,0.83333333,1.0,0.1
15,Landsat Satellite,3.889386880407265,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.1
16,KDD-Cup99 HTTP,3.9059779562682286,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.1
17,Thyroid Disease,4.032706906228333,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.1
18,Object Images,4.366480653089392,Gaussian,0.06772229,8,KMeans,0.83333333,1.0,0.1
19,,,,,,,,,
20,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
21,Letter Recognition,1.183054049158518,KMeans,0.44545455,1,KMeans,0.83333333,1.0,0.2
22,Pen-Based Recognition of Handwritten Text,2.6144085859903767,KMeans,0.88648649,2,KMeans,0.83333333,1.0,0.2
23,Speech Accent Data,3.3231333791977904,Linear,0.11764706,3,KMeans,0.83333333,1.0,0.2
24,Pen-Based Recognition of Handwritten Text (Local),3.3984525469503235,KMeans,0.52631579,4,KMeans,0.83333333,1.0,0.2
25,KDD-Cup99 HTTP,4.057398648746919,RPCA,0.93849658,5,KMeans,0.83333333,1.0,0.2
26,Thyroid Disease,4.128469362518751,KMeans,0.22317597,6,KMeans,0.83333333,1.0,0.2
