,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.0
2,,,,,,,,,
3,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
4,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.1
5,,,,,,,,,
6,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
7,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.2
8,,,,,,,,,
9,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
10,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.30000000000000004
11,,,,,,,,,
12,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
13,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.4
14,,,,,,,,,
15,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
16,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.5
17,,,,,,,,,
18,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
19,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.6000000000000001
20,,,,,,,,,
21,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
22,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.7000000000000001
23,,,,,,,,,
24,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
25,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.8
26,,,,,,,,,
27,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
28,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,0.9
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,KDD-Cup99 HTTP,0.0,RPCA,0.93849658,1,RPCA,0.73684211,0.90350878,1.0
32,,,,,,,,,
33,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
