,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,57158054.68314234,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Thyroid Disease,66866478.174063906,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,529624887.1846316,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,661445307.4586165,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,Letter Recognition,1661348067.3795333,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.0
6,KDD-Cup99 HTTP,2003223033.048661,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.0
7,Pen-Based Recognition of Handwritten Text (Local),2030226435.7259336,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.0
8,Pen-Based Recognition of Handwritten Text,12436273355.116257,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.0
9,,,,,,,,,
10,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
11,Object Images,32091380.59510584,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
12,Thyroid Disease,36286941.87905779,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
13,Speech Accent Data,222301000.68237883,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.1
14,Landsat Satellite,279410414.713735,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.1
15,Letter Recognition,712989764.9602262,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.1
16,KDD-Cup99 HTTP,861262014.5248474,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.1
17,Pen-Based Recognition of Handwritten Text (Local),872863520.9349012,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.1
18,Pen-Based Recognition of Handwritten Text,5384470711.0471325,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.1
19,,,,,,,,,
20,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
21,Object Images,176994056.60646105,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.2
22,Thyroid Disease,191776011.4842369,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.2
23,Speech Accent Data,714538328.754898,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.2
24,Landsat Satellite,914849353.6283915,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.2
25,Letter Recognition,2434157346.011263,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.2
26,KDD-Cup99 HTTP,2953075765.9643726,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.2
27,Pen-Based Recognition of Handwritten Text (Local),2994444630.651191,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.2
28,Pen-Based Recognition of Handwritten Text,18804735177.157166,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.2
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Object Images,237930138.94295743,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.30000000000000004
32,Thyroid Disease,248842477.3587231,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.30000000000000004
33,Speech Accent Data,418347324.56493735,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.30000000000000004
34,Landsat Satellite,565916376.2740211,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.30000000000000004
35,Letter Recognition,1684281927.991513,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.30000000000000004
36,KDD-Cup99 HTTP,2065828507.1102154,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.30000000000000004
37,Pen-Based Recognition of Handwritten Text (Local),2096739098.4328296,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.30000000000000004
38,Pen-Based Recognition of Handwritten Text,13735899644.076105,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.30000000000000004
39,,,,,,,,,
40,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
41,Speech Accent Data,155233101.27297318,Linear,0.11764706,1,Linear,0.63157895,0.79824562,0.4
42,Landsat Satellite,293894153.95220757,Linear,0.71794872,2,Linear,0.63157895,0.79824562,0.4
43,Object Images,461486014.69429076,Gaussian,0.06772229,3,Linear,0.63157895,0.79824562,0.4
44,Thyroid Disease,471712362.8175632,KMeans,0.22317597,4,Linear,0.63157895,0.79824562,0.4
45,Letter Recognition,1344952507.72071,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.4
46,KDD-Cup99 HTTP,1704076186.3078008,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.4
47,Pen-Based Recognition of Handwritten Text (Local),1732453774.7842093,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.4
48,Pen-Based Recognition of Handwritten Text,12670528436.525518,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.4
49,,,,,,,,,
50,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
51,Landsat Satellite,100090319.12222531,Linear,0.71794872,1,Linear,0.63157895,0.79824562,0.5
52,Speech Accent Data,144420574.26421314,Linear,0.11764706,2,Linear,0.63157895,0.79824562,0.5
53,Letter Recognition,235824381.93552655,KMeans,0.44545455,3,Linear,0.63157895,0.79824562,0.5
54,Object Images,341511198.7553217,Gaussian,0.06772229,4,Linear,0.63157895,0.79824562,0.5
55,Thyroid Disease,344782619.5767669,KMeans,0.22317597,5,KMeans,0.83333333,1.0,0.5
56,KDD-Cup99 HTTP,350695499.3371591,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.5
57,Pen-Based Recognition of Handwritten Text (Local),359678520.41644984,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.5
58,Pen-Based Recognition of Handwritten Text,3855672708.572961,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.5
59,,,,,,,,,
60,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
61,Pen-Based Recognition of Handwritten Text (Local),1242457517.3229418,KMeans,0.52631579,1,KMeans,0.83333333,1.0,0.6000000000000001
62,KDD-Cup99 HTTP,1305110058.3723402,RPCA,0.93849658,2,KMeans,0.83333333,1.0,0.6000000000000001
63,Letter Recognition,2075380306.4673524,KMeans,0.44545455,3,KMeans,0.83333333,1.0,0.6000000000000001
64,Landsat Satellite,4333054647.074533,Linear,0.71794872,4,KMeans,0.83333333,1.0,0.6000000000000001
65,Speech Accent Data,4630985227.70175,Linear,0.11764706,5,KMeans,0.83333333,1.0,0.6000000000000001
66,Object Images,5956068308.683037,Gaussian,0.06772229,6,KMeans,0.83333333,1.0,0.6000000000000001
67,Thyroid Disease,5978123573.147173,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.6000000000000001
68,Pen-Based Recognition of Handwritten Text,22254770062.584496,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.6000000000000001
69,,,,,,,,,
70,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
71,Pen-Based Recognition of Handwritten Text,7155833831.126617,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.7000000000000001
72,Pen-Based Recognition of Handwritten Text (Local),8270483276.146395,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.7000000000000001
73,KDD-Cup99 HTTP,8311562081.661468,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.7000000000000001
74,Letter Recognition,8817192287.245354,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.7000000000000001
75,Landsat Satellite,10299376350.890491,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.7000000000000001
76,Speech Accent Data,10495041482.737337,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.7000000000000001
77,Object Images,11364932320.364656,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.7000000000000001
78,Thyroid Disease,11379406692.594957,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.7000000000000001
79,,,,,,,,,
80,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
81,Pen-Based Recognition of Handwritten Text,18248054434.92602,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.8
82,Pen-Based Recognition of Handwritten Text (Local),33565071107.264153,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.8
83,KDD-Cup99 HTTP,33605161334.21337,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.8
84,Letter Recognition,34107765890.715935,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.8
85,Landsat Satellite,35579555970.01451,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.8
86,Speech Accent Data,35773771640.54321,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.8
87,Object Images,36637415029.07819,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.8
88,Thyroid Disease,36651780169.61265,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.8
89,,,,,,,,,
90,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
91,Pen-Based Recognition of Handwritten Text,113048923264.07059,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.9
92,Pen-Based Recognition of Handwritten Text (Local),128244423893.6314,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.9
93,KDD-Cup99 HTTP,128284934217.56801,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.9
94,Letter Recognition,128782602231.53513,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.9
95,Landsat Satellite,130242685103.39375,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.9
96,Speech Accent Data,130435540122.26317,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.9
97,Object Images,131292268066.29143,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.9
98,Thyroid Disease,131306581817.24895,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.9
99,,,,,,,,,
100,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
101,Pen-Based Recognition of Handwritten Text,317481720148.7725,KMeans,0.88648649,1,KMeans,0.83333333,1.0,1.0
102,Pen-Based Recognition of Handwritten Text (Local),326996115495.6737,KMeans,0.52631579,2,KMeans,0.83333333,1.0,1.0
103,KDD-Cup99 HTTP,327020966989.38104,RPCA,0.93849658,3,KMeans,0.83333333,1.0,1.0
104,Letter Recognition,327333237840.33496,KMeans,0.44545455,4,KMeans,0.83333333,1.0,1.0
105,Landsat Satellite,328247486562.8119,Linear,0.71794872,5,KMeans,0.83333333,1.0,1.0
106,Speech Accent Data,328368100679.3577,Linear,0.11764706,6,KMeans,0.83333333,1.0,1.0
107,Object Images,328904588775.3463,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,1.0
108,Thyroid Disease,328913484196.0023,KMeans,0.22317597,8,KMeans,0.83333333,1.0,1.0
109,,,,,,,,,
110,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
111,Pen-Based Recognition of Handwritten Text (Local),36538252.615470886,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999,0.0
112,Letter Recognition,447579794.773334,KMeans,0.44545455,2,KMeans,0.38537271,0.4468761299999999,0.0
113,Landsat Satellite,1760195258.8307145,Linear,0.71794872,3,KMeans,0.38537271,0.4468761299999999,0.0
114,Speech Accent Data,1933337337.432507,Linear,0.11764706,4,KMeans,0.38537271,0.4468761299999999,0.0
115,Object Images,2703646433.499191,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999,0.0
116,Thyroid Disease,2716483984.9645233,KMeans,0.22317597,6,KMeans,0.38537271,0.4468761299999999,0.0
117,Pen-Based Recognition of Handwritten Text,13696578695.491726,KMeans,0.88648649,7,KMeans,0.38537271,0.4468761299999999,0.0
118,Breast Cancer Diagnostic,469509219829.3962,KMeans,0.83333333,8,KMeans,0.38537271,0.4468761299999999,0.0
119,,,,,,,,,
