,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,404.0906255325452,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Thyroid Disease,1207.5990465142431,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,1508.5743111736238,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,1753.774305977634,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,KDD-Cup99 HTTP,3510.9727602215025,RPCA,0.93849658,5,Linear,0.63157895,0.79824562,0.0
6,Pen-Based Recognition of Handwritten Text (Local),3538.4899937252835,KMeans,0.52631579,6,KMeans,0.83333333,1.0,0.0
7,Letter Recognition,4842.107919131678,KMeans,0.44545455,7,KMeans,0.83333333,1.0,0.0
8,Pen-Based Recognition of Handwritten Text,11544.151396663305,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.0
9,,,,,,,,,
10,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
11,Object Images,489.56860266729126,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
12,Thyroid Disease,1293.0770236489893,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
13,Speech Accent Data,1423.0963340388776,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.1
14,Landsat Satellite,1668.2963288428878,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.1
15,KDD-Cup99 HTTP,3425.4947830867563,RPCA,0.93849658,5,Linear,0.63157895,0.79824562,0.1
16,Pen-Based Recognition of Handwritten Text (Local),3453.0120165905373,KMeans,0.52631579,6,KMeans,0.83333333,1.0,0.1
17,Letter Recognition,4927.585896266423,KMeans,0.44545455,7,KMeans,0.83333333,1.0,0.1
18,Pen-Based Recognition of Handwritten Text,11629.62937379805,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.1
19,,,,,,,,,
20,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
21,Object Images,677.6201523637325,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.2
22,Speech Accent Data,1235.0447843424363,Linear,0.11764706,2,Gaussian,0.73684211,0.90350878,0.2
23,Landsat Satellite,1480.2447791464465,Linear,0.71794872,3,Linear,0.63157895,0.79824562,0.2
24,Thyroid Disease,1481.1285733454306,KMeans,0.22317597,4,Linear,0.63157895,0.79824562,0.2
25,KDD-Cup99 HTTP,3237.443233390315,RPCA,0.93849658,5,Linear,0.63157895,0.79824562,0.2
26,Pen-Based Recognition of Handwritten Text (Local),3264.960466894096,KMeans,0.52631579,6,KMeans,0.83333333,1.0,0.2
27,Letter Recognition,5115.637445962864,KMeans,0.44545455,7,KMeans,0.83333333,1.0,0.2
28,Pen-Based Recognition of Handwritten Text,11817.680923494492,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.2
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Speech Accent Data,896.5519948888418,Linear,0.11764706,1,Linear,0.63157895,0.79824562,0.30000000000000004
32,Object Images,1016.1129418173269,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.30000000000000004
33,Landsat Satellite,1141.751989692852,Linear,0.71794872,3,Linear,0.63157895,0.79824562,0.30000000000000004
