,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy,Change
0,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
1,Object Images,1783965.5521980603,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.0
2,Thyroid Disease,2281393.238264775,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.0
3,Speech Accent Data,6762847.819667656,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.0
4,Landsat Satellite,7854193.342460962,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.0
5,Letter Recognition,14080593.27361347,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.0
6,KDD-Cup99 HTTP,15758236.648673652,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.0
7,Pen-Based Recognition of Handwritten Text (Local),15887181.659934686,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.0
8,Pen-Based Recognition of Handwritten Text,44205825.87640027,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.0
9,,,,,,,,,
10,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
11,Object Images,2168183.2840240826,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.1
12,Thyroid Disease,2665610.9700868195,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.1
13,Speech Accent Data,6378630.087839232,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.1
14,Landsat Satellite,7469975.610630703,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.1
15,Letter Recognition,13696375.541784279,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.1
16,KDD-Cup99 HTTP,15374018.916843217,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.1
17,Pen-Based Recognition of Handwritten Text (Local),15502963.928106148,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.1
18,Pen-Based Recognition of Handwritten Text,43821608.14457085,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.1
19,,,,,,,,,
20,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
21,Object Images,3013462.2940352294,Gaussian,0.06772229,1,Gaussian,0.73684211,0.90350878,0.2
22,Thyroid Disease,3510889.980087704,KMeans,0.22317597,2,Gaussian,0.73684211,0.90350878,0.2
23,Speech Accent Data,5533351.077821956,Linear,0.11764706,3,Gaussian,0.73684211,0.90350878,0.2
24,Landsat Satellite,6624696.600608802,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.2
25,Letter Recognition,12851096.531765115,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.2
26,KDD-Cup99 HTTP,14528739.906820893,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.2
27,Pen-Based Recognition of Handwritten Text (Local),14657684.918088634,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.2
28,Pen-Based Recognition of Handwritten Text,42976329.13455118,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.2
29,,,,,,,,,
30,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
31,Speech Accent Data,4011848.8598072818,Linear,0.11764706,1,Linear,0.63157895,0.79824562,0.30000000000000004
32,Object Images,4534964.512035538,Gaussian,0.06772229,2,Gaussian,0.73684211,0.90350878,0.30000000000000004
33,Thyroid Disease,5032392.198064406,KMeans,0.22317597,3,Gaussian,0.73684211,0.90350878,0.30000000000000004
34,Landsat Satellite,5103194.38258377,Linear,0.71794872,4,Linear,0.63157895,0.79824562,0.30000000000000004
35,Letter Recognition,11329594.313746318,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.30000000000000004
36,KDD-Cup99 HTTP,13007237.688795026,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.30000000000000004
37,Pen-Based Recognition of Handwritten Text (Local),13136182.700073563,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.30000000000000004
38,Pen-Based Recognition of Handwritten Text,41454826.91653145,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.30000000000000004
39,,,,,,,,,
40,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
41,Speech Accent Data,1374578.34862658,Linear,0.11764706,1,Linear,0.63157895,0.79824562,0.4
42,Landsat Satellite,2465923.871379113,Linear,0.71794872,2,Linear,0.63157895,0.79824562,0.4
43,Object Images,7172235.0231800135,Gaussian,0.06772229,3,Linear,0.63157895,0.79824562,0.4
44,Thyroid Disease,7669662.709152972,KMeans,0.22317597,4,Linear,0.63157895,0.79824562,0.4
45,Letter Recognition,8692323.802556412,KMeans,0.44545455,5,KMeans,0.83333333,1.0,0.4
46,KDD-Cup99 HTTP,10369967.1775887,RPCA,0.93849658,6,KMeans,0.83333333,1.0,0.4
47,Pen-Based Recognition of Handwritten Text (Local),10498912.188892333,KMeans,0.52631579,7,KMeans,0.83333333,1.0,0.4
48,Pen-Based Recognition of Handwritten Text,38817556.40533989,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.4
49,,,,,,,,,
50,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
51,Landsat Satellite,2149299.523125313,Linear,0.71794872,1,Linear,0.63157895,0.79824562,0.5
52,Speech Accent Data,3240645.045818839,Linear,0.11764706,2,Linear,0.63157895,0.79824562,0.5
53,Letter Recognition,4077100.408089442,KMeans,0.44545455,3,Linear,0.63157895,0.79824562,0.5
54,KDD-Cup99 HTTP,5754743.783081165,RPCA,0.93849658,4,Linear,0.63157895,0.79824562,0.5
55,Pen-Based Recognition of Handwritten Text (Local),5883688.794446981,KMeans,0.52631579,5,KMeans,0.83333333,1.0,0.5
56,Object Images,11787458.417525833,Gaussian,0.06772229,6,KMeans,0.83333333,1.0,0.5
57,Thyroid Disease,12284886.10335858,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.5
58,Pen-Based Recognition of Handwritten Text,34202333.01087035,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.5
59,,,,,,,,,
60,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
61,Pen-Based Recognition of Handwritten Text (Local),2423713.31523899,KMeans,0.52631579,1,KMeans,0.83333333,1.0,0.6000000000000001
62,KDD-Cup99 HTTP,2552658.3267664537,RPCA,0.93849658,2,KMeans,0.83333333,1.0,0.6000000000000001
63,Letter Recognition,4230301.701652966,KMeans,0.44545455,3,KMeans,0.83333333,1.0,0.6000000000000001
64,Landsat Satellite,10456701.632965483,Linear,0.71794872,4,KMeans,0.83333333,1.0,0.6000000000000001
65,Speech Accent Data,11548047.155505093,Linear,0.11764706,5,KMeans,0.83333333,1.0,0.6000000000000001
66,Object Images,20094860.5269396,Gaussian,0.06772229,6,KMeans,0.83333333,1.0,0.6000000000000001
67,Thyroid Disease,20592288.212405983,KMeans,0.22317597,7,KMeans,0.83333333,1.0,0.6000000000000001
68,Pen-Based Recognition of Handwritten Text,25894930.901124913,KMeans,0.88648649,8,KMeans,0.83333333,1.0,0.6000000000000001
69,,,,,,,,,
70,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
71,Pen-Based Recognition of Handwritten Text,10387780.318004996,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.7000000000000001
72,Pen-Based Recognition of Handwritten Text (Local),17930863.89690651,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.7000000000000001
73,KDD-Cup99 HTTP,18059808.91258041,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.7000000000000001
74,Letter Recognition,19737452.28476834,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.7000000000000001
75,Landsat Satellite,25963852.218580928,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.7000000000000001
76,Speech Accent Data,27055197.737171218,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.7000000000000001
77,Object Images,35602011.10168156,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.7000000000000001
78,Thyroid Disease,36099394.222501874,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.7000000000000001
79,,,,,,,,,
80,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
81,Pen-Based Recognition of Handwritten Text,19740398.00308244,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.8
82,Pen-Based Recognition of Handwritten Text (Local),48059042.21797584,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.8
83,KDD-Cup99 HTTP,48187987.2336846,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.8
84,Letter Recognition,49865630.60584954,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.8
85,Landsat Satellite,56092030.53968038,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.8
86,Speech Accent Data,57183376.058236465,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.8
87,Object Images,65730189.42266196,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.8
88,Thyroid Disease,66227563.57726731,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.8
89,,,,,,,,,
90,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
91,Pen-Based Recognition of Handwritten Text,80749959.103466,KMeans,0.88648649,1,KMeans,0.83333333,1.0,0.9
92,Pen-Based Recognition of Handwritten Text (Local),109068603.31834295,KMeans,0.52631579,2,KMeans,0.83333333,1.0,0.9
93,KDD-Cup99 HTTP,109197548.33408639,RPCA,0.93849658,3,KMeans,0.83333333,1.0,0.9
94,Letter Recognition,110875191.7062282,KMeans,0.44545455,4,KMeans,0.83333333,1.0,0.9
95,Landsat Satellite,117101591.64007603,Linear,0.71794872,5,KMeans,0.83333333,1.0,0.9
96,Speech Accent Data,118192937.1585978,Linear,0.11764706,6,KMeans,0.83333333,1.0,0.9
97,Object Images,126739750.52293648,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,0.9
98,Thyroid Disease,127237155.17677963,KMeans,0.22317597,8,KMeans,0.83333333,1.0,0.9
99,,,,,,,,,
100,Breast Cancer Diagnostic,0,KMeans,0.83333333,0,KMeans,0.83333333,1,
101,Pen-Based Recognition of Handwritten Text,209547921.42679822,KMeans,0.88648649,1,KMeans,0.83333333,1.0,1.0
102,Pen-Based Recognition of Handwritten Text (Local),237866565.6416731,KMeans,0.52631579,2,KMeans,0.83333333,1.0,1.0
103,KDD-Cup99 HTTP,237995510.6574337,RPCA,0.93849658,3,KMeans,0.83333333,1.0,1.0
104,Letter Recognition,239673154.02955776,KMeans,0.44545455,4,KMeans,0.83333333,1.0,1.0
105,Landsat Satellite,245899553.96341187,Linear,0.71794872,5,KMeans,0.83333333,1.0,1.0
106,Speech Accent Data,246990899.48192394,Linear,0.11764706,6,KMeans,0.83333333,1.0,1.0
107,Object Images,255537713.18478975,Gaussian,0.06772229,7,KMeans,0.83333333,1.0,1.0
108,Thyroid Disease,256038777.26775774,KMeans,0.22317597,8,KMeans,0.83333333,1.0,1.0
109,,,,,,,,,
110,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
111,Pen-Based Recognition of Handwritten Text,209547921.42679822,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999,0.0
112,Pen-Based Recognition of Handwritten Text (Local),237866565.6416731,KMeans,0.52631579,2,KMeans,0.38537271,0.4468761299999999,0.0
113,KDD-Cup99 HTTP,237995510.6574337,RPCA,0.93849658,3,KMeans,0.38537271,0.4468761299999999,0.0
114,Letter Recognition,239673154.02955776,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999,0.0
115,Landsat Satellite,245899553.96341187,Linear,0.71794872,5,KMeans,0.38537271,0.4468761299999999,0.0
116,Speech Accent Data,246990899.48192394,Linear,0.11764706,6,KMeans,0.38537271,0.4468761299999999,0.0
117,Object Images,255537713.18478975,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999,0.0
118,Thyroid Disease,256038777.26775774,KMeans,0.22317597,8,KMeans,0.38537271,0.4468761299999999,0.0
119,,,,,,,,,
120,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
121,Pen-Based Recognition of Handwritten Text,209547921.42679846,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999,0.1
122,KDD-Cup99 HTTP,236035469.2584838,RPCA,0.93849658,2,KMeans,0.38537271,0.4468761299999999,0.1
123,Pen-Based Recognition of Handwritten Text (Local),237866565.6416744,KMeans,0.52631579,3,KMeans,0.38537271,0.4468761299999999,0.1
124,Letter Recognition,239673154.0295581,KMeans,0.44545455,4,KMeans,0.38537271,0.4468761299999999,0.1
125,Landsat Satellite,245899553.96341172,Linear,0.71794872,5,KMeans,0.38537271,0.4468761299999999,0.1
126,Speech Accent Data,246990899.48192516,Linear,0.11764706,6,KMeans,0.38537271,0.4468761299999999,0.1
127,Object Images,255537713.47397044,Gaussian,0.06772229,7,KMeans,0.38537271,0.4468761299999999,0.1
128,Thyroid Disease,256042256.49956536,KMeans,0.22317597,8,KMeans,0.38537271,0.4468761299999999,0.1
129,,,,,,,,,
130,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1,
131,Pen-Based Recognition of Handwritten Text,209547921.42679894,KMeans,0.88648649,1,KMeans,0.38537271,0.4468761299999999,0.2
