,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,3.8738074,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,Landsat Satellite,4.8969555,Linear,0.71794872,2,Linear,0.92639843,0.98790185
3,Object Images,5.2893934,Gaussian,0.06772229,3,Linear,0.92639843,0.98790185
4,ec2_cpu_utilization_c6585a.csv,5.587104,Linear,0.0,4,Linear,0.92639843,0.98790185
5,Pen-Based Recognition of Handwritten Text (Local),6.4950314,KMeans,0.52631579,5,Linear,0.92639843,0.98790185
6,ambient_temperature_system_failure.csv,6.6228266,KMeans,0.8,6,Linear,0.92639843,0.98790185
7,art_increase_spike_density.csv,7.195515,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,nyc_taxi.csv,7.352831,Linear,0.25,8,Linear,0.92639843,0.98790185
9,rogue_agent_key_updown.csv,7.851032,Gaussian,0.00083455,9,Linear,0.92639843,0.98790185
10,art_daily_flatmiddle.csv,7.8851366,KMeans,0.02,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,3.7655993,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,Landsat Satellite,4.7856364,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
15,Object Images,5.1894326,Gaussian,0.06772229,3,Linear,0.02505219,0.4987364000000001
16,ec2_cpu_utilization_c6585a.csv,5.499054,Linear,0.0,4,Linear,0.02505219,0.4987364000000001
17,Pen-Based Recognition of Handwritten Text (Local),6.4486346,KMeans,0.52631579,5,Linear,0.02505219,0.4987364000000001
18,ambient_temperature_system_failure.csv,6.5682583,KMeans,0.8,6,Linear,0.02505219,0.4987364000000001
19,art_increase_spike_density.csv,7.1103606,KMeans,0.15384615,7,KMeans,0.52631579,1.0
20,nyc_taxi.csv,7.269494,Linear,0.25,8,Linear,0.02505219,0.4987364000000001
21,rogue_agent_key_updown.csv,7.7617574,Gaussian,0.00083455,9,Linear,0.02505219,0.4987364000000001
22,art_daily_flatmiddle.csv,7.7996297,KMeans,0.02,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,4.061546,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,5.053705,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,Object Images,5.4316263,Gaussian,0.06772229,3,Linear,0.0663518,0.99862951
28,ec2_cpu_utilization_c6585a.csv,5.7407265,Linear,0.0,4,Linear,0.0663518,0.99862951
29,Pen-Based Recognition of Handwritten Text (Local),6.677865,KMeans,0.52631579,5,Linear,0.0663518,0.99862951
30,ambient_temperature_system_failure.csv,6.785672,KMeans,0.8,6,Linear,0.0663518,0.99862951
31,art_increase_spike_density.csv,7.356449,KMeans,0.15384615,7,KMeans,0.05851859,0.9907963
32,nyc_taxi.csv,7.490923,Linear,0.25,8,Linear,0.0663518,0.99862951
33,rogue_agent_key_updown.csv,7.996875,Gaussian,0.00083455,9,Linear,0.0663518,0.99862951
34,art_daily_flatmiddle.csv,8.022687,KMeans,0.02,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Speech Accent Data,3.5793195,Linear,0.11764706,1,Linear,0.11764706,1.0
38,Landsat Satellite,4.7680955,Linear,0.71794872,2,Linear,0.11764706,1.0
39,Object Images,5.2866573,Gaussian,0.06772229,3,Linear,0.11764706,1.0
40,ec2_cpu_utilization_c6585a.csv,5.6367016,Linear,0.0,4,Linear,0.11764706,1.0
41,Pen-Based Recognition of Handwritten Text (Local),6.512341,KMeans,0.52631579,5,Linear,0.11764706,1.0
42,ambient_temperature_system_failure.csv,6.71345,KMeans,0.8,6,Linear,0.11764706,1.0
43,art_increase_spike_density.csv,7.3381076,KMeans,0.15384615,7,KMeans,0.05384615,0.93619909
