,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),151.25029872573802,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,Object Images,172.05439998759766,Gaussian,0.06772229,2,Gaussian,0.17305478,0.23455819999999994
3,Landsat Satellite,174.02528202803785,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
4,art_daily_flatmiddle.csv,201.90728956574696,KMeans,0.02,4,KMeans,0.38537271,0.4468761299999999
5,art_increase_spike_density.csv,203.12230233594323,KMeans,0.15384615,5,KMeans,0.38537271,0.4468761299999999
6,art_load_balancer_spikes.csv,203.88284408906534,KMeans,0.25,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_24ae8d.csv,203.9662529756847,KMeans,1.0,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_c0d644.csv,204.42383295514054,Linear,0.5,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_1ef3de.csv,206.2581796708769,Linear,0.08695652,9,KMeans,0.38537271,0.4468761299999999
10,Speech Accent Data,206.6337145474578,Linear,0.11764706,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Object Images,43.76514567841845,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
14,Landsat Satellite,51.19520800195365,Linear,0.71794872,2,Gaussian,0.01392758,0.4876117900000001
15,art_daily_flatmiddle.csv,64.85953701385462,KMeans,0.02,3,Gaussian,0.01392758,0.4876117900000001
16,Speech Accent Data,67.38862542797149,Linear,0.11764706,4,Linear,0.02505219,0.4987364000000001
17,ec2_cpu_utilization_fe7f93.csv,75.71623847631587,Linear,0.5,5,Linear,0.02505219,0.4987364000000001
