,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Object Images,169.56442238510658,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
2,ec2_cpu_utilization_c6585a.csv,563.7764851229989,Linear,0.0,2,Gaussian,0.17305478,0.23455819999999994
3,Landsat Satellite,599.4129446531102,Linear,0.71794872,3,Linear,0.92639843,0.98790185
4,ambient_temperature_system_failure.csv,636.5572399415894,KMeans,0.8,4,Linear,0.92639843,0.98790185
5,nyc_taxi.csv,637.3601829341114,Linear,0.25,5,Linear,0.92639843,0.98790185
6,Speech Accent Data,642.0171869657084,Linear,0.11764706,6,Linear,0.92639843,0.98790185
7,rogue_agent_key_updown.csv,670.4222337203164,Gaussian,0.00083455,7,Linear,0.92639843,0.98790185
8,art_increase_spike_density.csv,670.7226941214581,KMeans,0.15384615,8,Linear,0.92639843,0.98790185
9,rogue_agent_key_hold.csv,672.4164019829193,Linear,0.003367,9,Linear,0.92639843,0.98790185
10,machine_temperature_system_failure.csv,680.365447012868,Linear,0.4,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,ec2_disk_write_bytes_c0d644.csv,0.3997698866710051,Linear,0.5,1,Linear,0.02505219,0.4987364000000001
14,exchange-4_cpc_results.csv,0.6352979029616206,Linear,0.66666667,2,Linear,0.02505219,0.4987364000000001
15,exchange-4_cpm_results.csv,0.715877796107141,KMeans,0.75,3,Linear,0.02505219,0.4987364000000001
16,ec2_disk_write_bytes_1ef3de.csv,1.1364315287336932,Linear,0.08695652,4,Linear,0.02505219,0.4987364000000001
17,art_load_balancer_spikes.csv,1.281193967448723,KMeans,0.25,5,Linear,0.02505219,0.4987364000000001
18,art_increase_spike_density.csv,1.5151924311800515,KMeans,0.15384615,6,KMeans,0.52631579,1.0
19,occupancy_6005.csv,2.2723415718845086,Linear,1.0,7,Linear,0.02505219,0.4987364000000001
20,exchange-3_cpm_results.csv,2.704966614188799,Linear,1.0,8,Linear,0.02505219,0.4987364000000001
21,ec2_cpu_utilization_77c1ca.csv,3.0490811876620274,KMeans,0.03921569,9,Linear,0.02505219,0.4987364000000001
22,ec2_cpu_utilization_24ae8d.csv,3.269192496795931,KMeans,1.0,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Landsat Satellite,56.98806808015166,Linear,0.71794872,1,Linear,0.0663518,0.99862951
26,Pen-Based Recognition of Handwritten Text (Local),127.06443949241577,KMeans,0.52631579,2,KMeans,0.05851859,0.9907963
27,ec2_cpu_utilization_c6585a.csv,191.08313500142955,Linear,0.0,3,Linear,0.0663518,0.99862951
28,ec2_network_in_257a54.csv,338.22654735968933,KMeans,0.5,4,KMeans,0.05851859,0.9907963
29,exchange-3_cpm_results.csv,340.3665853216687,Linear,1.0,5,Linear,0.0663518,0.99862951
30,exchange-2_cpc_results.csv,343.88267496356724,KMeans,0.33333333,6,KMeans,0.05851859,0.9907963
31,ec2_cpu_utilization_825cc2.csv,344.33459568626273,KMeans,0.66666667,7,KMeans,0.05851859,0.9907963
32,exchange-4_cpc_results.csv,345.3422688824014,Linear,0.66666667,8,KMeans,0.05851859,0.9907963
33,exchange-2_cpm_results.csv,345.87373653180094,KMeans,0.8,9,KMeans,0.05851859,0.9907963
34,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,346.30757244824974,KMeans,0.5,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Landsat Satellite,685.6536324303222,Linear,0.71794872,1,Linear,0.11764706,1.0
38,Object Images,945.7034222633602,Gaussian,0.06772229,2,Gaussian,0.04856512,0.93091806
