,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,84.65438709852458,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,97.51550772033369,Linear,0.0,2,Linear,0.92639843,0.98790185
3,Landsat Satellite,98.03918490196526,Linear,0.71794872,3,Linear,0.92639843,0.98790185
4,ambient_temperature_system_failure.csv,98.78694839102829,KMeans,0.8,4,Linear,0.92639843,0.98790185
5,Object Images,103.44476823617082,Gaussian,0.06772229,5,Linear,0.92639843,0.98790185
6,nyc_taxi.csv,108.45252155604794,Linear,0.25,6,Linear,0.92639843,0.98790185
7,art_increase_spike_density.csv,118.32294792703043,KMeans,0.15384615,7,Linear,0.92639843,0.98790185
8,rogue_agent_key_updown.csv,126.03207656518805,Gaussian,0.00083455,8,Linear,0.92639843,0.98790185
9,rogue_agent_key_hold.csv,128.63739025632802,Linear,0.003367,9,Linear,0.92639843,0.98790185
10,exchange-4_cpm_results.csv,129.82482714786312,KMeans,0.75,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,84.65438709852458,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,ec2_cpu_utilization_c6585a.csv,97.51550772033369,Linear,0.0,2,Linear,0.02505219,0.4987364000000001
15,Landsat Satellite,98.03918490196526,Linear,0.71794872,3,Linear,0.02505219,0.4987364000000001
16,ambient_temperature_system_failure.csv,98.78694839102829,KMeans,0.8,4,Linear,0.02505219,0.4987364000000001
17,Object Images,103.44476823617082,Gaussian,0.06772229,5,Linear,0.02505219,0.4987364000000001
18,nyc_taxi.csv,108.45252155604794,Linear,0.25,6,Linear,0.02505219,0.4987364000000001
19,art_increase_spike_density.csv,118.32294792703043,KMeans,0.15384615,7,Linear,0.02505219,0.4987364000000001
20,rogue_agent_key_updown.csv,126.03207656518805,Gaussian,0.00083455,8,Linear,0.02505219,0.4987364000000001
21,rogue_agent_key_hold.csv,128.63739025632802,Linear,0.003367,9,Linear,0.02505219,0.4987364000000001
22,exchange-4_cpm_results.csv,129.82482714786312,KMeans,0.75,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,84.65438709852458,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,ec2_cpu_utilization_c6585a.csv,97.51550772033369,Linear,0.0,2,Linear,0.0663518,0.99862951
27,Landsat Satellite,98.03918490196526,Linear,0.71794872,3,Linear,0.0663518,0.99862951
28,ambient_temperature_system_failure.csv,98.78694839102829,KMeans,0.8,4,Linear,0.0663518,0.99862951
29,Object Images,103.44476823617082,Gaussian,0.06772229,5,Linear,0.0663518,0.99862951
