,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,1.3441114,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,4.17316,Linear,0.0,2,Linear,0.92639843,0.98790185
3,machine_temperature_system_failure.csv,8.1232,Linear,0.4,3,Linear,0.92639843,0.98790185
4,cpu_utilization_asg_misconfiguration.csv,8.347646,KMeans,0.00775194,4,Linear,0.92639843,0.98790185
5,art_increase_spike_density.csv,8.495979,KMeans,0.15384615,5,Linear,0.92639843,0.98790185
6,Landsat Satellite,8.551652,Linear,0.71794872,6,Linear,0.92639843,0.98790185
7,nyc_taxi.csv,8.567198,Linear,0.25,7,Linear,0.92639843,0.98790185
8,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.575228,KMeans,0.5,8,Linear,0.92639843,0.98790185
9,exchange-3_cpm_results.csv,8.579658,Linear,1.0,9,Linear,0.92639843,0.98790185
10,exchange-3_cpc_results.csv,8.579658,Linear,0.57142857,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,1.5748596,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,ec2_cpu_utilization_c6585a.csv,4.4410934,Linear,0.0,2,Linear,0.02505219,0.4987364000000001
15,machine_temperature_system_failure.csv,8.375536,Linear,0.4,3,Linear,0.02505219,0.4987364000000001
16,cpu_utilization_asg_misconfiguration.csv,8.606002,KMeans,0.00775194,4,Linear,0.02505219,0.4987364000000001
17,art_increase_spike_density.csv,8.754296,KMeans,0.15384615,5,Linear,0.02505219,0.4987364000000001
18,Landsat Satellite,8.803247,Linear,0.71794872,6,Linear,0.02505219,0.4987364000000001
19,nyc_taxi.csv,8.83124,Linear,0.25,7,Linear,0.02505219,0.4987364000000001
20,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.836885,KMeans,0.5,8,Linear,0.02505219,0.4987364000000001
21,Pen-Based Recognition of Handwritten Text (Local),8.840817,KMeans,0.52631579,9,Linear,0.02505219,0.4987364000000001
22,exchange-3_cpc_results.csv,8.841418,Linear,0.57142857,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,1.1340618,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,ec2_cpu_utilization_c6585a.csv,4.401242,Linear,0.0,2,Linear,0.0663518,0.99862951
27,machine_temperature_system_failure.csv,8.299566,Linear,0.4,3,Linear,0.0663518,0.99862951
28,cpu_utilization_asg_misconfiguration.csv,8.539941,KMeans,0.00775194,4,Linear,0.0663518,0.99862951
29,art_increase_spike_density.csv,8.69377,KMeans,0.15384615,5,Linear,0.0663518,0.99862951
30,Landsat Satellite,8.75783,Linear,0.71794872,6,Linear,0.0663518,0.99862951
31,nyc_taxi.csv,8.777236,Linear,0.25,7,Linear,0.0663518,0.99862951
32,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.788037,KMeans,0.5,8,Linear,0.0663518,0.99862951
33,Pen-Based Recognition of Handwritten Text (Local),8.792063,KMeans,0.52631579,9,Linear,0.0663518,0.99862951
34,exchange-3_cpc_results.csv,8.792568,Linear,0.57142857,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Speech Accent Data,1.6647377,Linear,0.11764706,1,Linear,0.11764706,1.0
38,ec2_cpu_utilization_c6585a.csv,4.326179,Linear,0.0,2,Linear,0.11764706,1.0
39,machine_temperature_system_failure.csv,8.20669,Linear,0.4,3,Linear,0.11764706,1.0
40,cpu_utilization_asg_misconfiguration.csv,8.452921,KMeans,0.00775194,4,Linear,0.11764706,1.0
41,art_increase_spike_density.csv,8.6208,KMeans,0.15384615,5,Linear,0.11764706,1.0
42,Landsat Satellite,8.675798,Linear,0.71794872,6,Linear,0.11764706,1.0
43,nyc_taxi.csv,8.696695,Linear,0.25,7,Linear,0.11764706,1.0
44,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.708363,KMeans,0.5,8,Linear,0.11764706,1.0
45,Pen-Based Recognition of Handwritten Text (Local),8.712219,KMeans,0.52631579,9,Linear,0.11764706,1.0
46,exchange-3_cpc_results.csv,8.712794,Linear,0.57142857,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Speech Accent Data,1.2217674,Linear,0.11764706,1,Linear,0.71794872,1.0
50,ec2_cpu_utilization_c6585a.csv,4.3140745,Linear,0.0,2,Linear,0.71794872,1.0
51,machine_temperature_system_failure.csv,8.305696,Linear,0.4,3,Linear,0.71794872,1.0
52,cpu_utilization_asg_misconfiguration.csv,8.5088005,KMeans,0.00775194,4,Linear,0.71794872,1.0
53,art_increase_spike_density.csv,8.630261,KMeans,0.15384615,5,Linear,0.71794872,1.0
54,Landsat Satellite,8.693515,Linear,0.71794872,6,Linear,0.71794872,1.0
55,nyc_taxi.csv,8.712682,Linear,0.25,7,Linear,0.71794872,1.0
56,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.72401,KMeans,0.5,8,Linear,0.71794872,1.0
57,Pen-Based Recognition of Handwritten Text (Local),8.728213,KMeans,0.52631579,9,Linear,0.71794872,1.0
58,exchange-3_cpc_results.csv,8.728342,Linear,0.57142857,10,Linear,0.71794872,1.0
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,Speech Accent Data,0.8505058,Linear,0.11764706,1,Linear,0.14285714,0.34285714
62,ec2_cpu_utilization_c6585a.csv,4.650297,Linear,0.0,2,Linear,0.14285714,0.34285714
63,machine_temperature_system_failure.csv,8.522568,Linear,0.4,3,Linear,0.14285714,0.34285714
64,cpu_utilization_asg_misconfiguration.csv,8.7830515,KMeans,0.00775194,4,Linear,0.14285714,0.34285714
65,art_increase_spike_density.csv,8.9677925,KMeans,0.15384615,5,Linear,0.14285714,0.34285714
66,Landsat Satellite,9.029543,Linear,0.71794872,6,Linear,0.14285714,0.34285714
67,nyc_taxi.csv,9.041726,Linear,0.25,7,Linear,0.14285714,0.34285714
68,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,9.059133,KMeans,0.5,8,Linear,0.14285714,0.34285714
69,Pen-Based Recognition of Handwritten Text (Local),9.063064,KMeans,0.52631579,9,Linear,0.14285714,0.34285714
70,exchange-3_cpc_results.csv,9.063498,Linear,0.57142857,10,Linear,0.14285714,0.34285714
71,,,,,,,,
72,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
73,Speech Accent Data,1.4596128,Linear,0.11764706,1,Linear,1.0,1.0
74,ec2_cpu_utilization_c6585a.csv,4.501295,Linear,0.0,2,Linear,1.0,1.0
75,machine_temperature_system_failure.csv,8.432963,Linear,0.4,3,Linear,1.0,1.0
76,cpu_utilization_asg_misconfiguration.csv,8.664849,KMeans,0.00775194,4,Linear,1.0,1.0
77,art_increase_spike_density.csv,8.810992,KMeans,0.15384615,5,Linear,1.0,1.0
78,Landsat Satellite,8.866131,Linear,0.71794872,6,Linear,1.0,1.0
79,nyc_taxi.csv,8.891718,Linear,0.25,7,Linear,1.0,1.0
80,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.900931,KMeans,0.5,8,Linear,1.0,1.0
81,Pen-Based Recognition of Handwritten Text (Local),8.904553,KMeans,0.52631579,9,Linear,1.0,1.0
82,exchange-3_cpc_results.csv,8.905388,Linear,0.57142857,10,Linear,1.0,1.0
83,,,,,,,,
84,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
85,Speech Accent Data,1.0473137,Linear,0.11764706,1,Linear,0.4,1.0
86,ec2_cpu_utilization_c6585a.csv,4.2639723,Linear,0.0,2,Linear,0.4,1.0
87,machine_temperature_system_failure.csv,8.263186,Linear,0.4,3,Linear,0.4,1.0
88,cpu_utilization_asg_misconfiguration.csv,8.463729,KMeans,0.00775194,4,Linear,0.4,1.0
89,art_increase_spike_density.csv,8.568305,KMeans,0.15384615,5,Linear,0.4,1.0
90,Landsat Satellite,8.62968,Linear,0.71794872,6,Linear,0.4,1.0
91,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,8.653957,KMeans,0.5,7,Linear,0.4,1.0
92,nyc_taxi.csv,8.655042,Linear,0.25,8,Linear,0.4,1.0
93,exchange-3_cpc_results.csv,8.658476,Linear,0.57142857,9,Linear,0.4,1.0
94,exchange-3_cpm_results.csv,8.658476,Linear,1.0,10,Linear,0.4,1.0
95,,,,,,,,
