,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,machine_temperature_system_failure.csv,9.832888725462276,Linear,0.4,1,Linear,0.92639843,0.98790185
2,cpu_utilization_asg_misconfiguration.csv,10.085477388344778,KMeans,0.00775194,2,KMeans,0.38537271,0.4468761299999999
3,art_increase_spike_density.csv,10.31215532951151,KMeans,0.15384615,3,KMeans,0.38537271,0.4468761299999999
4,nyc_taxi.csv,10.587945431243513,Linear,0.25,4,KMeans,0.38537271,0.4468761299999999
5,Object Images,10.767090160729444,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999
6,ambient_temperature_system_failure.csv,10.812069197287226,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_updown.csv,10.962361594095492,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,11.008426401224927,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,ec2_network_in_5abac7.csv,11.008426401224927,Linear,0.66666667,9,Linear,0.92639843,0.98790185
10,grok_asg_anomaly.csv,11.017060715316486,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.3503480613713024,KMeans,0.5,1,KMeans,0.52631579,1.0
14,exchange-3_cpc_results.csv,0.3625130961772309,Linear,0.57142857,2,KMeans,0.52631579,1.0
15,exchange-3_cpm_results.csv,0.3625130961772309,Linear,1.0,3,Linear,0.02505219,0.4987364000000001
16,exchange-2_cpc_results.csv,0.3668548276568259,KMeans,0.33333333,4,KMeans,0.52631579,1.0
17,exchange-2_cpm_results.csv,0.3668548276568259,KMeans,0.8,5,KMeans,0.52631579,1.0
18,exchange-4_cpc_results.csv,0.36785897392322237,Linear,0.66666667,6,KMeans,0.52631579,1.0
19,exchange-4_cpm_results.csv,0.36785897392322237,KMeans,0.75,7,KMeans,0.52631579,1.0
20,rogue_agent_key_hold.csv,0.3818096047225923,Linear,0.003367,8,KMeans,0.52631579,1.0
21,TravelTime_451.csv,0.40103029472079554,KMeans,0.4,9,KMeans,0.52631579,1.0
22,occupancy_6005.csv,0.41791878420506123,Linear,1.0,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Pen-Based Recognition of Handwritten Text (Local),0.6940268321529653,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
26,ec2_cpu_utilization_fe7f93.csv,0.7870495321701313,Linear,0.5,2,KMeans,0.05851859,0.9907963
27,ec2_disk_write_bytes_c0d644.csv,0.7870495321701313,Linear,0.5,3,Linear,0.0663518,0.99862951
28,art_daily_flatmiddle.csv,0.7870495321701313,KMeans,0.02,4,KMeans,0.05851859,0.9907963
29,ec2_cpu_utilization_5f5533.csv,0.7870495321701313,KMeans,0.57142857,5,KMeans,0.05851859,0.9907963
30,ec2_cpu_utilization_ac20cd.csv,0.7870495321701313,KMeans,0.66666667,6,KMeans,0.05851859,0.9907963
31,rds_cpu_utilization_cc0c53.csv,0.7870495321701313,Gaussian,1.0,7,KMeans,0.05851859,0.9907963
32,art_daily_jumpsdown.csv,0.7870495321701313,KMeans,0.03030303,8,KMeans,0.05851859,0.9907963
33,elb_request_count_8c0756.csv,0.7870495321701313,Linear,0.66666667,9,KMeans,0.05851859,0.9907963
34,art_daily_jumpsup.csv,0.7870495321701313,KMeans,0.22222222,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Landsat Satellite,10.830798828507989,Linear,0.71794872,1,Linear,0.11764706,1.0
38,Object Images,11.272904279559768,Gaussian,0.06772229,2,Gaussian,0.04856512,0.93091806
39,Pen-Based Recognition of Handwritten Text (Local),11.393427442172095,KMeans,0.52631579,3,Gaussian,0.04856512,0.93091806
40,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,11.69650072987735,KMeans,0.5,4,KMeans,0.05384615,0.93619909
41,exchange-3_cpc_results.csv,11.708369510569367,Linear,0.57142857,5,KMeans,0.05384615,0.93619909
42,exchange-3_cpm_results.csv,11.708369510569367,Linear,1.0,6,Linear,0.11764706,1.0
43,exchange-2_cpc_results.csv,11.711098946348153,KMeans,0.33333333,7,KMeans,0.05384615,0.93619909
44,exchange-2_cpm_results.csv,11.711098946348153,KMeans,0.8,8,KMeans,0.05384615,0.93619909
45,exchange-4_cpm_results.csv,11.711668668242446,KMeans,0.75,9,KMeans,0.05384615,0.93619909
46,exchange-4_cpc_results.csv,11.711668668242446,Linear,0.66666667,10,KMeans,0.05384615,0.93619909
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Pen-Based Recognition of Handwritten Text (Local),0.5698017557974012,KMeans,0.52631579,1,KMeans,0.65517241,0.93722369
50,Object Images,0.8388514042927825,Gaussian,0.06772229,2,Gaussian,0.63716814,0.91921942
51,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.8983655900984401,KMeans,0.5,3,KMeans,0.65517241,0.93722369
52,exchange-3_cpc_results.csv,0.9133121440331206,Linear,0.57142857,4,KMeans,0.65517241,0.93722369
53,exchange-3_cpm_results.csv,0.9133121440331206,Linear,1.0,5,KMeans,0.65517241,0.93722369
54,exchange-2_cpm_results.csv,0.9175464472739904,KMeans,0.8,6,KMeans,0.65517241,0.93722369
55,exchange-2_cpc_results.csv,0.9175464472739904,KMeans,0.33333333,7,KMeans,0.65517241,0.93722369
56,exchange-4_cpc_results.csv,0.9184804788217521,Linear,0.66666667,8,KMeans,0.65517241,0.93722369
57,exchange-4_cpm_results.csv,0.9184804788217521,KMeans,0.75,9,KMeans,0.65517241,0.93722369
58,rogue_agent_key_hold.csv,0.9302953585588125,Linear,0.003367,10,KMeans,0.65517241,0.93722369
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,rogue_agent_key_updown.csv,0.28338099283744445,Gaussian,0.00083455,1,Gaussian,0.25,0.44999999999999996
62,ec2_network_in_5abac7.csv,0.3683324840798661,Linear,0.66666667,2,Gaussian,0.25,0.44999999999999996
63,ec2_disk_write_bytes_1ef3de.csv,0.3683324840798661,Linear,0.08695652,3,Linear,0.14285714,0.34285714
64,grok_asg_anomaly.csv,0.3841633936662848,KMeans,0.5,4,Linear,0.14285714,0.34285714
65,nyc_taxi.csv,0.4431365423540549,Linear,0.25,5,Linear,0.14285714,0.34285714
66,ec2_disk_write_bytes_c0d644.csv,0.46972712772058156,Linear,0.5,6,Linear,0.14285714,0.34285714
67,rds_cpu_utilization_e47b3b.csv,0.46972712772058156,Linear,0.66666667,7,Linear,0.14285714,0.34285714
68,art_daily_nojump.csv,0.46972712772058156,KMeans,0.00152207,8,Linear,0.14285714,0.34285714
69,ec2_cpu_utilization_ac20cd.csv,0.46972712772058156,KMeans,0.66666667,9,Linear,0.14285714,0.34285714
70,art_daily_jumpsup.csv,0.46972712772058156,KMeans,0.22222222,10,Linear,0.14285714,0.34285714
71,,,,,,,,
72,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
73,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,1.0,1.0
74,exchange-2_cpc_results.csv,0.013210582094288244,KMeans,0.33333333,2,KMeans,1.0,1.0
75,exchange-2_cpm_results.csv,0.013210582094288244,KMeans,0.8,3,KMeans,1.0,1.0
76,exchange-4_cpc_results.csv,0.016109272308201337,Linear,0.66666667,4,KMeans,1.0,1.0
77,exchange-4_cpm_results.csv,0.016109272308201337,KMeans,0.75,5,KMeans,1.0,1.0
78,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.04700274432685431,KMeans,0.5,6,KMeans,1.0,1.0
79,rogue_agent_key_hold.csv,0.05211361852079919,Linear,0.003367,7,KMeans,1.0,1.0
80,TravelTime_451.csv,0.09358650131530534,KMeans,0.4,8,KMeans,1.0,1.0
81,occupancy_6005.csv,0.12557888704048115,Linear,1.0,9,KMeans,1.0,1.0
82,occupancy_t4013.csv,0.14311955445161734,Linear,1.0,10,KMeans,1.0,1.0
83,,,,,,,,
84,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
85,cpu_utilization_asg_misconfiguration.csv,0.674168570947463,KMeans,0.00775194,1,KMeans,0.4,1.0
86,nyc_taxi.csv,1.796097836663583,Linear,0.25,2,KMeans,0.4,1.0
87,ambient_temperature_system_failure.csv,2.2392234312756765,KMeans,0.8,3,KMeans,0.4,1.0
88,rogue_agent_key_updown.csv,2.5225673768392505,Gaussian,0.00083455,4,KMeans,0.4,1.0
89,ec2_network_in_5abac7.csv,2.607493071123574,Linear,0.66666667,5,KMeans,0.4,1.0
90,ec2_disk_write_bytes_1ef3de.csv,2.607493071123574,Linear,0.08695652,6,Linear,0.4,1.0
91,grok_asg_anomaly.csv,2.6233177288758083,KMeans,0.5,7,KMeans,0.4,1.0
92,art_daily_nojump.csv,2.7088359980256254,KMeans,0.00152207,8,KMeans,0.4,1.0
93,ec2_cpu_utilization_ac20cd.csv,2.7088359980256254,KMeans,0.66666667,9,KMeans,0.4,1.0
94,art_daily_jumpsdown.csv,2.7088359980256254,KMeans,0.03030303,10,KMeans,0.4,1.0
95,,,,,,,,
96,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
97,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,1,KMeans,0.66666667,1.0
98,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,2,KMeans,0.66666667,1.0
99,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,3,Gaussian,0.31578947,0.6491228
100,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.66666667,1.0
101,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,5,KMeans,0.66666667,1.0
102,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,6,KMeans,0.66666667,1.0
103,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,7,KMeans,0.66666667,1.0
104,ec2_network_in_257a54.csv,0.0,KMeans,0.5,8,KMeans,0.66666667,1.0
105,ec2_cpu_utilization_825cc2.csv,0.0,KMeans,0.66666667,9,KMeans,0.66666667,1.0
106,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,10,KMeans,0.66666667,1.0
107,,,,,,,,
108,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
109,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,1,KMeans,0.66666667,1.0
110,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,2,KMeans,0.66666667,1.0
111,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,3,Gaussian,0.01526718,0.34860051000000003
112,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.66666667,1.0
113,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,5,KMeans,0.66666667,1.0
114,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,6,KMeans,0.66666667,1.0
115,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,7,KMeans,0.66666667,1.0
116,ec2_network_in_257a54.csv,0.0,KMeans,0.5,8,KMeans,0.66666667,1.0
117,ec2_cpu_utilization_825cc2.csv,0.0,KMeans,0.66666667,9,KMeans,0.66666667,1.0
118,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,10,KMeans,0.66666667,1.0
119,,,,,,,,
120,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
121,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,1,KMeans,0.5,1.0
122,rds_cpu_utilization_e47b3b.csv,0.0,Linear,0.66666667,2,KMeans,0.5,1.0
123,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,3,Gaussian,0.4,0.9
124,art_daily_nojump.csv,0.0,KMeans,0.00152207,4,KMeans,0.5,1.0
125,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,5,KMeans,0.5,1.0
126,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,6,KMeans,0.5,1.0
127,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,7,KMeans,0.5,1.0
128,ec2_network_in_257a54.csv,0.0,KMeans,0.5,8,KMeans,0.5,1.0
129,ec2_cpu_utilization_825cc2.csv,0.0,KMeans,0.66666667,9,KMeans,0.5,1.0
130,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,10,KMeans,0.5,1.0
131,,,,,,,,
132,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
133,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,0.75,1.0
134,exchange-2_cpm_results.csv,0.0028991624598411012,KMeans,0.8,2,KMeans,0.75,1.0
135,exchange-2_cpc_results.csv,0.0028991624598411012,KMeans,0.33333333,3,KMeans,0.75,1.0
136,exchange-3_cpc_results.csv,0.016109272308201337,Linear,0.57142857,4,KMeans,0.75,1.0
137,exchange-3_cpm_results.csv,0.016109272308201337,Linear,1.0,5,KMeans,0.75,1.0
138,rogue_agent_key_hold.csv,0.036022467556867895,Linear,0.003367,6,KMeans,0.75,1.0
139,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.06305768774758173,KMeans,0.5,7,KMeans,0.75,1.0
140,TravelTime_451.csv,0.07753243616857819,KMeans,0.4,8,KMeans,0.75,1.0
141,occupancy_6005.csv,0.10955793176745877,Linear,1.0,9,KMeans,0.75,1.0
142,TravelTime_387.csv,0.1271171818255029,KMeans,0.66666667,10,KMeans,0.75,1.0
143,,,,,,,,
144,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
145,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.66666667,1.0
146,occupancy_6005.csv,0.01760007809781763,Linear,1.0,2,KMeans,0.66666667,1.0
147,TravelTime_451.csv,0.04968223207647574,KMeans,0.4,3,KMeans,0.66666667,1.0
148,rogue_agent_key_hold.csv,0.09120170482052155,Linear,0.003367,4,KMeans,0.66666667,1.0
149,exchange-4_cpc_results.csv,0.1271171818255029,Linear,0.66666667,5,Linear,0.5,0.83333333
150,exchange-4_cpm_results.csv,0.1271171818255029,KMeans,0.75,6,KMeans,0.66666667,1.0
151,exchange-2_cpm_results.csv,0.13000043576024645,KMeans,0.8,7,KMeans,0.66666667,1.0
152,exchange-2_cpc_results.csv,0.13000043576024645,KMeans,0.33333333,8,KMeans,0.66666667,1.0
153,exchange-3_cpm_results.csv,0.14311955445161734,Linear,1.0,9,KMeans,0.66666667,1.0
154,exchange-3_cpc_results.csv,0.14311955445161734,Linear,0.57142857,10,KMeans,0.66666667,1.0
155,,,,,,,,
156,ec2_cpu_utilization_c6585a.csv,0,Linear,0.0,0,Linear,0.0,1
157,ec2_cpu_utilization_fe7f93.csv,6.784005252999682,Linear,0.5,1,Linear,0.0,1.0
158,art_daily_flatmiddle.csv,6.784005252999682,KMeans,0.02,2,KMeans,0.0,1.0
159,ec2_cpu_utilization_5f5533.csv,6.784005252999682,KMeans,0.57142857,3,KMeans,0.0,1.0
