,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,machine_temperature_system_failure.csv,17.078540370867092,Linear,0.4,1,Linear,0.92639843,0.98790185
2,cpu_utilization_asg_misconfiguration.csv,17.803288414550046,KMeans,0.00775194,2,KMeans,0.38537271,0.4468761299999999
3,art_increase_spike_density.csv,18.674084012340202,KMeans,0.15384615,3,KMeans,0.38537271,0.4468761299999999
4,Object Images,18.704731378352182,Gaussian,0.06772229,4,KMeans,0.38537271,0.4468761299999999
5,nyc_taxi.csv,19.012226312280383,Linear,0.25,5,KMeans,0.38537271,0.4468761299999999
6,ambient_temperature_system_failure.csv,19.49275830938293,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_updown.csv,19.803076330334136,Gaussian,0.00083455,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_1ef3de.csv,19.89709744148472,Linear,0.08695652,8,KMeans,0.38537271,0.4468761299999999
9,ec2_network_in_5abac7.csv,19.89709744148472,Linear,0.66666667,9,Linear,0.92639843,0.98790185
10,grok_asg_anomaly.csv,19.91469812237059,KMeans,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.643156941774061,KMeans,0.5,1,KMeans,0.52631579,1.0
14,exchange-3_cpc_results.csv,0.70199698710608,Linear,0.57142857,2,KMeans,0.52631579,1.0
15,exchange-3_cpm_results.csv,0.70199698710608,Linear,1.0,3,Linear,0.02505219,0.4987364000000001
16,exchange-2_cpc_results.csv,0.7178238516699819,KMeans,0.33333333,4,KMeans,0.52631579,1.0
17,exchange-2_cpm_results.csv,0.7178238516699819,KMeans,0.8,5,KMeans,0.52631579,1.0
18,exchange-4_cpc_results.csv,0.7212593290173777,Linear,0.66666667,6,KMeans,0.52631579,1.0
19,exchange-4_cpm_results.csv,0.7212593290173777,KMeans,0.75,7,KMeans,0.52631579,1.0
20,rogue_agent_key_hold.csv,0.7629323856228716,Linear,0.003367,8,KMeans,0.52631579,1.0
21,TravelTime_451.csv,0.809022290156264,KMeans,0.4,9,KMeans,0.52631579,1.0
22,occupancy_6005.csv,0.8434974886975231,Linear,1.0,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Pen-Based Recognition of Handwritten Text (Local),1.380157172021455,KMeans,0.52631579,1,KMeans,0.05851859,0.9907963
26,ec2_cpu_utilization_fe7f93.csv,1.4062299280916268,Linear,0.5,2,KMeans,0.05851859,0.9907963
27,ec2_disk_write_bytes_c0d644.csv,1.4062299280916268,Linear,0.5,3,Linear,0.0663518,0.99862951
28,art_daily_flatmiddle.csv,1.4062299280916268,KMeans,0.02,4,KMeans,0.05851859,0.9907963
29,ec2_cpu_utilization_5f5533.csv,1.4062299280916268,KMeans,0.57142857,5,KMeans,0.05851859,0.9907963
30,ec2_cpu_utilization_ac20cd.csv,1.4062299280916268,KMeans,0.66666667,6,KMeans,0.05851859,0.9907963
31,rds_cpu_utilization_cc0c53.csv,1.4062299280916268,Gaussian,1.0,7,KMeans,0.05851859,0.9907963
32,art_daily_jumpsdown.csv,1.4062299280916268,KMeans,0.03030303,8,KMeans,0.05851859,0.9907963
33,elb_request_count_8c0756.csv,1.4062299280916268,Linear,0.66666667,9,KMeans,0.05851859,0.9907963
