,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,ec2_cpu_utilization_c6585a.csv,1.4496515989996652,Linear,0.0,1,Linear,0.92639843,0.98790185
2,Landsat Satellite,2.2048311133626264,Linear,0.71794872,2,Linear,0.92639843,0.98790185
3,Object Images,2.3556181934680884,Gaussian,0.06772229,3,Linear,0.92639843,0.98790185
4,Pen-Based Recognition of Handwritten Text (Local),2.4429762053173363,KMeans,0.52631579,4,Linear,0.92639843,0.98790185
5,machine_temperature_system_failure.csv,2.528096634125588,Linear,0.4,5,Linear,0.92639843,0.98790185
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,2.5356019819851805,KMeans,0.5,6,Linear,0.92639843,0.98790185
7,exchange-3_cpc_results.csv,2.5356752799780877,Linear,0.57142857,7,Linear,0.92639843,0.98790185
8,exchange-3_cpm_results.csv,2.5356752799780877,Linear,1.0,8,Linear,0.92639843,0.98790185
9,exchange-2_cpc_results.csv,2.5357580445051457,KMeans,0.33333333,9,Linear,0.92639843,0.98790185
10,exchange-2_cpm_results.csv,2.5357580445051457,KMeans,0.8,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,KDD-Cup99 HTTP,0.0059220647984277175,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
14,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.009535157592899912,KMeans,0.5,2,KMeans,0.52631579,1.0
15,exchange-3_cpc_results.csv,0.009866735428793516,Linear,0.57142857,3,KMeans,0.52631579,1.0
16,exchange-3_cpm_results.csv,0.009866735428793516,Linear,1.0,4,Linear,0.02505219,0.4987364000000001
17,exchange-2_cpm_results.csv,0.009960081652865105,KMeans,0.8,5,KMeans,0.52631579,1.0
18,exchange-2_cpc_results.csv,0.009960081652865105,KMeans,0.33333333,6,KMeans,0.52631579,1.0
19,exchange-4_cpc_results.csv,0.00998054094028683,Linear,0.66666667,7,KMeans,0.52631579,1.0
20,exchange-4_cpm_results.csv,0.00998054094028683,KMeans,0.75,8,KMeans,0.52631579,1.0
21,rogue_agent_key_hold.csv,0.010233582025523935,Linear,0.003367,9,KMeans,0.52631579,1.0
22,TravelTime_451.csv,0.010521630830509332,KMeans,0.4,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,art_increase_spike_density.csv,0.020894341183477216,KMeans,0.15384615,1,KMeans,0.05851859,0.9907963
26,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.090814510961855,KMeans,0.5,2,KMeans,0.05851859,0.9907963
27,exchange-3_cpc_results.csv,0.0989753754214382,Linear,0.57142857,3,KMeans,0.05851859,0.9907963
28,exchange-3_cpm_results.csv,0.0989753754214382,Linear,1.0,4,KMeans,0.05851859,0.9907963
29,exchange-2_cpc_results.csv,0.10062319686410248,KMeans,0.33333333,5,KMeans,0.05851859,0.9907963
30,exchange-2_cpm_results.csv,0.10062319686410248,KMeans,0.8,6,KMeans,0.05851859,0.9907963
31,Landsat Satellite,0.10070541905352015,Linear,0.71794872,7,KMeans,0.05851859,0.9907963
32,exchange-4_cpc_results.csv,0.1009561514937738,Linear,0.66666667,8,KMeans,0.05851859,0.9907963
33,exchange-4_cpm_results.csv,0.1009561514937738,KMeans,0.75,9,KMeans,0.05851859,0.9907963
34,rogue_agent_key_hold.csv,0.1043994615845456,Linear,0.003367,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,KDD-Cup99 HTTP,19.319329730006896,RPCA,0.93849658,1,RPCA,0.08450704,0.96685998
38,Landsat Satellite,19.67659297699116,Linear,0.71794872,2,Linear,0.11764706,1.0
39,machine_temperature_system_failure.csv,19.77467623341013,Linear,0.4,3,Linear,0.11764706,1.0
40,cpu_utilization_asg_misconfiguration.csv,19.797905220680857,KMeans,0.00775194,4,Linear,0.11764706,1.0
41,Object Images,19.80530989022931,Gaussian,0.06772229,5,Linear,0.11764706,1.0
42,Pen-Based Recognition of Handwritten Text (Local),19.80770715239578,KMeans,0.52631579,6,KMeans,0.05384615,0.93619909
43,art_increase_spike_density.csv,19.809566454879413,KMeans,0.15384615,7,KMeans,0.05384615,0.93619909
44,nyc_taxi.csv,19.82361010385088,Linear,0.25,8,KMeans,0.05384615,0.93619909
45,ambient_temperature_system_failure.csv,19.829311236843484,KMeans,0.8,9,KMeans,0.05384615,0.93619909
46,ec2_cpu_utilization_c6585a.csv,19.831216041443604,Linear,0.0,10,KMeans,0.05384615,0.93619909
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,machine_temperature_system_failure.csv,1.4113943168150844e-05,Linear,0.4,1,Linear,0.71794872,1.0
50,cpu_utilization_asg_misconfiguration.csv,6.704214128754049e-05,KMeans,0.00775194,2,KMeans,0.65517241,0.93722369
51,Pen-Based Recognition of Handwritten Text (Local),0.00011433943975398277,KMeans,0.52631579,3,KMeans,0.65517241,0.93722369
52,nyc_taxi.csv,0.00014553133707832788,Linear,0.25,4,KMeans,0.65517241,0.93722369
53,Object Images,0.0001546013822688119,Gaussian,0.06772229,5,KMeans,0.65517241,0.93722369
54,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0001560670702608763,KMeans,0.5,6,KMeans,0.65517241,0.93722369
55,ambient_temperature_system_failure.csv,0.0001579410486273608,KMeans,0.8,7,KMeans,0.65517241,0.93722369
56,exchange-3_cpc_results.csv,0.0001597421207671229,Linear,0.57142857,8,KMeans,0.65517241,0.93722369
57,exchange-3_cpm_results.csv,0.0001597421207671229,Linear,1.0,9,KMeans,0.65517241,0.93722369
58,exchange-2_cpc_results.csv,0.00016027451301874052,KMeans,0.33333333,10,KMeans,0.65517241,0.93722369
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,rogue_agent_key_updown.csv,0.00023967038984056346,Gaussian,0.00083455,1,Gaussian,0.25,0.44999999999999996
62,ec2_network_in_5abac7.csv,0.00031465427399413395,Linear,0.66666667,2,Gaussian,0.25,0.44999999999999996
63,ec2_disk_write_bytes_1ef3de.csv,0.00031465427399413395,Linear,0.08695652,3,Linear,0.14285714,0.34285714
64,grok_asg_anomaly.csv,0.00032887145033337964,KMeans,0.5,4,Linear,0.14285714,0.34285714
65,nyc_taxi.csv,0.00036916856428355,Linear,0.25,5,Linear,0.14285714,0.34285714
66,art_daily_jumpsup.csv,0.0004070958288823756,KMeans,0.22222222,6,Linear,0.14285714,0.34285714
67,ec2_cpu_utilization_fe7f93.csv,0.0004070958288823756,Linear,0.5,7,Linear,0.14285714,0.34285714
68,ec2_request_latency_system_failure.csv,0.00040709588707494096,KMeans,0.66666667,8,Linear,0.14285714,0.34285714
69,ec2_cpu_utilization_77c1ca.csv,0.00040709588707494096,KMeans,0.03921569,9,KMeans,0.8,1.0
70,ec2_cpu_utilization_53ea38.csv,0.00040709588707494096,KMeans,0.04255319,10,KMeans,0.8,1.0
71,,,,,,,,
72,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
73,exchange-3_cpm_results.csv,0.0,Linear,1.0,1,Linear,1.0,1.0
74,exchange-2_cpm_results.csv,0.0015334642642406138,KMeans,0.8,2,KMeans,1.0,1.0
75,exchange-2_cpc_results.csv,0.0015334642642406138,KMeans,0.33333333,3,KMeans,1.0,1.0
76,exchange-4_cpc_results.csv,0.0018718781702480314,Linear,0.66666667,4,KMeans,1.0,1.0
77,exchange-4_cpm_results.csv,0.0018718781702480314,KMeans,0.75,5,KMeans,1.0,1.0
78,cpu_utilization_asg_misconfiguration.csv,0.0028747983301720126,KMeans,0.00775194,6,KMeans,1.0,1.0
79,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.005245800076441043,KMeans,0.5,7,KMeans,1.0,1.0
80,rogue_agent_key_hold.csv,0.006105650655044315,Linear,0.003367,8,KMeans,1.0,1.0
81,TravelTime_451.csv,0.010982288770037485,KMeans,0.4,9,KMeans,1.0,1.0
82,occupancy_6005.csv,0.014696230076978622,Linear,1.0,10,KMeans,1.0,1.0
83,,,,,,,,
84,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
85,cpu_utilization_asg_misconfiguration.csv,1.621334920708182e-05,KMeans,0.00775194,1,KMeans,0.4,1.0
86,nyc_taxi.csv,7.747200152530623e-05,Linear,0.25,2,KMeans,0.4,1.0
87,ambient_temperature_system_failure.csv,0.0001459819694659449,KMeans,0.8,3,KMeans,0.4,1.0
88,Pen-Based Recognition of Handwritten Text (Local),0.00017769976788262198,KMeans,0.52631579,4,KMeans,0.4,1.0
89,rogue_agent_key_updown.csv,0.00024533318904404813,Gaussian,0.00083455,5,KMeans,0.4,1.0
90,ec2_network_in_5abac7.csv,0.00029665018187899697,Linear,0.66666667,6,KMeans,0.4,1.0
91,ec2_disk_write_bytes_1ef3de.csv,0.00029665018187899697,Linear,0.08695652,7,KMeans,0.4,1.0
92,grok_asg_anomaly.csv,0.0003081183974882641,KMeans,0.5,8,KMeans,0.4,1.0
93,art_daily_jumpsup.csv,0.00038458659722850896,KMeans,0.22222222,9,KMeans,0.4,1.0
94,ec2_cpu_utilization_fe7f93.csv,0.00038458659722850896,Linear,0.5,10,KMeans,0.4,1.0
95,,,,,,,,
96,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
97,art_daily_jumpsup.csv,0.0,KMeans,0.22222222,1,KMeans,0.66666667,1.0
98,ec2_cpu_utilization_5f5533.csv,5.469701913618508e-10,KMeans,0.57142857,2,KMeans,0.66666667,1.0
99,rds_cpu_utilization_e47b3b.csv,5.469701913618508e-10,Linear,0.66666667,3,KMeans,0.66666667,1.0
100,rds_cpu_utilization_cc0c53.csv,5.469701913618508e-10,Gaussian,1.0,4,KMeans,0.66666667,1.0
101,art_daily_nojump.csv,5.469701913618508e-10,KMeans,0.00152207,5,KMeans,0.66666667,1.0
102,ec2_cpu_utilization_ac20cd.csv,5.469701913618508e-10,KMeans,0.66666667,6,KMeans,0.66666667,1.0
103,art_daily_jumpsdown.csv,5.469701913618508e-10,KMeans,0.03030303,7,KMeans,0.66666667,1.0
104,elb_request_count_8c0756.csv,5.469701913618508e-10,Linear,0.66666667,8,KMeans,0.66666667,1.0
105,ec2_network_in_257a54.csv,5.469701913618508e-10,KMeans,0.5,9,KMeans,0.66666667,1.0
106,ec2_cpu_utilization_825cc2.csv,5.469701913618508e-10,KMeans,0.66666667,10,KMeans,0.66666667,1.0
107,,,,,,,,
108,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
109,art_daily_flatmiddle.csv,0.0,KMeans,0.02,1,KMeans,0.66666667,1.0
110,ec2_cpu_utilization_5f5533.csv,0.0,KMeans,0.57142857,2,KMeans,0.66666667,1.0
111,art_daily_nojump.csv,0.0,KMeans,0.00152207,3,KMeans,0.66666667,1.0
112,rds_cpu_utilization_cc0c53.csv,0.0,Gaussian,1.0,4,KMeans,0.66666667,1.0
113,ec2_cpu_utilization_ac20cd.csv,0.0,KMeans,0.66666667,5,KMeans,0.66666667,1.0
114,art_daily_jumpsdown.csv,0.0,KMeans,0.03030303,6,KMeans,0.66666667,1.0
115,elb_request_count_8c0756.csv,0.0,Linear,0.66666667,7,KMeans,0.66666667,1.0
116,ec2_disk_write_bytes_c0d644.csv,0.0,Linear,0.5,8,KMeans,0.66666667,1.0
117,ec2_network_in_257a54.csv,0.0,KMeans,0.5,9,KMeans,0.66666667,1.0
118,ec2_request_latency_system_failure.csv,0.0,KMeans,0.66666667,10,KMeans,0.66666667,1.0
119,,,,,,,,
120,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
121,art_daily_jumpsup.csv,2.281363015166349e-10,KMeans,0.22222222,1,KMeans,0.5,1.0
122,ec2_cpu_utilization_77c1ca.csv,3.422044418666115e-10,KMeans,0.03921569,2,KMeans,0.5,1.0
123,rds_cpu_utilization_e47b3b.csv,3.422044418666115e-10,Linear,0.66666667,3,KMeans,0.5,1.0
124,ec2_disk_write_bytes_c0d644.csv,3.422044418666115e-10,Linear,0.5,4,KMeans,0.5,1.0
125,art_daily_flatmiddle.csv,3.422044418666115e-10,KMeans,0.02,5,KMeans,0.5,1.0
126,ec2_cpu_utilization_5f5533.csv,3.422044418666115e-10,KMeans,0.57142857,6,KMeans,0.5,1.0
127,art_daily_jumpsdown.csv,3.422044418666115e-10,KMeans,0.03030303,7,KMeans,0.5,1.0
128,rds_cpu_utilization_cc0c53.csv,3.422044418666115e-10,Gaussian,1.0,8,KMeans,0.5,1.0
129,elb_request_count_8c0756.csv,3.422044418666115e-10,Linear,0.66666667,9,KMeans,0.5,1.0
130,art_daily_nojump.csv,3.422044418666115e-10,KMeans,0.00152207,10,KMeans,0.5,1.0
131,,,,,,,,
132,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
133,exchange-4_cpm_results.csv,0.0,KMeans,0.75,1,KMeans,0.75,1.0
134,exchange-2_cpc_results.csv,0.001153750281535082,KMeans,0.33333333,2,KMeans,0.75,1.0
135,exchange-2_cpm_results.csv,0.001153750281535082,KMeans,0.8,3,KMeans,0.75,1.0
136,art_increase_spike_density.csv,0.002113421783306535,KMeans,0.15384615,4,KMeans,0.75,1.0
137,exchange-3_cpc_results.csv,0.006747959265570813,Linear,0.57142857,5,KMeans,0.75,1.0
138,exchange-3_cpm_results.csv,0.006747959265570813,Linear,1.0,6,KMeans,0.75,1.0
139,rogue_agent_key_hold.csv,0.01249319465409826,Linear,0.003367,7,KMeans,0.75,1.0
140,TravelTime_451.csv,0.02367020727875513,KMeans,0.4,8,KMeans,0.75,1.0
141,occupancy_6005.csv,0.030660334057080796,Linear,1.0,9,KMeans,0.75,1.0
142,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.032320653122951626,KMeans,0.5,10,KMeans,0.75,1.0
143,,,,,,,,
144,TravelTime_387.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
145,TravelTime_387.csv,0.0,KMeans,0.66666667,1,KMeans,0.66666667,1.0
