,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,2.1954633971063195,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,11.905798921371302,Linear,0.0,2,Linear,0.92639843,0.98790185
3,machine_temperature_system_failure.csv,15.849624956092974,Linear,0.4,3,Linear,0.92639843,0.98790185
4,cpu_utilization_asg_misconfiguration.csv,16.570139819632832,KMeans,0.00775194,4,Linear,0.92639843,0.98790185
5,Landsat Satellite,16.615937994520433,Linear,0.71794872,5,Linear,0.92639843,0.98790185
6,Object Images,17.213468816926188,Gaussian,0.06772229,6,Linear,0.92639843,0.98790185
7,art_increase_spike_density.csv,17.353497971279435,KMeans,0.15384615,7,Linear,0.92639843,0.98790185
8,Pen-Based Recognition of Handwritten Text (Local),17.693477765466863,KMeans,0.52631579,8,Linear,0.92639843,0.98790185
9,nyc_taxi.csv,17.76255782055315,Linear,0.25,9,Linear,0.92639843,0.98790185
10,ambient_temperature_system_failure.csv,18.226226216020297,KMeans,0.8,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,2.1954633971063195,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,ec2_cpu_utilization_c6585a.csv,11.905798921371302,Linear,0.0,2,Linear,0.02505219,0.4987364000000001
15,machine_temperature_system_failure.csv,15.849624956092974,Linear,0.4,3,Linear,0.02505219,0.4987364000000001
16,cpu_utilization_asg_misconfiguration.csv,16.570139819632832,KMeans,0.00775194,4,Linear,0.02505219,0.4987364000000001
17,Landsat Satellite,16.615937994520433,Linear,0.71794872,5,Linear,0.02505219,0.4987364000000001
18,Object Images,17.213468816926188,Gaussian,0.06772229,6,Linear,0.02505219,0.4987364000000001
19,art_increase_spike_density.csv,17.353497971279435,KMeans,0.15384615,7,Linear,0.02505219,0.4987364000000001
20,Pen-Based Recognition of Handwritten Text (Local),17.693477765466863,KMeans,0.52631579,8,Linear,0.02505219,0.4987364000000001
21,nyc_taxi.csv,17.76255782055315,Linear,0.25,9,Linear,0.02505219,0.4987364000000001
22,ambient_temperature_system_failure.csv,18.226226216020297,KMeans,0.8,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,2.1954633971063195,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,ec2_cpu_utilization_c6585a.csv,11.905798921371302,Linear,0.0,2,Linear,0.0663518,0.99862951
27,machine_temperature_system_failure.csv,15.849624956092974,Linear,0.4,3,Linear,0.0663518,0.99862951
28,cpu_utilization_asg_misconfiguration.csv,16.570139819632832,KMeans,0.00775194,4,Linear,0.0663518,0.99862951
29,Landsat Satellite,16.615937994520433,Linear,0.71794872,5,Linear,0.0663518,0.99862951
30,Object Images,17.213468816926188,Gaussian,0.06772229,6,Linear,0.0663518,0.99862951
31,art_increase_spike_density.csv,17.353497971279435,KMeans,0.15384615,7,Linear,0.0663518,0.99862951
32,Pen-Based Recognition of Handwritten Text (Local),17.693477765466863,KMeans,0.52631579,8,Linear,0.0663518,0.99862951
33,nyc_taxi.csv,17.76255782055315,Linear,0.25,9,Linear,0.0663518,0.99862951
34,ambient_temperature_system_failure.csv,18.226226216020297,KMeans,0.8,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Speech Accent Data,2.1954633971063195,Linear,0.11764706,1,Linear,0.11764706,1.0
38,ec2_cpu_utilization_c6585a.csv,11.905798921371302,Linear,0.0,2,Linear,0.11764706,1.0
39,machine_temperature_system_failure.csv,15.849624956092974,Linear,0.4,3,Linear,0.11764706,1.0
40,cpu_utilization_asg_misconfiguration.csv,16.570139819632832,KMeans,0.00775194,4,Linear,0.11764706,1.0
41,Landsat Satellite,16.615937994520433,Linear,0.71794872,5,Linear,0.11764706,1.0
42,Object Images,17.213468816926188,Gaussian,0.06772229,6,Linear,0.11764706,1.0
43,art_increase_spike_density.csv,17.353497971279435,KMeans,0.15384615,7,Linear,0.11764706,1.0
44,Pen-Based Recognition of Handwritten Text (Local),17.693477765466863,KMeans,0.52631579,8,Linear,0.11764706,1.0
45,nyc_taxi.csv,17.76255782055315,Linear,0.25,9,Linear,0.11764706,1.0
46,ambient_temperature_system_failure.csv,18.226226216020297,KMeans,0.8,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Speech Accent Data,2.1954633971063195,Linear,0.11764706,1,Linear,0.71794872,1.0
