,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,4.764008,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,Landsat Satellite,5.9781837,Linear,0.71794872,2,Linear,0.92639843,0.98790185
3,ec2_cpu_utilization_c6585a.csv,6.3001623,Linear,0.0,3,Linear,0.92639843,0.98790185
4,Object Images,7.0862184,Gaussian,0.06772229,4,Linear,0.92639843,0.98790185
5,ambient_temperature_system_failure.csv,7.6817737,KMeans,0.8,5,Linear,0.92639843,0.98790185
6,Pen-Based Recognition of Handwritten Text (Local),7.6961746,KMeans,0.52631579,6,Linear,0.92639843,0.98790185
7,art_increase_spike_density.csv,8.346605,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,nyc_taxi.csv,8.63479,Linear,0.25,8,Linear,0.92639843,0.98790185
9,art_daily_flatmiddle.csv,9.121158,KMeans,0.02,9,KMeans,0.38537271,0.4468761299999999
10,rds_cpu_utilization_e47b3b.csv,9.271364,Linear,0.66666667,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,5.0356383,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,Landsat Satellite,6.2700367,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
15,ec2_cpu_utilization_c6585a.csv,6.5600343,Linear,0.0,3,Linear,0.02505219,0.4987364000000001
16,Object Images,7.14935,Gaussian,0.06772229,4,Linear,0.02505219,0.4987364000000001
17,ambient_temperature_system_failure.csv,7.8388577,KMeans,0.8,5,Linear,0.02505219,0.4987364000000001
18,Pen-Based Recognition of Handwritten Text (Local),8.009554,KMeans,0.52631579,6,Linear,0.02505219,0.4987364000000001
19,art_increase_spike_density.csv,8.601296,KMeans,0.15384615,7,KMeans,0.52631579,1.0
20,nyc_taxi.csv,8.82241,Linear,0.25,8,Linear,0.02505219,0.4987364000000001
