,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),138.82347831265366,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,Object Images,143.45545102746019,Gaussian,0.06772229,2,Gaussian,0.17305478,0.23455819999999994
3,Landsat Satellite,154.50168964071804,Linear,0.71794872,3,Gaussian,0.17305478,0.23455819999999994
4,Speech Accent Data,184.6839173364619,Linear,0.11764706,4,Linear,0.92639843,0.98790185
5,art_daily_flatmiddle.csv,188.48336360768758,KMeans,0.02,5,KMeans,0.38537271,0.4468761299999999
6,rogue_agent_key_updown.csv,188.54369005626882,Gaussian,0.00083455,6,Gaussian,0.17305478,0.23455819999999994
7,art_increase_spike_density.csv,189.69837637788385,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,art_load_balancer_spikes.csv,190.458918131006,KMeans,0.25,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_24ae8d.csv,190.58957674585486,KMeans,1.0,9,KMeans,0.38537271,0.4468761299999999
10,ec2_disk_write_bytes_c0d644.csv,191.09440835869432,Linear,0.5,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Object Images,27.51335120516694,Gaussian,0.06772229,1,Gaussian,0.01392758,0.4876117900000001
14,Landsat Satellite,39.84062499253614,Linear,0.71794872,2,Gaussian,0.01392758,0.4876117900000001
15,art_daily_flatmiddle.csv,52.65646707490865,KMeans,0.02,3,Gaussian,0.01392758,0.4876117900000001
16,Speech Accent Data,57.785982703861535,Linear,0.11764706,4,Linear,0.02505219,0.4987364000000001
17,ec2_cpu_utilization_fe7f93.csv,63.607669898983076,Linear,0.5,5,Linear,0.02505219,0.4987364000000001
18,occupancy_6005.csv,63.89420875817599,Linear,1.0,6,Linear,0.02505219,0.4987364000000001
