,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Object Images,45.493646396982655,Gaussian,0.06772229,1,Gaussian,0.17305478,0.23455819999999994
2,Pen-Based Recognition of Handwritten Text (Local),46.86671366257241,KMeans,0.52631579,2,Gaussian,0.17305478,0.23455819999999994
3,rds_cpu_utilization_e47b3b.csv,111.77638112447761,Linear,0.66666667,3,Gaussian,0.17305478,0.23455819999999994
4,rds_cpu_utilization_cc0c53.csv,121.24276382607019,Gaussian,1.0,4,Gaussian,0.17305478,0.23455819999999994
5,ec2_cpu_utilization_5f5533.csv,125.58273314976601,KMeans,0.57142857,5,Gaussian,0.17305478,0.23455819999999994
6,grok_asg_anomaly.csv,131.1248325117868,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,art_increase_spike_density.csv,131.76315296671888,KMeans,0.15384615,7,KMeans,0.38537271,0.4468761299999999
8,ec2_cpu_utilization_ac20cd.csv,137.58041959324513,KMeans,0.66666667,8,KMeans,0.38537271,0.4468761299999999
9,Speech Accent Data,141.46665094459607,Linear,0.11764706,9,KMeans,0.38537271,0.4468761299999999
10,cpu_utilization_asg_misconfiguration.csv,146.3055949294158,KMeans,0.00775194,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,rogue_agent_key_updown.csv,0.21376764533804193,Gaussian,0.00083455,1,Gaussian,0.01392758,0.4876117900000001
14,art_increase_spike_density.csv,0.25867039527712254,KMeans,0.15384615,2,Gaussian,0.01392758,0.4876117900000001
15,Landsat Satellite,0.34735298755571753,Linear,0.71794872,3,Gaussian,0.01392758,0.4876117900000001
16,exchange-4_cpm_results.csv,0.45616393238776887,KMeans,0.75,4,KMeans,0.52631579,1.0
17,rogue_agent_key_hold.csv,0.557618130414935,Linear,0.003367,5,KMeans,0.52631579,1.0
18,ec2_cpu_utilization_c6585a.csv,0.6326025576103145,Linear,0.0,6,Linear,0.02505219,0.4987364000000001
19,grok_asg_anomaly.csv,0.6663204975185921,KMeans,0.5,7,KMeans,0.52631579,1.0
20,exchange-4_cpc_results.csv,1.1811862817670384,Linear,0.66666667,8,Linear,0.02505219,0.4987364000000001
21,rds_cpu_utilization_cc0c53.csv,1.300892956136892,Gaussian,1.0,9,Linear,0.02505219,0.4987364000000001
22,ec2_cpu_utilization_5f5533.csv,1.3707666045895457,KMeans,0.57142857,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,9.069960155289772,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,nyc_taxi.csv,9.83591685856452,Linear,0.25,2,Linear,0.0663518,0.99862951
27,exchange-4_cpm_results.csv,15.544393678173178,KMeans,0.75,3,Linear,0.0663518,0.99862951
28,exchange-2_cpc_results.csv,17.235387636566486,KMeans,0.33333333,4,KMeans,0.05851859,0.9907963
29,cpu_utilization_asg_misconfiguration.csv,17.59672618059833,KMeans,0.00775194,5,KMeans,0.05851859,0.9907963
30,TravelTime_451.csv,17.6094658731689,KMeans,0.4,6,KMeans,0.05851859,0.9907963
31,TravelTime_387.csv,17.943841359924868,KMeans,0.66666667,7,KMeans,0.05851859,0.9907963
32,art_increase_spike_density.csv,17.947207343342985,KMeans,0.15384615,8,KMeans,0.05851859,0.9907963
33,machine_temperature_system_failure.csv,18.281786768075083,Linear,0.4,9,KMeans,0.05851859,0.9907963
34,exchange-2_cpm_results.csv,18.488860590382338,KMeans,0.8,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,ec2_cpu_utilization_c6585a.csv,6.186714097921637,Linear,0.0,1,Linear,0.11764706,1.0
38,Landsat Satellite,10.091782273652836,Linear,0.71794872,2,Linear,0.11764706,1.0
39,nyc_taxi.csv,10.996978438164073,Linear,0.25,3,Linear,0.11764706,1.0
40,KDD-Cup99 HTTP,12.465917317452732,RPCA,0.93849658,4,Linear,0.11764706,1.0
41,ambient_temperature_system_failure.csv,14.368383747817926,KMeans,0.8,5,Linear,0.11764706,1.0
42,cpu_utilization_asg_misconfiguration.csv,15.395450454919626,KMeans,0.00775194,6,Linear,0.11764706,1.0
43,exchange-3_cpc_results.csv,17.266610893836756,Linear,0.57142857,7,Linear,0.11764706,1.0
44,ec2_cpu_utilization_24ae8d.csv,17.309477750135585,KMeans,1.0,8,Linear,0.11764706,1.0
45,exchange-4_cpm_results.csv,17.452579371106022,KMeans,0.75,9,KMeans,0.05384615,0.93619909
46,occupancy_t4013.csv,17.903458733090208,Linear,1.0,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,ec2_cpu_utilization_c6585a.csv,22.190478892937378,Linear,0.0,1,Linear,0.71794872,1.0
50,rogue_agent_key_updown.csv,32.61489838916263,Gaussian,0.00083455,2,Gaussian,0.63716814,0.91921942
51,art_load_balancer_spikes.csv,36.71707686842679,KMeans,0.25,3,Gaussian,0.63716814,0.91921942
