,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,78.20019051724205,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,82.85159971188608,Linear,0.0,2,Linear,0.92639843,0.98790185
3,ambient_temperature_system_failure.csv,88.57320514032517,KMeans,0.8,3,Linear,0.92639843,0.98790185
4,Landsat Satellite,93.61342793773873,Linear,0.71794872,4,Linear,0.92639843,0.98790185
5,nyc_taxi.csv,100.1360534647593,Linear,0.25,5,Linear,0.92639843,0.98790185
6,art_increase_spike_density.csv,103.30298160724057,KMeans,0.15384615,6,Linear,0.92639843,0.98790185
7,Object Images,104.78109399476186,Gaussian,0.06772229,7,Linear,0.92639843,0.98790185
8,art_daily_flatmiddle.csv,113.50323564786625,KMeans,0.02,8,Linear,0.92639843,0.98790185
9,exchange-4_cpm_results.csv,116.91386347106807,KMeans,0.75,9,KMeans,0.38537271,0.4468761299999999
10,rogue_agent_key_updown.csv,117.20634306583938,Gaussian,0.00083455,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,78.20019051724205,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,ec2_cpu_utilization_c6585a.csv,82.85159971188608,Linear,0.0,2,Linear,0.02505219,0.4987364000000001
15,ambient_temperature_system_failure.csv,88.57320514032517,KMeans,0.8,3,Linear,0.02505219,0.4987364000000001
16,Landsat Satellite,93.61342793773873,Linear,0.71794872,4,Linear,0.02505219,0.4987364000000001
17,nyc_taxi.csv,100.1360534647593,Linear,0.25,5,Linear,0.02505219,0.4987364000000001
18,art_increase_spike_density.csv,103.30298160724057,KMeans,0.15384615,6,Linear,0.02505219,0.4987364000000001
19,Object Images,104.78109399476186,Gaussian,0.06772229,7,Linear,0.02505219,0.4987364000000001
