,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,3.3688416,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,ec2_cpu_utilization_c6585a.csv,4.282315,Linear,0.0,2,Linear,0.92639843,0.98790185
3,Landsat Satellite,6.0202036,Linear,0.71794872,3,Linear,0.92639843,0.98790185
4,nyc_taxi.csv,9.240755,Linear,0.25,4,Linear,0.92639843,0.98790185
5,ambient_temperature_system_failure.csv,9.241054,KMeans,0.8,5,Linear,0.92639843,0.98790185
6,exchange-4_cpm_results.csv,10.04035,KMeans,0.75,6,Linear,0.92639843,0.98790185
7,grok_asg_anomaly.csv,10.160903,KMeans,0.5,7,Linear,0.92639843,0.98790185
8,ec2_cpu_utilization_5f5533.csv,10.161426,KMeans,0.57142857,8,KMeans,0.38537271,0.4468761299999999
9,ec2_cpu_utilization_ac20cd.csv,10.18497,KMeans,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,rds_cpu_utilization_e47b3b.csv,10.187107,Linear,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,3.7224894,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,ec2_cpu_utilization_c6585a.csv,4.284412,Linear,0.0,2,Linear,0.02505219,0.4987364000000001
15,Landsat Satellite,6.064835,Linear,0.71794872,3,Linear,0.02505219,0.4987364000000001
16,nyc_taxi.csv,9.255684,Linear,0.25,4,Linear,0.02505219,0.4987364000000001
17,ambient_temperature_system_failure.csv,9.256014,KMeans,0.8,5,Linear,0.02505219,0.4987364000000001
18,exchange-4_cpm_results.csv,10.059433,KMeans,0.75,6,Linear,0.02505219,0.4987364000000001
19,grok_asg_anomaly.csv,10.071828,KMeans,0.5,7,Linear,0.02505219,0.4987364000000001
20,ec2_cpu_utilization_5f5533.csv,10.072215,KMeans,0.57142857,8,KMeans,0.52631579,1.0
21,rds_cpu_utilization_e47b3b.csv,10.097585,Linear,0.66666667,9,Linear,0.02505219,0.4987364000000001
22,ec2_cpu_utilization_ac20cd.csv,10.100988,KMeans,0.66666667,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,3.0519843,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,ec2_cpu_utilization_c6585a.csv,4.259612,Linear,0.0,2,Linear,0.0663518,0.99862951
27,Landsat Satellite,6.0510764,Linear,0.71794872,3,Linear,0.0663518,0.99862951
28,nyc_taxi.csv,9.034506,Linear,0.25,4,Linear,0.0663518,0.99862951
29,ambient_temperature_system_failure.csv,9.034771,KMeans,0.8,5,Linear,0.0663518,0.99862951
30,exchange-4_cpm_results.csv,10.052797,KMeans,0.75,6,Linear,0.0663518,0.99862951
31,grok_asg_anomaly.csv,10.089629,KMeans,0.5,7,Linear,0.0663518,0.99862951
32,ec2_cpu_utilization_5f5533.csv,10.090111,KMeans,0.57142857,8,KMeans,0.05851859,0.9907963
