,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,exchange-4_cpm_results.csv,10.21914140229222,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpc_results.csv,10.53211228328169,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999
3,exchange-3_cpc_results.csv,11.415478051087856,Linear,0.57142857,3,Linear,0.92639843,0.98790185
4,exchange-3_cpm_results.csv,11.416170422753355,Linear,1.0,4,Linear,0.92639843,0.98790185
5,ec2_cpu_utilization_24ae8d.csv,11.519197414493714,KMeans,1.0,5,Linear,0.92639843,0.98790185
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,11.751891985318753,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,occupancy_t4013.csv,11.755917480298837,Linear,1.0,7,Linear,0.92639843,0.98790185
8,ec2_network_in_5abac7.csv,11.816141157030522,Linear,0.66666667,8,Linear,0.92639843,0.98790185
9,TravelTime_387.csv,11.843675936427244,KMeans,0.66666667,9,Linear,0.92639843,0.98790185
10,ec2_disk_write_bytes_c0d644.csv,11.872167254065296,Linear,0.5,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,art_increase_spike_density.csv,0.4127780862254166,KMeans,0.15384615,1,KMeans,0.52631579,1.0
14,elb_request_count_8c0756.csv,0.4146698123385658,Linear,0.66666667,2,KMeans,0.52631579,1.0
15,ec2_cpu_utilization_fe7f93.csv,0.4155147408252483,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
16,ec2_disk_write_bytes_1ef3de.csv,0.41922787907547215,Linear,0.08695652,4,Linear,0.02505219,0.4987364000000001
17,ec2_cpu_utilization_53ea38.csv,0.42717440398048306,KMeans,0.04255319,5,Linear,0.02505219,0.4987364000000001
