,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,exchange-4_cpm_results.csv,20.47546553534478,KMeans,0.75,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpc_results.csv,21.018132346159497,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999
3,exchange-3_cpc_results.csv,23.89071418492254,Linear,0.57142857,3,Linear,0.92639843,0.98790185
4,ec2_cpu_utilization_24ae8d.csv,23.940435381435602,KMeans,1.0,4,KMeans,0.38537271,0.4468761299999999
5,Object Images,24.14300240281669,Gaussian,0.06772229,5,KMeans,0.38537271,0.4468761299999999
6,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,24.17592001995128,KMeans,0.5,6,KMeans,0.38537271,0.4468761299999999
7,Pen-Based Recognition of Handwritten Text (Local),24.296837491722272,KMeans,0.52631579,7,KMeans,0.38537271,0.4468761299999999
8,exchange-3_cpm_results.csv,24.303574673233538,Linear,1.0,8,KMeans,0.38537271,0.4468761299999999
9,ec2_network_in_5abac7.csv,24.37735626391697,Linear,0.66666667,9,KMeans,0.38537271,0.4468761299999999
10,ec2_disk_write_bytes_c0d644.csv,24.467442190635044,Linear,0.5,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,art_increase_spike_density.csv,0.5078216442584236,KMeans,0.15384615,1,KMeans,0.52631579,1.0
14,elb_request_count_8c0756.csv,0.5093334351915284,Linear,0.66666667,2,KMeans,0.52631579,1.0
15,ec2_cpu_utilization_fe7f93.csv,0.5527141655183854,Linear,0.5,3,Linear,0.02505219,0.4987364000000001
16,ec2_disk_write_bytes_1ef3de.csv,0.5820313642067678,Linear,0.08695652,4,Linear,0.02505219,0.4987364000000001
17,rogue_agent_key_hold.csv,0.6335077489855709,Linear,0.003367,5,Linear,0.02505219,0.4987364000000001
18,ec2_cpu_utilization_53ea38.csv,0.6340499322862823,KMeans,0.04255319,6,Linear,0.02505219,0.4987364000000001
19,ec2_disk_write_bytes_c0d644.csv,0.6434903142479359,Linear,0.5,7,Linear,0.02505219,0.4987364000000001
