,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,nyc_taxi.csv,0.007769965490743838,Linear,0.25,1,Linear,0.92639843,0.98790185
2,ambient_temperature_system_failure.csv,0.007831464373153393,KMeans,0.8,2,KMeans,0.38537271,0.4468761299999999
3,ec2_cpu_utilization_5f5533.csv,0.01552106759992923,KMeans,0.57142857,3,KMeans,0.38537271,0.4468761299999999
4,grok_asg_anomaly.csv,0.015548066975190393,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,rds_cpu_utilization_e47b3b.csv,0.01908904530468173,Linear,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,rds_cpu_utilization_cc0c53.csv,0.0225489680595605,Gaussian,1.0,6,KMeans,0.38537271,0.4468761299999999
7,ec2_cpu_utilization_ac20cd.csv,0.02292194655791053,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,Landsat Satellite,0.029536375973445744,Linear,0.71794872,8,KMeans,0.38537271,0.4468761299999999
9,Object Images,0.043427220533614766,Gaussian,0.06772229,9,KMeans,0.38537271,0.4468761299999999
10,exchange-4_cpm_results.csv,0.04382264633932023,KMeans,0.75,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,rds_cpu_utilization_e47b3b.csv,0.0002795963090012532,Linear,0.66666667,1,Linear,0.02505219,0.4987364000000001
14,exchange-3_cpc_results.csv,0.0003655519452010667,Linear,0.57142857,2,Linear,0.02505219,0.4987364000000001
15,exchange-4_cpc_results.csv,0.0004343710416210479,Linear,0.66666667,3,Linear,0.02505219,0.4987364000000001
16,grok_asg_anomaly.csv,0.0004405935073990221,KMeans,0.5,4,Linear,0.02505219,0.4987364000000001
17,art_increase_spike_density.csv,0.00046898410561585415,KMeans,0.15384615,5,Linear,0.02505219,0.4987364000000001
18,rogue_agent_key_hold.csv,0.0004789828006709151,Linear,0.003367,6,Linear,0.02505219,0.4987364000000001
19,occupancy_t4013.csv,0.000488202452667683,Linear,1.0,7,Linear,0.02505219,0.4987364000000001
