,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Speech Accent Data,8.132290187538166,Linear,0.11764706,1,Linear,0.92639843,0.98790185
2,Landsat Satellite,10.616190188118786,Linear,0.71794872,2,Linear,0.92639843,0.98790185
3,ec2_cpu_utilization_c6585a.csv,11.649350261368815,Linear,0.0,3,Linear,0.92639843,0.98790185
4,nyc_taxi.csv,18.98733951074102,Linear,0.25,4,Linear,0.92639843,0.98790185
5,ambient_temperature_system_failure.csv,18.988027587592022,KMeans,0.8,5,Linear,0.92639843,0.98790185
6,exchange-4_cpm_results.csv,19.355416857324805,KMeans,0.75,6,Linear,0.92639843,0.98790185
7,exchange-4_cpc_results.csv,19.898083668139517,Linear,0.66666667,7,Linear,0.92639843,0.98790185
8,ec2_cpu_utilization_5f5533.csv,20.085548897142466,KMeans,0.57142857,8,Linear,0.92639843,0.98790185
9,grok_asg_anomaly.csv,20.094954645725938,KMeans,0.5,9,Linear,0.92639843,0.98790185
10,rds_cpu_utilization_e47b3b.csv,20.115192883800912,Linear,0.66666667,10,Linear,0.92639843,0.98790185
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,Speech Accent Data,8.132290187538166,Linear,0.11764706,1,Linear,0.02505219,0.4987364000000001
14,Landsat Satellite,10.616190188118786,Linear,0.71794872,2,Linear,0.02505219,0.4987364000000001
15,ec2_cpu_utilization_c6585a.csv,11.649350261368815,Linear,0.0,3,Linear,0.02505219,0.4987364000000001
16,nyc_taxi.csv,18.98733951074102,Linear,0.25,4,Linear,0.02505219,0.4987364000000001
17,ambient_temperature_system_failure.csv,18.988027587592022,KMeans,0.8,5,Linear,0.02505219,0.4987364000000001
18,exchange-4_cpm_results.csv,19.355416857324805,KMeans,0.75,6,Linear,0.02505219,0.4987364000000001
19,exchange-4_cpc_results.csv,19.898083668139517,Linear,0.66666667,7,Linear,0.02505219,0.4987364000000001
20,ec2_cpu_utilization_5f5533.csv,20.085548897142466,KMeans,0.57142857,8,Linear,0.02505219,0.4987364000000001
21,grok_asg_anomaly.csv,20.094954645725938,KMeans,0.5,9,Linear,0.02505219,0.4987364000000001
22,rds_cpu_utilization_e47b3b.csv,20.115192883800912,Linear,0.66666667,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
