,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),0.0026807734,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpc_results.csv,0.010214778,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999
3,exchange-3_cpc_results.csv,0.010838939,Linear,0.57142857,3,Linear,0.92639843,0.98790185
4,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.011191111,KMeans,0.5,4,KMeans,0.38537271,0.4468761299999999
5,rogue_agent_key_hold.csv,0.011894712,Linear,0.003367,5,Linear,0.92639843,0.98790185
6,exchange-2_cpm_results.csv,0.013125157,KMeans,0.8,6,KMeans,0.38537271,0.4468761299999999
7,TravelTime_387.csv,0.013698358,KMeans,0.66666667,7,KMeans,0.38537271,0.4468761299999999
8,exchange-4_cpm_results.csv,0.015397124,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_c0d644.csv,0.025311412,Linear,0.5,9,KMeans,0.38537271,0.4468761299999999
10,ec2_request_latency_system_failure.csv,0.029175648,KMeans,0.66666667,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,KDD-Cup99 HTTP,0.0022788108,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
14,rogue_agent_key_hold.csv,0.0085658915,Linear,0.003367,2,Linear,0.02505219,0.4987364000000001
15,exchange-4_cpc_results.csv,0.0086073615,Linear,0.66666667,3,Linear,0.02505219,0.4987364000000001
16,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.0091565605,KMeans,0.5,4,Linear,0.02505219,0.4987364000000001
17,exchange-3_cpc_results.csv,0.00952434,Linear,0.57142857,5,Linear,0.02505219,0.4987364000000001
18,exchange-2_cpm_results.csv,0.010352008,KMeans,0.8,6,Linear,0.02505219,0.4987364000000001
19,TravelTime_387.csv,0.010880133,KMeans,0.66666667,7,KMeans,0.52631579,1.0
20,exchange-4_cpm_results.csv,0.015479153,KMeans,0.75,8,KMeans,0.52631579,1.0
21,ec2_disk_write_bytes_c0d644.csv,0.021940634,Linear,0.5,9,KMeans,0.52631579,1.0
22,ec2_request_latency_system_failure.csv,0.026100378,KMeans,0.66666667,10,KMeans,0.52631579,1.0
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,ec2_cpu_utilization_c6585a.csv,1.4388437,Linear,0.0,1,Linear,0.0663518,0.99862951
26,Speech Accent Data,14.950454,Linear,0.11764706,2,Linear,0.0663518,0.99862951
27,Landsat Satellite,15.079374,Linear,0.71794872,3,Linear,0.0663518,0.99862951
28,cpu_utilization_asg_misconfiguration.csv,16.276491,KMeans,0.00775194,4,Linear,0.0663518,0.99862951
29,machine_temperature_system_failure.csv,16.28403,Linear,0.4,5,Linear,0.0663518,0.99862951
30,ec2_disk_write_bytes_1ef3de.csv,16.284595,Linear,0.08695652,6,Linear,0.0663518,0.99862951
31,art_increase_spike_density.csv,16.285315,KMeans,0.15384615,7,Linear,0.0663518,0.99862951
32,art_daily_nojump.csv,16.288094,KMeans,0.00152207,8,Linear,0.0663518,0.99862951
33,ec2_cpu_utilization_77c1ca.csv,16.288103,KMeans,0.03921569,9,Linear,0.0663518,0.99862951
34,art_daily_jumpsup.csv,16.288105,KMeans,0.22222222,10,KMeans,0.05851859,0.9907963
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
