,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,Pen-Based Recognition of Handwritten Text (Local),0.05660864342306119,KMeans,0.52631579,1,KMeans,0.38537271,0.4468761299999999
2,exchange-4_cpc_results.csv,0.10676353464670811,Linear,0.66666667,2,KMeans,0.38537271,0.4468761299999999
3,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.10855313161119214,KMeans,0.5,3,KMeans,0.38537271,0.4468761299999999
4,exchange-3_cpc_results.csv,0.12176876885895847,Linear,0.57142857,4,KMeans,0.38537271,0.4468761299999999
5,exchange-2_cpm_results.csv,0.1496474446426835,KMeans,0.8,5,KMeans,0.38537271,0.4468761299999999
6,TravelTime_387.csv,0.1564790698384969,KMeans,0.66666667,6,KMeans,0.38537271,0.4468761299999999
7,rogue_agent_key_hold.csv,0.17273563576913623,Linear,0.003367,7,KMeans,0.38537271,0.4468761299999999
8,exchange-4_cpm_results.csv,0.21035408488560706,KMeans,0.75,8,KMeans,0.38537271,0.4468761299999999
9,ec2_disk_write_bytes_c0d644.csv,0.2663274217771019,Linear,0.5,9,KMeans,0.38537271,0.4468761299999999
10,occupancy_t4013.csv,0.26991384875828633,Linear,1.0,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,KDD-Cup99 HTTP,0.05660864342306119,RPCA,0.93849658,1,RPCA,0.02453988,0.49822409
14,exchange-2_cpm_results.csv,0.09884876669427294,KMeans,0.8,2,KMeans,0.52631579,1.0
15,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.09888040656989378,KMeans,0.5,3,KMeans,0.52631579,1.0
16,TravelTime_387.csv,0.10453238094375927,KMeans,0.66666667,4,KMeans,0.52631579,1.0
17,rogue_agent_key_hold.csv,0.11648597709024035,Linear,0.003367,5,KMeans,0.52631579,1.0
18,exchange-4_cpc_results.csv,0.12552372644981674,Linear,0.66666667,6,KMeans,0.52631579,1.0
19,exchange-3_cpc_results.csv,0.15062819317580117,Linear,0.57142857,7,KMeans,0.52631579,1.0
20,ec2_disk_write_bytes_c0d644.csv,0.20985679131685384,Linear,0.5,8,Linear,0.02505219,0.4987364000000001
21,occupancy_t4013.csv,0.21467551436304416,Linear,1.0,9,Linear,0.02505219,0.4987364000000001
22,ec2_request_latency_system_failure.csv,0.21975654806018627,KMeans,0.66666667,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,Speech Accent Data,6.081957589641702,Linear,0.11764706,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,7.108622273487057,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,exchange-4_cpm_results.csv,8.286135717328682,KMeans,0.75,3,Linear,0.0663518,0.99862951
28,KDD-Cup99 HTTP,8.31990269345631,RPCA,0.93849658,4,Linear,0.0663518,0.99862951
29,exchange-3_cpc_results.csv,8.362730632468802,Linear,0.57142857,5,Linear,0.0663518,0.99862951
