,Dataset,Distance,Best method,F1 with the best method,K,F1 method,F1 with the proposed method,Accuracy
0,KDD-Cup99 HTTP,0,RPCA,0.93849658,0,RPCA,0.93849658,1
1,exchange-2_cpm_results.csv,0.00024581434783114975,KMeans,0.8,1,KMeans,0.38537271,0.4468761299999999
2,TravelTime_387.csv,0.00039120996994297663,KMeans,0.66666667,2,KMeans,0.38537271,0.4468761299999999
3,occupancy_t4013.csv,0.0005120899078301239,Linear,1.0,3,KMeans,0.38537271,0.4468761299999999
4,ec2_cpu_utilization_fe7f93.csv,0.0009959108567824115,Linear,0.5,4,KMeans,0.38537271,0.4468761299999999
5,ec2_request_latency_system_failure.csv,0.0009963354983008599,KMeans,0.66666667,5,KMeans,0.38537271,0.4468761299999999
6,rogue_agent_key_hold.csv,0.0010059655309830051,Linear,0.003367,6,KMeans,0.38537271,0.4468761299999999
7,Pen-Based Recognition of Handwritten Text (Local),0.0010938415191688727,KMeans,0.52631579,7,KMeans,0.38537271,0.4468761299999999
8,ec2_disk_write_bytes_c0d644.csv,0.001651674576964579,Linear,0.5,8,KMeans,0.38537271,0.4468761299999999
9,exchange-3_cpm_results.csv,0.0016911604319022056,Linear,1.0,9,Linear,0.92639843,0.98790185
10,exchange-2_cpc_results.csv,0.002062572989648903,KMeans,0.33333333,10,KMeans,0.38537271,0.4468761299999999
11,,,,,,,,
12,Pen-Based Recognition of Handwritten Text (Local),0,KMeans,0.52631579,0,KMeans,0.52631579,1
13,rogue_agent_key_hold.csv,8.787598818586762e-05,Linear,0.003367,1,Linear,0.02505219,0.4987364000000001
14,TravelTime_387.csv,0.0007026315492258961,KMeans,0.66666667,2,KMeans,0.52631579,1.0
15,exchange-2_cpm_results.csv,0.000848027171337723,KMeans,0.8,3,KMeans,0.52631579,1.0
16,KDD-Cup99 HTTP,0.0010938415191688727,RPCA,0.93849658,4,KMeans,0.52631579,1.0
17,occupancy_t4013.csv,0.0016059314269989966,Linear,1.0,5,KMeans,0.52631579,1.0
18,ec2_cpu_utilization_fe7f93.csv,0.0020897523759512843,Linear,0.5,6,Linear,0.02505219,0.4987364000000001
19,ec2_request_latency_system_failure.csv,0.0020901770174697326,KMeans,0.66666667,7,KMeans,0.52631579,1.0
20,ec2_disk_write_bytes_c0d644.csv,0.002745516096133452,Linear,0.5,8,Linear,0.02505219,0.4987364000000001
21,exchange-3_cpm_results.csv,0.0027850019510710783,Linear,1.0,9,Linear,0.02505219,0.4987364000000001
22,exchange-2_cpc_results.csv,0.003156414508817776,KMeans,0.33333333,10,Linear,0.02505219,0.4987364000000001
23,,,,,,,,
24,Object Images,0,Gaussian,0.06772229,0,Gaussian,0.06772229,1
25,ec2_cpu_utilization_c6585a.csv,1.1885976322901572e-11,Linear,0.0,1,Linear,0.0663518,0.99862951
26,Landsat Satellite,6.648003241343872e-07,Linear,0.71794872,2,Linear,0.0663518,0.99862951
27,Speech Accent Data,2.7843906469001614e-05,Linear,0.11764706,3,Linear,0.0663518,0.99862951
28,exchange-4_cpm_results.csv,0.08940537034554329,KMeans,0.75,4,Linear,0.0663518,0.99862951
29,cpu_utilization_asg_misconfiguration.csv,0.09709283612978144,KMeans,0.00775194,5,Linear,0.0663518,0.99862951
30,rogue_agent_key_updown.csv,0.09755585206518141,Gaussian,0.00083455,6,Linear,0.0663518,0.99862951
31,machine_temperature_system_failure.csv,0.09897981765893368,Linear,0.4,7,Linear,0.0663518,0.99862951
32,exchange-3_cpc_results.csv,0.10019209130434696,Linear,0.57142857,8,Linear,0.0663518,0.99862951
33,ec2_disk_write_bytes_1ef3de.csv,0.10111667847724233,Linear,0.08695652,9,Linear,0.0663518,0.99862951
34,art_daily_flatmiddle.csv,0.10145015683716198,KMeans,0.02,10,Linear,0.0663518,0.99862951
35,,,,,,,,
36,Speech Accent Data,0,Linear,0.11764706,0,Linear,0.11764706,1
37,Landsat Satellite,2.7179106144867227e-05,Linear,0.71794872,1,Linear,0.11764706,1.0
38,Object Images,2.7843906469001614e-05,Gaussian,0.06772229,2,Gaussian,0.04856512,0.93091806
39,ec2_cpu_utilization_c6585a.csv,2.7843918354977937e-05,Linear,0.0,3,Linear,0.11764706,1.0
40,exchange-4_cpm_results.csv,0.08937752643907429,KMeans,0.75,4,Linear,0.11764706,1.0
41,cpu_utilization_asg_misconfiguration.csv,0.09706499222331244,KMeans,0.00775194,5,KMeans,0.05384615,0.93619909
42,rogue_agent_key_updown.csv,0.09752800815871242,Gaussian,0.00083455,6,Gaussian,0.04856512,0.93091806
43,machine_temperature_system_failure.csv,0.09895197375246469,Linear,0.4,7,Linear,0.11764706,1.0
44,exchange-3_cpc_results.csv,0.10016424739787796,Linear,0.57142857,8,Linear,0.11764706,1.0
45,ec2_disk_write_bytes_1ef3de.csv,0.10108883457077333,Linear,0.08695652,9,Linear,0.11764706,1.0
46,art_daily_flatmiddle.csv,0.10142231293069298,KMeans,0.02,10,Linear,0.11764706,1.0
47,,,,,,,,
48,Landsat Satellite,0,Linear,0.71794872,0,Linear,0.71794872,1
49,Object Images,6.648003241343872e-07,Gaussian,0.06772229,1,Gaussian,0.63716814,0.91921942
50,ec2_cpu_utilization_c6585a.csv,6.648122101107101e-07,Linear,0.0,2,Gaussian,0.63716814,0.91921942
51,Speech Accent Data,2.7179106144867227e-05,Linear,0.11764706,3,Linear,0.71794872,1.0
52,exchange-4_cpm_results.csv,0.08940470554521916,KMeans,0.75,4,Linear,0.71794872,1.0
53,cpu_utilization_asg_misconfiguration.csv,0.09709217132945731,KMeans,0.00775194,5,KMeans,0.65517241,0.93722369
54,rogue_agent_key_updown.csv,0.09755518726485729,Gaussian,0.00083455,6,Gaussian,0.63716814,0.91921942
55,machine_temperature_system_failure.csv,0.09897915285860956,Linear,0.4,7,Linear,0.71794872,1.0
56,exchange-3_cpc_results.csv,0.10019142650402284,Linear,0.57142857,8,Linear,0.71794872,1.0
57,ec2_disk_write_bytes_1ef3de.csv,0.1011160136769182,Linear,0.08695652,9,Linear,0.71794872,1.0
58,art_daily_flatmiddle.csv,0.10144949203683785,KMeans,0.02,10,Linear,0.71794872,1.0
59,,,,,,,,
60,ambient_temperature_system_failure.csv,0,KMeans,0.8,0,KMeans,0.8,1
61,ec2_cpu_utilization_ac20cd.csv,0.00019999017667887697,KMeans,0.66666667,1,KMeans,0.8,1.0
62,ec2_network_in_257a54.csv,0.00021216047051882125,KMeans,0.5,2,KMeans,0.8,1.0
63,art_daily_jumpsup.csv,0.0002152166043587478,KMeans,0.22222222,3,KMeans,0.8,1.0
64,art_daily_jumpsdown.csv,0.0002152166043587478,KMeans,0.03030303,4,KMeans,0.8,1.0
65,art_daily_nojump.csv,0.0002182667129901894,KMeans,0.00152207,5,KMeans,0.8,1.0
66,ec2_cpu_utilization_77c1ca.csv,0.00022855257803069962,KMeans,0.03921569,6,KMeans,0.8,1.0
67,art_load_balancer_spikes.csv,0.00023748948783591795,KMeans,0.25,7,KMeans,0.8,1.0
68,art_daily_flatmiddle.csv,0.0003427779268854181,KMeans,0.02,8,KMeans,0.8,1.0
69,ec2_disk_write_bytes_1ef3de.csv,0.0006762562868050659,Linear,0.08695652,9,KMeans,0.8,1.0
70,exchange-4_cpc_results.csv,0.0009383322442592934,Linear,0.66666667,10,KMeans,0.8,1.0
71,,,,,,,,
72,exchange-3_cpm_results.csv,0,Linear,1.0,0,Linear,1.0,1
73,ec2_disk_write_bytes_c0d644.csv,3.948585493764034e-05,Linear,0.5,1,Linear,1.0,1.0
74,exchange-2_cpc_results.csv,0.0003714125577466837,KMeans,0.33333333,2,KMeans,1.0,1.0
75,ec2_request_latency_system_failure.csv,0.0006948249336013596,KMeans,0.66666667,3,KMeans,1.0,1.0
76,ec2_cpu_utilization_fe7f93.csv,0.0006952495751198079,Linear,0.5,4,KMeans,1.0,1.0
77,grok_asg_anomaly.csv,0.0009736814865000248,KMeans,0.5,5,KMeans,1.0,1.0
78,occupancy_t4013.csv,0.0011790705240720956,Linear,1.0,6,KMeans,1.0,1.0
79,KDD-Cup99 HTTP,0.0016911604319022194,RPCA,0.93849658,7,KMeans,1.0,1.0
80,ec2_cpu_utilization_825cc2.csv,0.0017849227170358417,KMeans,0.66666667,8,KMeans,1.0,1.0
81,ec2_cpu_utilization_24ae8d.csv,0.0018385779645534311,KMeans,1.0,9,KMeans,1.0,1.0
82,exchange-2_cpm_results.csv,0.0019369747797333692,KMeans,0.8,10,KMeans,1.0,1.0
83,,,,,,,,
84,machine_temperature_system_failure.csv,0,Linear,0.4,0,Linear,0.4,1
85,exchange-3_cpc_results.csv,0.001212273645413292,Linear,0.57142857,1,Linear,0.4,1.0
86,rogue_agent_key_updown.csv,0.001423965593752255,Gaussian,0.00083455,2,Gaussian,0.01049869,0.61049869
87,cpu_utilization_asg_misconfiguration.csv,0.0018869815291522318,KMeans,0.00775194,3,Gaussian,0.01049869,0.61049869
88,ec2_disk_write_bytes_1ef3de.csv,0.0021368608183086613,Linear,0.08695652,4,Linear,0.4,1.0
89,art_daily_flatmiddle.csv,0.002470339178228309,KMeans,0.02,5,KMeans,0.4,1.0
90,ambient_temperature_system_failure.csv,0.002813117105113727,KMeans,0.8,6,KMeans,0.4,1.0
91,ec2_cpu_utilization_ac20cd.csv,0.003013107281792604,KMeans,0.66666667,7,KMeans,0.4,1.0
92,ec2_network_in_257a54.csv,0.0030252775756325484,KMeans,0.5,8,KMeans,0.4,1.0
93,art_daily_jumpsup.csv,0.003028333709472475,KMeans,0.22222222,9,KMeans,0.4,1.0
94,art_daily_jumpsdown.csv,0.003028333709472475,KMeans,0.03030303,10,KMeans,0.4,1.0
95,,,,,,,,
96,ec2_request_latency_system_failure.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
97,ec2_cpu_utilization_fe7f93.csv,4.246415184483432e-07,Linear,0.5,1,Linear,0.57142857,0.9047619
98,occupancy_t4013.csv,0.000484245590470736,Linear,1.0,2,Linear,0.57142857,0.9047619
99,ec2_disk_write_bytes_c0d644.csv,0.0006553390786637192,Linear,0.5,3,Linear,0.57142857,0.9047619
100,exchange-3_cpm_results.csv,0.0006948249336013457,Linear,1.0,4,Linear,0.57142857,0.9047619
101,KDD-Cup99 HTTP,0.0009963354983008599,RPCA,0.93849658,5,Linear,0.57142857,0.9047619
102,exchange-2_cpc_results.csv,0.0010662374913480432,KMeans,0.33333333,6,Linear,0.57142857,0.9047619
103,exchange-2_cpm_results.csv,0.0012421498461320096,KMeans,0.8,7,Linear,0.57142857,0.9047619
104,TravelTime_387.csv,0.0013875454682438365,KMeans,0.66666667,8,Linear,0.57142857,0.9047619
105,grok_asg_anomaly.csv,0.0016685064201013844,KMeans,0.5,9,KMeans,0.66666667,1.0
106,rogue_agent_key_hold.csv,0.002002301029283865,Linear,0.003367,10,Linear,0.57142857,0.9047619
107,,,,,,,,
108,ec2_cpu_utilization_825cc2.csv,0,KMeans,0.66666667,0,KMeans,0.66666667,1
109,ec2_cpu_utilization_24ae8d.csv,5.365524751758943e-05,KMeans,1.0,1,KMeans,0.66666667,1.0
110,rds_cpu_utilization_cc0c53.csv,0.00026413535855022985,Gaussian,1.0,2,Gaussian,0.01526718,0.34860051000000003
111,TravelTime_451.csv,0.0007093880032781191,KMeans,0.4,3,KMeans,0.66666667,1.0
112,rds_cpu_utilization_e47b3b.csv,0.0007417287474624223,Linear,0.66666667,4,KMeans,0.66666667,1.0
113,ec2_cpu_utilization_53ea38.csv,0.0007653342297213872,KMeans,0.04255319,5,KMeans,0.66666667,1.0
114,elb_request_count_8c0756.csv,0.0007687781032086061,Linear,0.66666667,6,KMeans,0.66666667,1.0
115,ec2_cpu_utilization_5f5533.csv,0.0007759186826477305,KMeans,0.57142857,7,KMeans,0.66666667,1.0
116,grok_asg_anomaly.csv,0.0008112412305358169,KMeans,0.5,8,KMeans,0.66666667,1.0
117,iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.00108491374038662,KMeans,0.5,9,KMeans,0.66666667,1.0
118,occupancy_6005.csv,0.0013782096623746881,Linear,1.0,10,KMeans,0.66666667,1.0
119,,,,,,,,
120,ec2_network_in_257a54.csv,0,KMeans,0.5,0,KMeans,0.5,1
121,art_daily_jumpsup.csv,3.0561338399265336e-06,KMeans,0.22222222,1,KMeans,0.5,1.0
122,art_daily_jumpsdown.csv,3.0561338399265336e-06,KMeans,0.03030303,2,KMeans,0.5,1.0
123,art_daily_nojump.csv,6.106242471368151e-06,KMeans,0.00152207,3,KMeans,0.5,1.0
124,ec2_cpu_utilization_ac20cd.csv,1.217029383994428e-05,KMeans,0.66666667,4,KMeans,0.5,1.0
125,ec2_cpu_utilization_77c1ca.csv,1.6392107511878362e-05,KMeans,0.03921569,5,KMeans,0.5,1.0
126,art_load_balancer_spikes.csv,2.532901731709669e-05,KMeans,0.25,6,KMeans,0.5,1.0
127,ambient_temperature_system_failure.csv,0.00021216047051882125,KMeans,0.8,7,KMeans,0.5,1.0
128,art_daily_flatmiddle.csv,0.0005549383974042393,KMeans,0.02,8,KMeans,0.5,1.0
129,exchange-4_cpc_results.csv,0.0007261717737404721,Linear,0.66666667,9,KMeans,0.5,1.0
130,art_increase_spike_density.csv,0.0007441070649587822,KMeans,0.15384615,10,KMeans,0.5,1.0
131,,,,,,,,
132,exchange-4_cpm_results.csv,0,KMeans,0.75,0,KMeans,0.75,1
133,cpu_utilization_asg_misconfiguration.csv,0.007687465784238137,KMeans,0.00775194,1,KMeans,0.75,1.0
134,rogue_agent_key_updown.csv,0.008150481719638114,Gaussian,0.00083455,2,Gaussian,0.375,0.625
135,machine_temperature_system_failure.csv,0.009574447313390383,Linear,0.4,3,Gaussian,0.375,0.625
136,exchange-3_cpc_results.csv,0.010786720958803661,Linear,0.57142857,4,Linear,0.66666667,0.91666667
137,ec2_disk_write_bytes_1ef3de.csv,0.01171130813169903,Linear,0.08695652,5,Linear,0.66666667,0.91666667
138,art_daily_flatmiddle.csv,0.012044786491618678,KMeans,0.02,6,Linear,0.66666667,0.91666667
139,ambient_temperature_system_failure.csv,0.012387564418504096,KMeans,0.8,7,KMeans,0.75,1.0
